Drug A,Drug B,Cell Line Name,Score,Pred Score
ROMIDEPSIN,MITOTANE,SR,-61.34,-46.56832504272461
IMATINIB,DOCETAXEL,BT-549,8.94,-6.092714786529541
VISMODEGIB,CELECOXIB,NCI-H322M,-1.47,-0.8375263214111328
LUMACAFTOR,RUXOLITINIB,L-1236,-4.731,-18.872013092041016
VISMODEGIB,TRETINOIN,UO-31,11.0,2.9753458499908447
DOCETAXEL,MITOTANE,MDA-MB-231,0.49,-14.358898162841797
SORAFENIB,MITOTANE,A-498,6.78,-2.1099352836608887
PACLITAXEL,THALIDOMIDE,UACC-257,-64.7,-19.15900421142578
VISMODEGIB,MITOTANE,KM12,6.93,-2.9660606384277344
RUXOLITINIB,DASATINIB,HT-29,-16.1,-7.10243034362793
SUNITINIB,MITOTANE,OVCAR-5,-1.97,-7.484371662139893
THALIDOMIDE,ARSENIC TRIOXIDE,HT-29,-17.5,-21.90910720825196
VEMURAFENIB,ROMIDEPSIN,HOP-92,-74.98,-36.90850067138672
VISMODEGIB,LAPATINIB,NCI-H23,-2.97,-4.414816379547119
AXITINIB,DASATINIB,OVCAR-4,-5.3,0.5078537464141846
PACLITAXEL,SUNITINIB,A-427,4.19,-5.11482572555542
VISMODEGIB,AXITINIB,SK-OV-3,5.46,-4.667908668518066
CRIZOTINIB,PACLITAXEL,T-47D,-4.99,1.2689895629882812
VISMODEGIB,AXITINIB,HT-29,-1.43,-2.380718231201172
CELECOXIB,IMATINIB,Caki-1,-13.62,-1.1463162899017334
MITOTANE,ARSENIC TRIOXIDE,NCI-H226,-28.16,-18.529659271240234
VEMURAFENIB,ABIRATERONE,HOP-62,-3.77,-5.939732551574707
SUNITINIB,SORAFENIB,NCI-H2122,-11.535,-4.173213005065918
NILOTINIB,DOCETAXEL,SF295,-4.12,-1.3204193115234375
DASATINIB,SUNITINIB,OVCAR-5,0.0,-5.894272804260254
VANDETANIB,PACLITAXEL,SN12C,-1.67,-0.5915851593017578
SUNITINIB,LAPATINIB,SK-MES-1,8.0725,-3.601013660430908
THALIDOMIDE,ARSENIC TRIOXIDE,NCI-H226,-20.45,-22.358604431152344
ABIRATERONE,CELECOXIB,IGROV-1,3.32,-2.7292065620422363
RALOXIFENE,AXITINIB,IGROV-1,-0.18,-2.877366065979004
RUXOLITINIB,SUNITINIB,OVCAR-5,-3.06,-11.041092872619627
MEGESTROL ACETATE,ARSENIC TRIOXIDE,HT-29,-57.29,-21.336212158203125
CRIZOTINIB,ROMIDEPSIN,SF268,-11.48,-33.60313415527344
VANDETANIB,FULVESTRANT,NCI-H322M,-8.71,-2.8265457153320312
VEMURAFENIB,VEMURAFENIB,CCRF-CEM,3.63,-2.463687896728516
DASATINIB,MITOTANE,BT-549,-0.48,-13.802167892456056
AXITINIB,DOCETAXEL,COLO 205,-27.58,-16.288177490234375
VISMODEGIB,LENALIDOMIDE,HT-29,-15.27,-4.643010139465332
VISMODEGIB,CELECOXIB,OVCAR-3,-7.28,-0.7863156795501709
VISMODEGIB,SUNITINIB,SNB-75,-1.89,-3.174615859985352
ABIRATERONE,DOCETAXEL,TK-10,10.19,-2.2099685668945312
LENALIDOMIDE,CRIZOTINIB,UO-31,-1.75,-10.139626502990724
RALOXIFENE,IMATINIB,SK-MEL-2,-3.04,0.5573673248291016
IMATINIB,DOCETAXEL,A-498,10.94,-2.761551856994629
VANDETANIB,AXITINIB,SF539,4.86,1.3082895278930664
RALOXIFENE,PACLITAXEL,A-498,-19.21,-14.626716613769531
LEVOSIMENDAN,RUXOLITINIB,L-1236,-38.72,-19.74120330810547
RALOXIFENE,THALIDOMIDE,T-47D,-0.96,-1.164778709411621
VEMURAFENIB,CELECOXIB,786-O,3.67,-1.483562469482422
NILOTINIB,FULVESTRANT,MDA-MB-468,-0.26,-4.447904586791992
ABIRATERONE,VISMODEGIB,SF268,-35.44,-3.4949498176574707
AXITINIB,VISMODEGIB,SK-MEL-2,-1.68,-10.799734115600586
SUNITINIB,FULVESTRANT,HCC2998,-1.55,-2.8308446407318115
LENALIDOMIDE,CRIZOTINIB,HCT 116,-24.94,-14.62922477722168
VANDETANIB,SORAFENIB,A-498,-10.84,-10.744244575500488
GEFITINIB,MITOTANE,UACC-62,-7.39,-6.025848388671875
GEFITINIB,MITOTANE,SK-OV-3,-15.25,-8.527446746826172
CRIZOTINIB,PACLITAXEL,HCC2998,-2.18,-4.205384254455566
TRETINOIN,SORAFENIB,DU145,10.58,-4.059370040893555
AXITINIB,FULVESTRANT,SK-MEL-5,-5.35,-3.597983360290528
ABIRATERONE,DOCETAXEL,SNB-75,-13.15,-23.249378204345703
CELECOXIB,LAPATINIB,SK-OV-3,-33.91,-3.4662094116210938
AXITINIB,SUNITINIB,BT-549,-0.81,-5.248906135559082
NILOTINIB,DOCETAXEL,SK-OV-3,-0.25,-11.115739822387695
PACLITAXEL,LAPATINIB,HCT 15,3.12,-2.32783842086792
RUXOLITINIB,TRETINOIN,NCI-H460,-4.86,-0.6086363792419434
PACLITAXEL,LAPATINIB,PC-3,4.24,1.243403434753418
AXITINIB,DOCETAXEL,NCI-H322M,-18.72,-16.161663055419922
AXITINIB,SUNITINIB,Caki-1,-1.63,-5.825136184692383
LENALIDOMIDE,DASATINIB,SF539,0.71,-15.032423973083496
MEGESTROL ACETATE,THALIDOMIDE,SR,3.43,-5.021777153015137
VISMODEGIB,CELECOXIB,T-47D,6.11,-1.2520694732666016
IMATINIB,PACLITAXEL,SF539,-16.36,-6.707279205322266
GEFITINIB,VEMURAFENIB,RPMI-8226,-3.38,-9.087549209594728
VEMURAFENIB,ROMIDEPSIN,UACC-62,-9.11,-23.0352783203125
GEFITINIB,CRIZOTINIB,TK-10,-1.43,-2.9954566955566406
GEFITINIB,FULVESTRANT,SN12C,-1.79,2.172809600830078
LENALIDOMIDE,MEGESTROL ACETATE,ACHN,-2.39,-5.890496253967285
VISMODEGIB,LENALIDOMIDE,MOLT-4,-28.59,-7.701961517333984
VANDETANIB,LAPATINIB,NCI-H460,8.27,-5.22072696685791
RALOXIFENE,PACLITAXEL,A-549,-40.27,-27.763633728027344
