Drug A,Drug B,Cell Line Name,Score,Pred Score
VISMODEGIB,LENALIDOMIDE,NCI-H322M,-6.27,-1.8532814979553225
CRIZOTINIB,RUXOLITINIB,786-O,0.82,-8.136373519897461
MEGESTROL ACETATE,ROMIDEPSIN,MDA-MB-468,-57.05,-32.24113082885742
DEXAMETHASONE,ERLOTINIB,SK-MES-1,-11.7,-8.056337356567383
IMATINIB,FULVESTRANT,HOP-62,-1.21,-5.869692802429199
MEGESTROL ACETATE,LAPATINIB,HOP-92,-47.93,-7.715075492858887
RALOXIFENE,MEGESTROL ACETATE,HCT 15,-3.21,-8.614455223083496
VISMODEGIB,SORAFENIB,U-251MG,-2.84,-10.306109428405762
GEFITINIB,DASATINIB,TK-10,7.02,0.799036979675293
RALOXIFENE,MITOTANE,HCC2998,10.1,-2.1249094009399414
RUXOLITINIB,ARSENIC TRIOXIDE,HCT 15,-6.79,-9.799213409423828
RALOXIFENE,NILOTINIB,PC-3,-1.82,-3.3320508003234863
GEFITINIB,THALIDOMIDE,UO-31,-9.92,-6.266268730163574
AXITINIB,VEMURAFENIB,MDA-MB-231,-2.22,-6.754709243774414
ABIRATERONE,DASATINIB,HCC2998,-7.19,-6.641828536987305
NILOTINIB,LAPATINIB,SN12C,-29.44,-8.1863431930542
VANDETANIB,CELECOXIB,PC-3,-0.66,-5.940342426300049
CRIZOTINIB,RUXOLITINIB,NCI-H460,-9.62,-7.597382545471191
PACLITAXEL,SORAFENIB,M14,0.82,-7.5777177810668945
RUXOLITINIB,GEFITINIB,IGROV-1,4.92,-8.373491287231445
TAURINE,RUXOLITINIB,L-1236,-33.024,-17.047090530395508
PACLITAXEL,DASATINIB,SW837,3.605,-3.1006503105163574
VISMODEGIB,SUNITINIB,OVCAR-4,-1.35,-5.127700805664063
METFORMIN,SUNITINIB,OV-90,5.5325,-5.28538703918457
DOCETAXEL,MITOTANE,DU145,5.08,-4.551408767700195
GLICLAZIDE,RUXOLITINIB,L-1236,-46.51,-18.737659454345703
DOCETAXEL,ARSENIC TRIOXIDE,SF268,0.25,-10.803264617919922
VEMURAFENIB,SUNITINIB,LOX-IMVI,-10.51,-8.147679328918457
VISMODEGIB,RUXOLITINIB,Caki-1,10.03,29.379852294921875
GEFITINIB,ARSENIC TRIOXIDE,UO-31,-10.24,-9.378883361816406
DASATINIB,LAPATINIB,Caki-1,0.13,-6.357551574707031
ABIRATERONE,LENALIDOMIDE,M14,-7.48,-3.954157829284668
VANDETANIB,IMATINIB,SK-MEL-5,-12.14,-4.56954288482666
TRETINOIN,DASATINIB,HCT 116,3.97,-4.976161479949951
GEFITINIB,SUNITINIB,IGROV-1,-5.22,-5.640959739685059
GEFITINIB,CRIZOTINIB,M14,5.18,-6.408695220947266
ABIRATERONE,DASATINIB,MDA-MB-231,17.47,-8.34600830078125
VEMURAFENIB,RUXOLITINIB,OVCAR-5,4.22,-8.14168930053711
AXITINIB,SUNITINIB,SF268,-13.59,-7.726596832275391
VISMODEGIB,IMATINIB,CCRF-CEM,-1.54,-6.412491798400879
VEMURAFENIB,ABIRATERONE,MCF-7,-13.03,-8.63729476928711
RUXOLITINIB,LENALIDOMIDE,HOP-92,2.04,-4.493414878845215
ABIRATERONE,ROMIDEPSIN,TK-10,-4.94,-33.87125396728516
LENALIDOMIDE,DASATINIB,SNB-75,-6.16,-7.433190822601318
VISMODEGIB,FULVESTRANT,OVCAR-3,-3.29,-3.582710266113281
VISMODEGIB,ROMIDEPSIN,HOP-92,-9.68,-31.05007553100586
RUXOLITINIB,TRETINOIN,SNB-75,-5.05,-1.8286235332489007
MEGESTROL ACETATE,DASATINIB,UACC-257,-3.42,-8.338541030883789
VISMODEGIB,PACLITAXEL,NCI-H522,1.42,-5.749996185302734
VEMURAFENIB,RUXOLITINIB,SK-MEL-2,3.53,-6.908878326416016
RUXOLITINIB,IMATINIB,NCI-H23,-5.82,-5.731222629547119
RUXOLITINIB,NILOTINIB,UACC-62,-3.24,-5.7305521965026855
