dl_cell,Accession,Identifier,Synonym
786-O,CVCL_1051,786-O,"['786-o', '786O', '786-0', '786.O', '786-O RCC', 'RCC 786-O', 'RCC_7860', 'RCC 7860', '7860', '786-0WT']"
A-375,CVCL_0132,A-375,"['A 375', 'A375', 'A375-MEL', 'A375-mel', 'A375mel']"
A-427,CVCL_1055,A-427,"['A427', 'A427N']"
A-498,CVCL_1056,A-498,['A498']
A-549,CVCL_0023,A-549,"['A 549', 'A549', 'NCI-A549', 'A549/ATCC', 'A549 ATCC', 'A549ATCC', 'hA549']"
A-673,CVCL_0080,A-673,"['A673', 'RMS 1598', 'RMS1598']"
A2058,CVCL_1059,A2058,"['A 2058', 'A-2058']"
A2780,CVCL_0134,A2780,"['A-2780', '2780', 'A2780S']"
ACHN,CVCL_1067,ACHN,[]
BT-549,CVCL_1092,BT-549,"['BT 549', 'BT.549', 'BT549']"
CCRF-CEM,CVCL_0207,CCRF-CEM,"['CCRF/CEM', 'CCRFCEM', 'CCRF.CEM', 'CCRF CEM', 'CCRF', 'CEM', 'CEM-CCRF', 'CEM-CCRF (CAMR)', 'CCRF/CEM/0', 'CEM/0', 'CEM-0', 'CCRF-CEM/S', 'GM03671', 'GM03671C']"
COLO 205,CVCL_0218,COLO 205,"['Colo 205', 'CoLo 205', 'COLO-205', 'Colo-205', 'COLO.205', 'Colo205', 'COLO205', 'Co 205', 'Colorado 205']"
COLO 320DM,CVCL_0219,COLO 320DM,"['COLO-320DM', 'COLO_320DM', 'COLO-320-DM', 'COLO #320DM', 'COLO320/DM', 'COLO320-DM', 'COLO320DM', 'Colo320DM', 'COLO320 DM', 'COLO 320 DM', 'COLO 320 (DM)', 'Colorado 320 Double Minutes']"
COLO 858,CVCL_2005,COLO 858,"['COLO-858', 'Colo 858', 'COLO858', 'Colorado 858']"
Caki-1,CVCL_0234,Caki-1,"['CAKI-1', 'CaKi-1', 'caki-1', 'CAKI.1', 'CAKI 1', 'CAKI1', 'Caki1']"
Caov-3,CVCL_0201,Caov-3,"['CaOv-3', 'CaOV-3', 'CAOV-3', 'CAOV3', 'CaOV3', 'CaOv3', 'Caov3', 'CA-OV-3']"
DLD-1,CVCL_0248,DLD-1,"['DLD 1', 'DLD1', 'CoCL3']"
DU145,CVCL_0105,DU145,"['DU-145', 'Du-145', 'DU 145', 'DU_145', 'DU.145', 'Duke University 145']"
ED-40515,CVCL_JF68,ED-40515,"['ED-40515(+)', 'ED40515']"
EFM-192B,CVCL_1813,EFM-192B,['EFM192B']
EKVX,CVCL_1195,EKVX,[]
ESe009-A,CVCL_C769,ESe009-A,"['ES[2]', 'ES-2', 'ES2']"
EW-8,CVCL_V618,EW-8,['EW8']
HCC2998,CVCL_1266,HCC2998,"['HCC-2998', 'HCC.2998', 'HCC 2998']"
HCT 116,CVCL_0291,HCT 116,"['HCT-116', 'HCT.116', 'HCT_116', 'HCT116', 'CoCL2']"
HCT 15,CVCL_0292,HCT 15,"['HCT-15', 'HCT.15', 'HCT15']"
HDLM-2,CVCL_0009,HDLM-2,"['HD-LM-2', 'HDLM2']"
HL-60(TB),CVCL_A794,HL-60(TB),"['HL-60 (TB)', 'HL-60-TB', 'HL-60TB', 'HL-60 TB']"
HOP-62,CVCL_1285,HOP-62,"['HOP 62', 'Hop 62', 'HOP.62', 'HOP62', 'Hop62', 'Hopkins-62']"
HOP-92,CVCL_1286,HOP-92,"['HOP 92', 'HOP.92', 'HOP92', 'Hop92', 'Hopkins-92']"
HT-144,CVCL_0318,HT-144,"['HT 144', 'HT144', 'HT144-mel', 'HT144mel']"
HT-29,CVCL_0320,HT-29,"['HT 29', 'HT29']"
Hs 578T,CVCL_0332,Hs 578T,"['HS 578T', 'Hs-578T', 'HS-578T', 'Hs_578t', 'Hs-578-T', 'HS-578-T', 'Hs 578.T', 'HS578T', 'Hs578T', 'Hs578t', 'HS0578T', '578T', 'HS578', 'Hs578', 'Homo sapiens No. 578, tumor cells']"
Huh-7,CVCL_0336,Huh-7,"['HuH-7', 'HUH-7', 'HuH7', 'Huh7', 'HUH7', 'HUH7.0', 'JTC-39', 'Japanese Tissue Culture-39']"
IGROV-1,CVCL_1304,IGROV-1,"['Igrov-1', 'IGROV 1', 'IGR-OV1', 'IGROV1', 'Igrov1', 'IGR.OV1', 'IGROV', 'OV1/P', 'OV1/p', 'OV1-P']"
JHH-136,CVCL_VT28,JHH-136,[]
JHH-520,CVCL_VT33,JHH-520,[]
K-562,CVCL_0004,K-562,"['K562', 'K.562', 'K 562', 'KO', 'GM05372', 'GM05372E']"
KB-3-1,CVCL_2088,KB-3-1,"['KB 3-1', 'KB3-1', 'KB31']"
KB-ChR-8-5-11,CVCL_5997,KB-ChR-8-5-11,['KB-8-5-11']
KBM-7,CVCL_A426,KBM-7,"['KBM7', 'KBM-7/Hap8']"
KM12,CVCL_1331,KM12,"['KM-12', 'KM.12']"
KPL-1,CVCL_2094,KPL-1,"['KPL.1', 'KPL1']"
