Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
paclitaxel,Sunitinib,ACHN,ALMANAC,5.6714095358599,-8.768470764160156
raloxifene,Vismodegib,HT29,ALMANAC,-4.76255196765668,-1.897247314453125
Axitinib,Vandetanib,UACC-257,ALMANAC,3.66313041087705,-1.9522647857666016
Vismodegib,Axitinib,NCI-H522,ALMANAC,0.575967253941316,-3.0784568786621094
Nilotinib,Enzastaurin,SK-MEL-5,FRIEDMAN,-12.0132089345431,-13.888649940490724
Nilotinib,Cediranib,UACC62,FRIEDMAN,5.43540834419154,-8.863594055175781
Ruxolitinib,Vandetanib,UO-31,ALMANAC,1.89336396504734,-6.104482650756836
Imatinib,Romidepsin,UACC62,ALMANAC,-64.2987925756874,-46.45269775390625
Enzastaurin,Lestaurtinib,SKMEL30,FRIEDMAN,15.9817503490381,-6.838993072509766
Lenalidomide,Imatinib,SR,ALMANAC,-0.0584721758068966,4.547597885131836
Romidepsin,Lapatinib,CAKI-1,ALMANAC,-37.8453572333546,-41.40181350708008
Enzastaurin,Vorinostat,COLO 800,FRIEDMAN,-68.9718756362875,-5.520729064941406
Sunitinib,Sorafenib,TK-10,ALMANAC,-4.50862415923759,-6.92677116394043
Fingolimod,Crizotinib,COLO 829,FRIEDMAN,3.15940200797445,-17.894062042236328
Vandetanib,Axitinib,NCI-H522,ALMANAC,3.75236740868467,-5.952141284942627
Vismodegib,Cediranib,UACC-257,FRIEDMAN,-0.603524612703718,-5.844085693359375
MEGESTROL ACETATE,Vorinostat,SF-539,ALMANAC,-50.8363631911546,-17.527385711669922
Gefitinib,Enzastaurin,T-47D,ASTRAZENECA,-0.758807793678774,-15.399457931518556
Axitinib,Nilotinib,SK-MEL-28,ALMANAC,1.25240382594266,-1.1129264831542969
Crizotinib,Abiraterone,SF-268,ALMANAC,7.1831444691674,-1.7213878631591797
Sorafenib,Palbociclib,LB2518-MEL,FRIEDMAN,-19.2636792950819,-5.078746795654297
Nilotinib,Tideglusib,COLO 800,FRIEDMAN,11.5697331598029,-11.229900360107422
Erlotinib,Lenalidomide,MeWo,FRIEDMAN,1.47352382616359,-6.307202339172363
VX-702,Vatalanib,WM115,FRIEDMAN,0.684090522697142,-8.201475143432617
Sunitinib,Midostaurin,A2058,FRIEDMAN,0.349315538926308,-6.141036987304688
Linsitinib,Erlotinib,Mel Ho,FRIEDMAN,-0.316731257312025,-5.205955505371094
Vemurafenib,Sorafenib,UO-31,ALMANAC,2.42988200069625,-9.115068435668944
Dasatinib,mitotane,NCI-H460,ALMANAC,-0.484210537476801,-3.517118453979492
Lenalidomide,thalidomide,RXF 393,ALMANAC,-1.34398407245947,-0.2904601097106933
vinblastine,Vorinostat,NCIH520,ONEIL,-3.15887949932979,-3.3680877685546875
Romidepsin,Fulvestrant,SF-295,ALMANAC,-32.5470329370273,-36.98900604248047
Vatalanib,Erlotinib,RVH-421,FRIEDMAN,6.78302352558366,-1.0722923278808594
Lenalidomide,Vorinostat,A549,ALMANAC,7.65214812700771,-9.133781433105469
Axitinib,Lenalidomide,ACHN,ALMANAC,-5.68033021519985,-9.103203773498535
Vemurafenib,Dasatinib,PC-3,ALMANAC,-14.0110886868556,-4.387151718139648
vinblastine,geldanamycin,UACC62,ONEIL,-14.564555056626377,-0.3200912475585937
Ruxolitinib,Erlotinib,SKMEL30,FRIEDMAN,12.5130070585648,-2.163236618041992
Vemurafenib,Dasatinib,BT-549,ALMANAC,4.61707819599477,-4.742652893066406
Lenalidomide,Nilotinib,UO-31,ALMANAC,-0.606117284349385,-4.904184341430664
Lenalidomide,Cediranib,RPMI7951,FRIEDMAN,6.16833485535474,-5.352916717529297
Sunitinib,Sorafenib,K-562,ALMANAC,-14.9881482561835,-5.78760290145874
Abiraterone,Fulvestrant,MDA-MB-468,ALMANAC,-15.980825193882,-1.1974687576293943
Sunitinib,mitotane,HOP-62,ALMANAC,1.3025673342216,-2.802114486694336
Ruxolitinib,Enzastaurin,SKMEL30,FRIEDMAN,-15.3669964559972,-13.620737075805664
Ruxolitinib,Lapatinib,IST-MEL1,FRIEDMAN,-6.22222765400135,-9.900032043457031
Ruxolitinib,thalidomide,MDA-MB-231,ALMANAC,-0.937872758031419,-4.767326354980469
Pazopanib,Dasatinib,A2058,FRIEDMAN,-14.055209894439,-8.775121688842773
Tideglusib,VX-702,UACC-257,FRIEDMAN,-5.20898806907549,-9.291585922241213
Crizotinib,thalidomide,NCIH23,ALMANAC,-3.51488001849435,-1.5368671417236328
Vismodegib,Vorinostat,G-361,FRIEDMAN,0.650117329872427,-10.93963623046875
Abiraterone,Vismodegib,MCF7,ALMANAC,3.8417570351335,-2.398144721984864
Fingolimod,Lapatinib,LB2518-MEL,FRIEDMAN,-22.2160384187578,-18.75824737548828
Vemurafenib,Ruxolitinib,RPMI-8226,ALMANAC,-4.89979095035332,-8.20486068725586
Axitinib,paclitaxel,OVCAR-8,ALMANAC,-33.9369501784522,-12.102837562561035
paclitaxel,Vorinostat,NCIH23,ALMANAC,-4.06766358306629,-4.840007781982422
Vemurafenib,Vismodegib,A549,ALMANAC,1.11649237269139,-6.47367000579834
RAF265,Vorinostat,SKMEL30,FRIEDMAN,27.8877345966701,-8.727359771728516
SNS-032,Pioglitazone,G-361,FRIEDMAN,-11.9287003329828,-11.542176246643066
Palbociclib,SNS-032,COLO 829,FRIEDMAN,-2.4690824914817,-11.979873657226562
Sunitinib,Erlotinib,VCAP,ONEIL,7.960789166364423,0.5865287780761719
Vandetanib,Imatinib,MOLT-4,ALMANAC,-8.37657147519698,-3.868633270263672
Lapatinib,Sorafenib,HCC-2998,ALMANAC,-17.6139119989163,-6.506603717803955
