symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231/ATCC,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
A1BG,-1,1,1,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,1,1,0,0,0,0,0,-1,0,1,0,1,-1,-1,-1,0,1,2,1,-1,1,0,1,0,1,1,-1,1,-1,0,0,0,0,-1,-1,-1,0,0,0,-1
A1BG-AS1,-1,1,1,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,1,1,0,0,0,0,0,-1,0,1,0,1,-1,-1,-1,0,1,2,1,-1,1,0,1,0,1,1,-1,1,-1,0,0,0,0,-1,-1,-1,0,0,0,-1
A1CF,0,1,0,1,0,-1,0,0,1,0,0,-1,0,-1,0,-1,-1,0,1,0,0,-1,0,0,0,0,0,0,1,1,1,1,1,0,1,2,-1,1,-1,-1,-1,0,-1,-1,0,0,-1,0,1,1,0,0,-1,-1,-1
A2M,-1,-1,0,1,0,1,0,0,-1,1,0,0,0,1,-1,-1,0,0,-1,-1,1,0,-1,-1,-1,0,0,1,1,-1,0,0,0,0,1,-1,1,0,1,0,-1,0,-1,0,-1,-1,-1,0,1,-2,0,0,1,1,1
A2ML1,-1,-1,0,1,0,1,0,0,-1,0,0,0,0,1,-1,-1,0,0,-1,-1,1,0,-1,-1,-1,0,0,1,1,-1,0,0,0,0,1,-1,0,0,1,0,-1,0,-1,0,-1,-1,-1,0,1,-2,0,0,0,1,1
A2MP1,-1,-1,0,1,0,1,0,0,-1,1,0,0,0,1,-1,-1,0,0,-1,-1,1,0,-1,-1,-1,0,0,1,1,-1,0,0,0,0,1,-1,1,0,1,0,-1,0,-1,0,-1,-1,-1,0,1,-2,0,0,1,1,1
A4GALT,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,-1,1,-1,2,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-2
A4GNT,0,-1,-1,0,0,1,0,1,1,-1,0,0,0,0,1,1,0,-1,-1,0,0,1,0,-1,0,0,0,1,-1,-1,1,1,1,0,1,-1,1,1,-1,0,1,1,1,1,0,-1,1,0,0,1,0,0,0,2,1
AAAS,-1,-1,0,1,-1,1,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,1,0,1,-1,-1,0,1,1,0,1,-1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,0,1,-1,0,1,1,0,-1,0,0,1
AACS,-1,-1,0,1,-1,1,0,1,-1,-1,0,0,0,-1,-1,-1,0,0,0,1,1,0,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,-1,0,1,0,1,-1,0,0,1,0,0,-2,0,1
AACSP1,0,1,0,0,1,1,-1,1,-1,1,0,0,0,1,0,-1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,2,1,1,1,0,0,1,1,1,1,1,-1,0,0,0,1,0,0,-1,1,-1,-1,-1
AADAC,0,0,0,0,0,1,0,1,1,-1,0,0,0,0,1,1,1,-1,0,0,0,2,1,-1,0,0,0,1,1,0,1,1,0,0,-1,0,2,1,-1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
AADACL2,0,0,0,0,0,1,0,1,1,-1,0,0,0,0,1,1,1,-1,0,0,0,2,1,-1,0,0,0,1,1,0,1,1,0,0,-1,0,2,1,-1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
AADACL3,0,-1,-1,-1,1,-1,0,-1,-1,-1,-2,-1,0,-1,0,1,-1,0,1,0,-1,1,-1,-1,-1,0,-1,1,-1,-1,1,2,0,0,-1,0,1,1,1,0,1,0,2,-1,0,0,0,0,0,-1,1,0,1,0,-1
AADACL4,0,-1,-1,-1,1,-1,0,-1,-1,-1,-2,-1,0,-1,0,1,-1,0,1,0,-1,1,-1,-1,-1,0,-1,1,-1,-1,1,2,0,0,-1,0,1,1,1,0,1,0,2,-1,0,0,0,0,0,-1,1,0,1,0,-1
AADAT,-1,0,-1,0,-1,0,0,0,-2,1,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,0,-1,-1,0,0,-1,-1,0,-1,-1,0
AAED1,0,1,-1,0,1,-1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,1,0,-1,0,0,0,0,0,-1,1,0,-1,-1,0,-1,0,-1,-1,0,0,1,0,0,0,0,-1,1,0,0,-1,1,1,-1,-1,-1
AAGAB,-1,-1,1,-1,-1,-1,0,1,0,1,0,1,0,-1,-1,-1,1,0,0,0,0,1,1,-1,-1,0,1,0,1,1,-1,-1,-1,1,-1,-1,1,0,0,0,1,-1,-1,0,0,-1,-1,0,0,0,0,1,1,-1,-1
AAK1,0,1,1,1,-1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,0,0,0,1,1,1,1,0,0,1,-1,0,0,0,1,0,-1,0,1,1,2,1,-1,0,0,-1,1,0,0,1,-1
AAMDC,0,-1,0,0,0,0,0,0,0,2,1,-1,0,-1,-1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,-1,1,2,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,0,-1,0,1,1,1,-1,-1,-1,1
AAMP,0,-1,0,1,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,1,1,0,1,-1,0,-1,-1,1,0,1,-1,1,0,0,0,-1,0,0,-1,1,0,0,0,-1
AANAT,0,1,1,1,-1,1,0,1,0,1,0,1,0,1,1,-1,-1,0,0,-1,1,0,-1,0,1,1,0,0,-1,1,1,1,1,1,1,1,0,0,1,1,-1,1,0,1,0,0,-1,0,1,1,1,1,-1,0,-1
AAR2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,-1,1,0,1,0,1,1,1,-1,1,1,1,1,1,0,1,1,0,1,1,2,1,0,1,1,0,1,1,1,-1,1,1,1
AARD,1,1,0,0,1,1,0,1,1,1,0,2,0,1,1,2,2,1,0,2,2,-1,1,1,-1,1,1,1,1,0,1,1,-1,1,2,1,0,2,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
AARS,0,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,1,0,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,0,2,0,-1,-1,-1,-1,1
AARS2,0,-1,-1,0,1,-1,0,-1,0,-1,0,-1,0,1,-1,1,-1,-1,1,0,1,0,1,1,1,1,0,0,-1,-1,1,-1,1,0,-1,0,0,-1,1,0,1,0,-1,-1,0,1,0,0,0,0,-1,-1,-1,-1,-1
AARSD1,0,1,1,1,-1,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0,-1,1,0,0,-1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1,0,0,1,1,-1,0,-1,1,1,1,0,0,-1
AASDH,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,1,-1,0,0,-1,0,0,-1,0,1,0,-1,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,0
AASDHPPT,0,-1,-1,0,0,-1,0,0,1,2,1,0,0,1,-1,1,1,0,0,0,1,0,-1,1,1,0,0,-1,1,0,1,-1,0,1,1,1,1,0,1,0,-1,-1,-1,-1,0,0,-1,0,1,1,-2,-1,1,0,1
AASS,1,1,1,2,0,1,0,0,1,1,1,0,0,0,2,1,1,1,1,0,0,2,1,0,0,1,0,1,-1,1,1,0,2,0,-1,1,1,1,1,1,0,1,1,1,-1,0,1,1,1,-1,1,0,1,2,2
AATF,0,1,1,1,-1,0,0,1,0,-1,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0,-1,1,0,0,-1,1,1,-1,-1,1,-1,-1,0,-1,1,1,0,1,0,0,0,-1,-1,0,0,1,1,1,0,0,-1
AATK,0,0,1,1,-1,1,0,1,0,1,0,1,0,1,1,-1,-1,0,0,-1,1,0,-1,0,-1,1,0,0,-1,1,1,-1,1,1,-1,1,0,-1,1,1,1,1,0,2,0,0,-1,0,1,1,1,1,-1,0,-1
ABAT,0,1,0,1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,0,1,-1,0,0,-1,0,0,0,-1,0,-1,1,1
ABCA1,0,1,0,0,1,0,0,1,1,-2,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,1,0,-1,-1,0,-1,0,-1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,-2,-1,0
ABCA2,0,0,-1,-1,1,-1,0,1,0,-1,0,-1,0,-1,-1,-1,-1,0,0,-1,1,0,-1,0,0,0,-1,-1,1,1,-1,-1,-1,0,1,0,1,0,-1,0,0,-1,-1,0,0,-1,1,0,-1,1,1,1,-1,-1,-1
ABCA3,0,1,-1,1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,1
ABCA4,1,-1,-1,0,1,-1,0,-1,-1,1,0,0,0,-1,1,1,0,0,0,0,0,1,-1,1,1,0,-1,0,0,-1,1,0,2,0,1,1,-1,1,1,0,1,0,0,-1,1,-1,1,0,0,-1,1,1,2,-1,0
ABCA5,0,1,1,1,-1,2,0,1,0,1,0,2,0,1,1,-1,0,0,0,0,1,0,2,0,1,1,0,0,-1,1,1,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,0,0,-1,0,1,1,2,1,1,1,0
ABCA6,0,1,1,1,-1,2,0,1,0,1,0,2,0,1,1,-1,0,0,0,0,1,0,1,0,1,1,0,0,-1,1,1,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,0,0,-1,0,1,1,2,1,1,1,0
ABCA7,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-2,0,1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1
ABCA8,0,1,1,1,-1,2,0,1,0,1,0,2,0,1,1,-1,0,0,0,0,1,0,1,0,1,1,0,0,-1,1,1,0,-1,1,1,1,0,-1,1,1,1,1,1,1,0,0,-1,0,1,1,2,1,1,1,-1
ABCA9,0,1,1,1,-1,2,0,1,0,1,0,2,0,1,1,-1,0,0,0,0,1,0,1,0,1,1,0,0,-1,1,1,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,0,0,-1,0,1,1,2,1,1,1,0
ABCA10,0,1,1,1,-1,2,0,1,0,1,0,2,0,1,1,-1,0,0,0,0,1,0,2,0,1,1,0,0,-1,1,1,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,0,0,-1,0,1,1,2,1,1,1,0
ABCA11P,0,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,-2,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,1,2,-1,-1,-1,-1,0,-1,0,-1,-1,-2,0,1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1
ABCA12,0,1,0,1,-1,0,0,0,-1,1,0,0,2,1,0,1,0,0,-1,0,1,1,0,-1,-1,0,-1,0,1,1,1,0,0,1,-1,0,-1,-2,1,0,1,0,1,0,0,0,-1,-2,0,-1,1,0,2,1,0
ABCA13,1,1,0,1,1,1,0,0,1,2,2,1,0,1,1,1,1,1,0,0,-1,0,0,0,1,0,0,1,1,1,1,0,2,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1,1,2,2,1,1,1,2,2
ABCA17P,0,1,-1,1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,1
ABCB1,1,1,0,1,0,1,0,0,1,2,1,0,-2,0,1,1,1,1,1,0,0,1,2,0,-1,1,0,1,-1,1,1,0,2,0,1,1,1,1,1,1,-2,1,1,1,-1,-1,1,1,1,1,1,0,1,1,2
ABCB4,1,1,0,1,0,1,0,0,1,2,1,0,-2,0,1,1,1,1,1,0,0,1,2,0,-1,1,0,1,-1,1,1,0,2,0,1,1,1,1,1,1,-2,1,1,1,-1,-1,1,1,1,1,1,0,1,1,2
ABCB5,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,-1,1,1,-1,1,1,0,-1,1,1,1,1,2,1,1,1,1,2,1,-1,0,1,1,1,1,1,1,1,1,1
ABCB6,0,-1,0,1,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,1,-1,0,1,-1,0,-1,-1,1,0,1,-1,1,0,0,0,-1,0,0,-1,1,0,0,0,-1
ABCB8,1,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,1,1,1,1,-1,1,0,1,0,1,0,1,-1,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,-1,1,1,2,1,1
ABCB9,-1,-1,0,1,-1,1,0,1,0,-1,0,0,0,-1,-1,-1,0,0,0,1,1,1,-1,0,-1,0,0,1,-1,1,-1,-1,-1,0,1,1,0,-1,-1,0,0,-1,0,1,0,1,-1,0,0,1,0,0,-1,0,1
ABCB10,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,0,1,0,-1,0,1,1,1,0,-1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,-1
ABCB11,0,1,0,1,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,-1,0,0,1,-1,0,1,0,1,-1,0,0,-1,0,1,-1,1,0,1,1,-1
ABCC1,0,1,0,1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,0,0,1,-1,0,0,-1,0,0,0,-1,0,-1,1,1
ABCC2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,1,1,1,0,0,0,-1,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,0,0,1,-1,0,-1,-1,-1
ABCC3,0,1,1,1,-1,0,0,1,0,-1,0,1,0,1,0,-1,0,0,0,0,1,0,-1,0,-1,1,0,0,-1,1,1,-1,-1,1,1,1,0,-1,1,1,1,1,0,0,0,1,-1,0,0,1,1,1,0,0,-1
ABCC4,-1,-1,-1,0,1,-1,0,1,-1,-1,1,0,0,-1,-1,-1,1,-1,-1,0,0,-1,-1,-1,1,0,0,-1,0,0,-1,-1,-1,1,1,-1,-1,0,-2,0,1,-1,-1,1,-1,-1,1,0,1,-1,1,-1,2,-1,-1
ABCC5,0,-1,-1,0,0,1,0,1,1,-1,0,0,0,-1,1,1,0,-1,0,0,0,1,0,0,-1,0,0,1,1,-1,1,1,0,1,-1,0,1,-1,-1,0,1,1,1,1,0,-1,1,0,0,2,0,1,0,1,1
ABCC6,0,1,0,1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,0,0,1,-1,0,0,-1,0,0,0,-1,0,-1,1,1
ABCC6P1,0,1,0,1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,0,0,1,-1,0,0,-1,0,0,0,-1,0,-1,1,1
ABCC6P2,0,1,0,1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,1,-1,1,0,-1,1,0,0,1,-1,0,0,-1,0,0,0,-1,0,-1,1,1
ABCC8,0,1,0,0,-1,-1,0,1,-1,-1,0,0,0,0,-1,-1,1,-1,0,0,1,0,-2,0,-1,0,0,-1,1,-1,1,0,-1,1,-1,1,-1,0,1,-1,0,0,1,0,0,1,-1,0,1,-1,-1,0,-1,-1,1
ABCC9,0,0,1,2,0,1,0,0,-1,1,0,0,0,1,-1,-1,1,0,-1,0,1,1,0,-1,-1,0,0,1,2,0,0,1,0,0,0,-1,1,0,1,0,0,0,1,1,-1,-1,-1,0,2,1,0,0,2,1,1
ABCC10,0,-1,-1,0,1,-1,0,-1,0,-1,0,-1,0,1,-1,1,-1,-1,1,0,1,0,1,1,1,1,0,0,-1,-1,1,-1,1,0,-1,0,0,-1,1,0,1,0,-1,-1,0,1,0,0,0,0,-1,-1,0,-1,-1
ABCC11,0,1,0,1,-1,1,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,-1,0,-1,-1,1,0,0,0,1,1,0,-1,1,1,1,0,1,-1,-1,1,-2,-1,-1,-1,1,1,-1,0,1,-1,-1,0,0,-1,1
ABCC12,0,1,0,1,-1,1,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,-1,0,-1,-1,1,0,0,0,1,1,0,-1,1,1,1,0,1,-1,-1,1,-2,-1,-1,-1,1,1,-1,0,1,-1,-1,0,0,-1,1
ABCC13,1,1,-1,0,0,0,0,-1,1,-1,0,0,0,1,-1,0,-1,-1,0,-1,1,-1,-1,-1,1,0,0,-1,0,0,1,2,1,-1,2,-1,1,-1,1,1,-1,-1,0,-1,1,1,1,0,0,1,-1,0,1,-1,-2
ABCD2,-1,-1,1,2,-1,1,0,0,1,-1,0,0,0,-1,0,-1,0,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,0,1,1,0,-1,1,1,0,1,0,1,0,0,1,1,1,-1,0,0,1,0,0,1,1,1
