src,dest
C02165,PPARA
C14762,PPARG
C14767,PPARG
C14776,PPARA
C15493,RXRA
C15493,RXRB
C15493,RXRG
PPARA,NR1H3
PPARA,ME3
PPARA,SLC27A4
PPARA,APOA5
PPARA,CPT1C
PPARA,CPT1A
PPARA,CPT1B
PPARA,CPT2
PPARA,CYP7A1
PPARA,CYP8B1
PPARA,DBI
PPARA,EHHADH
PPARA,FABP1
PPARA,ACSL1
PPARA,ACSL3
PPARA,ACSL4
PPARA,ACSBG1
PPARA,ACSL6
PPARA,ACAA1
PPARA,HMGCS1
PPARA,HMGCS2
PPARA,APOA1
PPARA,APOA2
PPARA,ACADM
PPARA,APOC3
PPARA,SLC27A1
PPARA,LPL
PPARA,ME1
PPARA,ACOX1
PPARA,ANGPTL4
PPARA,ACSL5
PPARA,PLTP
PPARA,RXRA
PPARA,RXRB
PPARA,RXRG
PPARA,SCD
PPARA,SCP2
PPARA,UCP1
PPARA,SCD5
PPARA,ACSBG2
PPARA,ACOX2
PPARA,ACOX3
PPARA,FADS2
PPARD,CPT1C
PPARD,CPT1A
PPARD,CPT1B
PPARD,FABP3
PPARD,ACADL
PPARD,ILK
PPARD,LPL
PPARD,ACOX1
PPARD,ANGPTL4
PPARD,PDPK1
PPARD,RXRA
PPARD,RXRB
PPARD,RXRG
PPARD,UBC
PPARD,UCP1
PPARD,ACOX2
PPARD,ACOX3
PPARG,LOC100509620
PPARG,NR1H3
PPARG,SORBS1
PPARG,SLC27A4
PPARG,LOC112267859
PPARG,PLIN2
PPARG,CPT1C
PPARG,CPT1A
PPARG,CPT1B
PPARG,CYP27A1
PPARG,FABP4
PPARG,ACSL1
PPARG,ACSL3
PPARG,ACSL4
PPARG,ACSBG1
PPARG,ACSL6
PPARG,GK
PPARG,GK2
PPARG,AQP7
PPARG,SLC27A1
PPARG,LPL
PPARG,MMP1
PPARG,PLIN5
PPARG,OLR1
PPARG,PCK1
PPARG,PCK2
PPARG,ANGPTL4
PPARG,ACSL5
PPARG,PLIN1
PPARG,RXRA
PPARG,RXRB
PPARG,RXRG
PPARG,SCD
PPARG,PLIN4
PPARG,UCP1
PPARG,SCD5
PPARG,ACSBG2
PPARG,ADIPOQ
PPARG,CD36
RXRA,LOC100509620
RXRA,NR1H3
RXRA,SORBS1
RXRA,ME3
RXRA,SLC27A4
RXRA,LOC112267859
RXRA,APOA5
RXRA,PLIN2
RXRA,CPT1C
RXRA,CPT1A
RXRA,CPT1B
