dl_cell,Accession,Identifier,Synonym,rna_cell,cnv_cell
22Rv1,CVCL_1045,22Rv1,"['22RV1', '22Rv-1', '22rV1', 'CWR-22rv1', 'CWR22-Rv1', 'CWR22R-V1', 'CWR22-R1', 'CWR22Rv1', 'CWR22R']",22RV1,22RV1
451Lu,CVCL_6357,451Lu,"['451LU', '451-LU', 'WM 451-Lu', 'WM-451Lu', 'WM-451LU', 'WM451Lu', 'WM451', 'WC00059', 'LU451', 'Lu451', 'EST81']",451Lu,451Lu
647V,CVCL_1049,647V,"['647-V', '647 V']",647-V,647-V
786-0,CVCL_1051,786-O,"['786-o', '786O', '786-0', '786.O', '786-O RCC', 'RCC 786-O', 'RCC_7860', 'RCC 7860', '7860', '786-0WT']",786-0,786-0
A-673,CVCL_0080,A-673,"['A673', 'RMS 1598', 'RMS1598']",A673,A673
A101D,CVCL_1057,A101D,['A-101D'],A101D,A101D
A2058,CVCL_1059,A2058,"['A 2058', 'A-2058']",A2058,A2058
A2780,CVCL_0134,A2780,"['A-2780', '2780', 'A2780S']",A2780,A2780
A375,CVCL_0132,A-375,"['A 375', 'A375', 'A375-MEL', 'A375-mel', 'A375mel']",A375,A375
A427,CVCL_1055,A-427,"['A427', 'A427N']",A427,A427
A498,CVCL_1056,A-498,['A498'],A498,A498
A549,CVCL_0023,A-549,"['A 549', 'A549', 'NCI-A549', 'A549/ATCC', 'A549 ATCC', 'A549ATCC', 'hA549']",A549,A549
ACHN,CVCL_1067,ACHN,[],ACHN,ACHN
AGS,CVCL_0139,AGS,[],AGS,AGS
BFTC-905,CVCL_1083,BFTC-905,"['BFTC 905', 'BFTC905', 'Black Foot disease Transitional Carcinoma 905']",BFTC-905,BFTC-905
BT-20,CVCL_0178,BT-20,"['BT 20', 'BT20']",BT-20,BT-20
BT-474,CVCL_0179,BT-474,"['Bt-474', 'BT474']",BT-474,BT-474
BT-549,CVCL_1092,BT-549,"['BT 549', 'BT.549', 'BT549']",BT-549,BT-549
CAKI-1,CVCL_0234,Caki-1,"['CAKI-1', 'CaKi-1', 'caki-1', 'CAKI.1', 'CAKI 1', 'CAKI1', 'Caki1']",CAKI-1,CAKI-1
CAL-120,CVCL_1104,CAL-120,"['CAL 120', 'CAL120']",CAL-120,CAL-120
CAL-148,CVCL_1106,CAL-148,"['CAL 148', 'CAL148', 'Centre Antoine Lacassagne-148']",CAL-148,CAL-148
CAL-51,CVCL_1110,CAL-51,"['CAL 51', 'CAL51', 'Cal51', 'Centre Antoine Lacassagne-51']",CAL-51,CAL-51
CAMA-1,CVCL_1115,CAMA-1,"['Cama-1', 'CAMA1', 'CAMA']",CAMA-1,CAMA-1
CAOV3,CVCL_0201,Caov-3,"['CaOv-3', 'CaOV-3', 'CAOV-3', 'CAOV3', 'CaOV3', 'CaOv3', 'Caov3', 'CA-OV-3']",Caov-3,Caov-3
CCRF-CEM,CVCL_0207,CCRF-CEM,"['CCRF/CEM', 'CCRFCEM', 'CCRF.CEM', 'CCRF CEM', 'CCRF', 'CEM', 'CEM-CCRF', 'CEM-CCRF (CAMR)', 'CCRF/CEM/0', 'CEM/0', 'CEM-0', 'CCRF-CEM/S', 'GM03671', 'GM03671C']",CCRF-CEM,CCRF-CEM
COLO 205,CVCL_0218,COLO 205,"['Colo 205', 'CoLo 205', 'COLO-205', 'Colo-205', 'COLO.205', 'Colo205', 'COLO205', 'Co 205', 'Colorado 205']",COLO-205,COLO-205
COLO 792,CVCL_1134,COLO 792,"['COLO-792', 'COLO #792', 'COLO792', 'Colorado 792']",COLO-792,COLO-792
COLO 800,CVCL_1135,COLO 800,"['COLO-800', 'COLO #800', 'COLO800', 'Colorado 800']",COLO-800,COLO-800
COLO 829,CVCL_1137,COLO 829,"['COLO-829', 'Colo-829', 'Colo 829', 'COLO #829', 'COLO829', 'Colo829', 'Colorado 829']",COLO-829,COLO-829
Calu-3,CVCL_0609,Calu-3,"['CaLu-3', 'CALU-3', 'Calu 3', 'Calu3', 'CALU3']",Calu-3,Calu-3
Calu-6,CVCL_0236,Calu-6,"['CaLu-6', 'CALU-6', 'Calu.6', 'Calu 6', 'Calu6', 'CALU6', 'CaLu-06']",Calu-6,Calu-6
DMS 114,CVCL_1174,DMS 114,"['DMS-114', 'DMS114']",DMS-114,DMS-114
DU-145,CVCL_0105,DU145,"['DU-145', 'Du-145', 'DU 145', 'DU_145', 'DU.145', 'Duke University 145']",DU-145,DU-145
DU4475,CVCL_1183,DU4475,"['Du4475', 'DU-4475', 'Du-4475', 'DU 4475', 'Du 4475', 'Duke University 4475']",DU-4475,DU-4475
EKVX,CVCL_1195,EKVX,[],EKVX,EKVX
Evsa-T,CVCL_1207,Evsa-T,"['EVSA-T', 'EVSa-T', 'EVSA/T', 'Evsa T', 'EVSAT', 'EvsaT']",EVSA-T,EVSA-T
G-361,CVCL_1220,G-361,"['G361', 'G361-mel', 'G361mel']",G-361,G-361
HCC-2998,CVCL_1266,HCC2998,"['HCC-2998', 'HCC.2998', 'HCC 2998']",HCC2998,HCC2998
HCC1143,CVCL_1245,HCC1143,['HCC-1143'],HCC1143,HCC1143
HCC1187,CVCL_1247,HCC1187,['HCC-1187'],HCC1187,HCC1187
HCC1395,CVCL_1249,HCC1395,"['HCC-1395', 'SCC-1395']",HCC1395,HCC1395
HCC1419,CVCL_1251,HCC1419,['HCC-1419'],HCC1419,HCC1419
HCC1428,CVCL_1252,HCC1428,['HCC-1428'],HCC1428,HCC1428
HCC1500,CVCL_1254,HCC1500,['HCC-1500'],HCC1500,HCC1500
HCC1569,CVCL_1255,HCC1569,['HCC-1569'],HCC1569,HCC1569
HCC1806,CVCL_1258,HCC1806,"['Hcc1806', 'HCC-1806']",HCC1806,HCC1806
HCC1937,CVCL_0290,HCC1937,"['HCC-1937', 'HCC/1937']",HCC1937,HCC1937
HCC1954,CVCL_1259,HCC1954,['HCC-1954'],HCC1954,HCC1954
HCC38,CVCL_1267,HCC38,"['Hcc38', 'HCC-38', 'HCC 38', 'HCC0038']",HCC38,HCC38
HCC70,CVCL_1270,HCC70,"['HCC-70', 'HCC 70', 'HCC0070']",HCC70,HCC70
HCT-15,CVCL_0292,HCT 15,"['HCT-15', 'HCT.15', 'HCT15']",HCT-15,HCT-15
HCT116,CVCL_0291,HCT 116,"['HCT-116', 'HCT.116', 'HCT_116', 'HCT116', 'CoCL2']",HCT-116,HCT-116
HDLM-2,CVCL_0009,HDLM-2,"['HD-LM-2', 'HDLM2']",HDLM-2,HDLM-2
HOP-62,CVCL_1285,HOP-62,"['HOP 62', 'Hop 62', 'HOP.62', 'HOP62', 'Hop62', 'Hopkins-62']",HOP-62,HOP-62
HOP-92,CVCL_1286,HOP-92,"['HOP 92', 'HOP.92', 'HOP92', 'Hop92', 'Hopkins-92']",HOP-92,HOP-92
HS 578T,CVCL_0332,Hs 578T,"['HS 578T', 'Hs-578T', 'HS-578T', 'Hs_578t', 'Hs-578-T', 'HS-578-T', 'Hs 578.T', 'HS578T', 'Hs578T', 'Hs578t', 'HS0578T', '578T', 'HS578', 'Hs578', 'Homo sapiens No. 578, tumor cells']",Hs-578-T,Hs-578-T
HT-1197,CVCL_1291,HT-1197,"['HT 1197', 'HT1197', 'HT 1197.T']",HT-1197,HT-1197
HT-1376,CVCL_1292,HT-1376,"['HT1376', 'HT 1376', 'HT 1376.T']",HT-1376,HT-1376
HT144,CVCL_0318,HT-144,"['HT 144', 'HT144', 'HT144-mel', 'HT144mel']",HT-144,HT-144
HT29,CVCL_0320,HT-29,"['HT 29', 'HT29']",HT-29,HT-29
Huh-7,CVCL_0336,Huh-7,"['HuH-7', 'HUH-7', 'HuH7', 'Huh7', 'HUH7', 'HUH7.0', 'JTC-39', 'Japanese Tissue Culture-39']",HuH-7,HuH-7
IGROV1,CVCL_1304,IGROV-1,"['Igrov-1', 'IGROV 1', 'IGR-OV1', 'IGROV1', 'Igrov1', 'IGR.OV1', 'IGROV', 'OV1/P', 'OV1/p', 'OV1-P']",IGROV-1,IGROV-1
IPC-298,CVCL_1307,IPC-298,"['IPC 298', 'IPC298']",IPC-298,IPC-298
IST-MEL1,CVCL_1308,IST-MEL1,"['ISTMEL1', 'Istituto Scientifico Tumori-MELanoma 1']",IST-MEL1,IST-MEL1
J82,CVCL_0359,J82,"['J-82', 'J 82', 'J82COT', 'J82 COT']",J82,J82
K-562,CVCL_0004,K-562,"['K562', 'K.562', 'K 562', 'KO', 'GM05372', 'GM05372E']",K-562,K-562
KATO III,CVCL_0371,KATO III,"['Kato III', 'Kato-III', 'KATO-III', 'KATOIII', 'KatoIII', 'KATO 3', 'JTC-28', 'Japanese Tissue Culture-28']",KATOIII,KATOIII
KM12,CVCL_1331,KM12,"['KM-12', 'KM.12']",KM12,KM12
KMS-11,CVCL_2989,KMS-11,"['KMS11', 'kms11', 'kms 11']",KMS-11,KMS-11
KU-19-19,CVCL_1344,KU-19-19,"['KU 19-19', 'KU19-19', 'KU1919', 'Keio University-19-19']",KU-19-19,KU-19-19
L-1236,CVCL_2096,L-1236,"['L1236', 'L 1236']",L-1236,L-1236
L-428,CVCL_1361,L-428,"['L 428', 'L428']",L-428,L-428
LB2518-MEL,CVCL_1366,LB2518-MEL,['LB2518MEL'],LB2518-MEL,LB2518-MEL
LOVO,CVCL_0399,LoVo,['LOVO'],LoVo,LoVo
LOX IMVI,CVCL_1381,LOX-IMVI,"['LOX/IMVI', 'LOX IMVI', 'LOXIM-VI', 'LOXIMVI', 'LOX']",LOXIMVI,LOXIMVI
LS513,CVCL_1386,LS513,"['LS-513', 'LS 513']",LS-513,LS-513
M14,CVCL_1395,M14,"['M14-MEL', 'UCLA-SO-M14', 'UCLA SO M14', 'UCLA-SO-14', 'Melanoma 14', 'M-14', 'M-14-K', 'M14K']",M14,M14
MCF7,CVCL_0031,MCF-7,"['MCF 7', 'MCF.7', 'MCF7', 'Michigan Cancer Foundation-7', 'ssMCF-7', 'ssMCF7', 'MCF7/WT', 'MCF7-CTRL', 'IBMF-7']",MCF7,MCF7
MDA-MB-157,CVCL_0618,MDA-MB-157,"['MDA-MB157', 'MDAMB157', 'MDA-157', 'MDA157', 'MB 157', 'MB157', 'MD Anderson-Metastatic Breast-157']",MDA-MB-157,MDA-MB-157
MDA-MB-175-VII,CVCL_1400,MDA-MB-175-VII,"['MDA MB 175 VII', 'MDA-MB-175VII', 'MDAMB175VII', 'MDA-MB-175', 'MDAMB175', 'MDA-175', 'MDA175', 'MD Anderson-Metastatic Breast-175-VII']",MDA-MB-175-VII,MDA-MB-175-VII
MDA-MB-231,CVCL_0062,MDA-MB-231,"['MDA_MB_231', 'MDA-MB 231', 'MDA.MB.231', 'MDA MB 231', 'MDA MB231', 'MDA Mb231', 'MDA-MB231', 'MDAMB-231', 'MDAMB231', 'MDA-231', 'MDA-231P', 'MDA231', 'MDA231-BRE', 'MB231', 'MD Anderson-Metastatic Breast-231', 'MDA-MB-231/ATCC']",MDA-MB-231,MDA-MB-231
MDA-MB-361,CVCL_0620,MDA-MB-361,"['MDA-MB 361', 'MDA MB 361', 'MDA-MB361', 'MDAMB361', 'MDA-361', 'MDA361', 'MB361', 'MD Anderson-Metastatic Breast-361']",MDA-MB-361,MDA-MB-361
MDA-MB-415,CVCL_0621,MDA-MB-415,"['MDA-MB415', 'MDAMB415', 'MDA-415', 'MDA415', 'MD Anderson-Metastatic Breast-415']",MDA-MB-415,MDA-MB-415
MDA-MB-453,CVCL_0418,MDA-MB-453,"['MDA-MB 453', 'MDA MB 453', 'MDA-MB453', 'MDAMB453', 'MDA-453', 'MDA453', 'MD Anderson-Metastatic Breast-453']",MDA-MB-453,MDA-MB-453
MDA-MB-468,CVCL_0419,MDA-MB-468,"['MDA-MB 468', 'MDA-MB468', 'MDAMB468', 'MDA-468', 'MDA468', 'MB468', 'MD Anderson-Metastatic Breast-468']",MDA-MB-468,MDA-MB-468
MDAMB436,CVCL_0623,MDA-MB-436,"['MDA_MB_436', 'MDA MB 436', 'MDA-Mb-436', 'MDA-MB436', 'MDAMB436', 'MDA-436', 'MDA436', 'MB436', 'MD Anderson-Metastatic Breast-436']",MDA-MB-436,MDA-MB-436
MFM-223,CVCL_1408,MFM-223,['MFM223'],MFM-223,MFM-223
MMAc-SF,CVCL_1420,MMAc-SF,"['MMAC-SF', 'MMAc.SF', 'MMACSF', 'MMAc-Serum Free']",MMAc-SF,MMAc-SF
MOLT-4,CVCL_0013,MOLT-4,"['Molt-4', 'MOLT 4', 'Molt 4', 'MOLT.4', 'MOLT4', 'Molt4', 'GM02219', 'GM02219C', 'GM2219C', 'GM02219D']",MOLT-4,MOLT-4
MZ-MEL-2,CVCL_1435,MZ-MEL-2,"['Mz-Mel-2', 'MZ Mel 2', 'MZ-2 Mel', 'MZ2-MEL', 'MZ2-Mel', 'MZ2-mel', 'MZ2MEL']",MZ2-MEL,MZ2-MEL
MZ-MEL-7,CVCL_1436,MZ-MEL-7,"['MZ-Mel-7', 'MZ7-MEL', 'MZ7-mel', 'MZ7MEL', 'MZ7']",MZ7-mel,MZ7-mel
MeWo,CVCL_0445,MeWo,"['MEWO', 'Mewo', 'Me Wo', 'Me-Wo', 'Mevo', 'SK-MEL-MeWo', 'Mel-MeWo', 'BI-Mel', 'EST50']",Mewo,Mewo
Mel Ho,CVCL_1402,Mel Ho,"['MEL HO', 'MEL-HO', 'MEL-Ho', 'Mel-HO', 'MelHo', 'MELHO', 'Ho']",MEL-HO,MEL-HO
NCI-H1299,CVCL_0060,NCI-H1299,"['H1299', 'H-1299', 'NCIH1299']",NCI-H1299,NCI-H1299
NCI-H1437,CVCL_1472,NCI-H1437,"['H1437', 'H-1437', 'NCIH1437']",NCI-H1437,NCI-H1437
NCI-H1563,CVCL_1475,NCI-H1563,"['H1563', 'H-1563', 'NCIH1563']",NCI-H1563,NCI-H1563
NCI-H1703,CVCL_1490,NCI-H1703,"['H1703', 'H-1703', 'NCIH1703']",NCI-H1703,NCI-H1703
NCI-H1793,CVCL_1496,NCI-H1793,"['H1793', 'H-1793', 'NCIH1793']",NCI-H1793,NCI-H1793
NCI-H1975,CVCL_1511,NCI-H1975,"['H1975', 'H-1975', 'NCIH1975']",NCI-H1975,NCI-H1975
NCI-H2085,CVCL_1523,NCI-H2085,"['H2085', 'H-2085', 'NCIH2085']",NCI-H2085,NCI-H2085
NCI-H2170,CVCL_1535,NCI-H2170,"['H2170', 'H-2170', 'NCIH2170']",NCI-H2170,NCI-H2170
NCI-H2228,CVCL_1543,NCI-H2228,"['H2228', 'H-2228', 'NCIH2228']",NCI-H2228,NCI-H2228
NCI-H226,CVCL_1544,NCI-H226,"['NCI.H226', 'NCI H226', 'H226', 'H-226', 'HUT-226', 'HUT 226', 'NCIH226']",NCI-H226,NCI-H226
NCI-H2291,CVCL_1546,NCI-H2291,"['H2291', 'H-2291', 'NCIH2291']",NCI-H2291,NCI-H2291
NCI-H3122,CVCL_5160,NCI-H3122,"['H3122', 'H-3122', 'NCIH3122']",NCI-H3122,NCI-H3122
NCI-H322M,CVCL_1557,NCI-H322M,"['NCI.H322M', 'H322M', 'H-322M', 'H-322m']",NCI-H322M,NCI-H322M
NCI-H358,CVCL_1559,NCI-H358,"['H358', 'H-358', 'NCIH358']",NCI-H358,NCI-H358
NCI-H460,CVCL_0459,NCI-H460,"['NCI.H460', 'H460', 'H-460', 'NCIH460', 'NCI-HUT-460', 'NCI-460']",NCI-H460,NCI-H460
NCI-H522,CVCL_1567,NCI-H522,"['NCI.H522', 'H522', 'H-522', 'NCI-522', 'NCI522', 'NCIH522']",NCI-H522,NCI-H522
NCI-H747,CVCL_1587,NCI-H747,"['NCI H747', 'H747', 'H-747', 'NCI-747', 'NCIH747', 'NCI747']",NCI-H747,NCI-H747
NCI-H838,CVCL_1594,NCI-H838,"['H838', 'H-838', 'NCIH838']",NCI-H838,NCI-H838
