Actual,Predicted
-20.23,-12.430717468261719
-14.31,-8.348335266113281
6.23,-10.422273635864258
-4.65,-8.854809761047363
0.55,-5.256173133850098
0.37,-5.563534259796143
26.61,-6.815852642059326
-65.94,-10.162796020507812
-25.43,-10.376058578491211
4.75,-5.486993789672852
-27.52,-10.162796020507812
-2.69,-4.958893775939941
-6.27,-4.920155048370361
7.65,-4.958893775939941
-0.72,-5.256173133850098
-4.04,-7.937108993530273
4.26,-8.261229515075684
-1.03,-7.014554500579834
-6.33,-8.583634376525879
-78.37,-10.431098937988281
-25.822,-15.840439796447754
2.56,-5.325534820556641
-2.03,-5.939298629760742
2.11,-7.524694442749023
-5.19,-15.840439796447754
-51.926,-15.840439796447754
-12.05,-5.227516174316406
-0.73,-5.353796482086182
0.9159999999999998,-5.256173133850098
0.23,-7.540424346923828
-0.36,-4.920155048370361
-7.27,-5.173081398010254
-0.745,-8.586225509643555
-69.07,-35.21994400024414
-1.17,-5.6511640548706055
-25.94,-5.325534820556641
0.84,-4.841392517089844
0.97,-9.855791091918945
0.77,-5.742745876312256
-4.68,-5.563534259796143
-7.7,-5.337366104125977
-9.15,-4.622875690460205
6.17,-5.337366104125977
0.11,-5.987182140350342
-3.0,-5.256173133850098
-0.94,-5.256173133850098
-5.07,-5.256173133850098
-6.5,-11.144033432006836
-4.75,-6.246659755706787
3.25,-4.622875690460205
-5.53,-5.6447272300720215
13.77,-5.256173133850098
-59.79,-7.799901485443115
-5.91,-5.337366104125977
1.08,-4.920155048370361
-67.5,-4.920155048370361
8.1,-5.256173133850098
-2.97,-4.920155048370361
-21.57,-29.95807647705078
-10.61,-5.563534259796143
3.71,-5.256173133850098
-9.17,-7.332672595977783
-2.35,-6.687937259674072
-0.59,-5.256173133850098
-4.1,-5.179632663726807
-30.21,-6.240222930908203
-9.75,-30.934053421020508
-4.52,-9.15208911895752
-9.65,-7.459231853485107
-17.93,-10.376058578491211
-41.64,-10.836671829223633
-33.59,-6.687937259674072
-16.61,-8.854809761047363
-44.75,-25.72134780883789
-39.94,-5.6328959465026855
1.57,-6.608575344085693
-16.84,-5.6447272300720215
-0.6,-5.603280544281006
-2.93,-4.920155048370361
-50.04,-8.551132202148438
-38.37,-6.603347301483154
-15.88,-5.563534259796143
-18.99,-9.992815971374512
0.94,-4.841392517089844
-20.76,-26.22799301147461
-2.95,-4.920155048370361
4.43,-6.119204998016357
-0.95,-6.292733669281006
1.1025,-4.622875690460205
8.29,-10.470157623291016
-16.79,-4.920155048370361
-0.17,-5.486993789672852
-30.15,-30.03463363647461
-41.99,-9.459449768066406
-47.22,-12.748412132263184
-0.54,-38.91481399536133
-60.26,-5.904204845428467
-25.67,-10.300177574157715
-3.57,-4.622875690460205
1.65,-10.94289779663086
-1.02,-4.958893775939941
-39.82,-11.146845817565918
-3.38,-5.515650749206543
-2.24,-6.31602144241333
-16.19,-5.337366104125977
-15.23,-7.093317031860352
-1.69,-7.8558502197265625
-18.56,-7.622768878936768
2.24,-6.240222930908203
-71.78,-9.531231880187988
-29.37,-33.80132293701172
0.47,-5.173081398010254
-2.91,-6.240222930908203
2.1,-5.337366104125977
-68.38,-8.162577629089355
-20.9,-11.744640350341797
-11.4625,-5.486993789672852
-4.66,-5.256173133850098
2.32,-5.256173133850098
-15.33,-7.123213768005371
-10.5,-5.256173133850098
3.26,-7.8558502197265625
-1.48,-5.673384189605713
0.0224999999999999,-8.729416847229004
-3.77,-5.337366104125977
-3.7,-4.837063312530518
-24.27,-6.628751754760742
-6.74,-4.920155048370361
-20.431,-13.053862571716309
0.16,-5.673384189605713
0.7,-5.823011875152588
-52.13,-32.432735443115234
-2.67,-4.958893775939941
-2.2,-6.687937259674072
0.46,-7.842389106750488
-0.87,-5.673384189605713
-4.04,-4.920155048370361
1.59,-8.551132202148438
-3.41,-5.256173133850098
1.65,-5.563534259796143
-92.9,-6.119204998016357
-11.51,-5.6447272300720215
1.64,-7.2330641746521
-4.77,-10.836671829223633
2.8175,-4.920155048370361
1.23,-5.256173133850098
2.61,-9.594342231750488
-0.27,-5.563534259796143
-7.24,-6.390657901763916
11.44,-5.515650749206543
-3.87,-5.904204845428467
-6.53,-28.10582733154297
-2.94,-5.325534820556641
-12.06,-6.324682235717773
-4.37,-5.256173133850098
20.12,-5.6328959465026855
-0.84,-5.486993789672852
-2.5,-5.910641670227051
-13.56,-5.515650749206543
-78.8,-11.664300918579102
2.56,-5.563534259796143
0.02,-7.524694442749023
-10.97,-5.242443084716797
-13.34,-4.920155048370361
3.54,-5.179632663726807
-34.35,-7.540424346923828
-8.23,-5.725894927978516
-32.73,-32.04133605957031
-3.12,-4.920155048370361
-10.41,-5.563534259796143
-33.37,-8.395506858825684
-9.63,-4.920155048370361
-5.37,-10.22006607055664
0.21,-5.227516174316406
6.81,-5.227516174316406
-5.9,-5.803467750549316
-11.41,-5.256173133850098
-15.9,-10.162796020507812
3.57,-6.119204998016357
2.27,-5.337366104125977
-8.15,-5.515650749206543
11.63,-4.920155048370361
-4.07,-4.841392517089844
-4.78,-5.325534820556641
-42.7125,-8.393399238586426
-5.33,-5.256173133850098
-1.05,-5.803467750549316
-4.06,-6.609174728393555
-7.42,-10.836671829223633
-10.37,-10.836671829223633
-6.72,-5.256173133850098
-3.69,-6.628751754760742
-2.88,-5.563534259796143
3.31,-5.6447272300720215
-6.11,-5.179632663726807
-12.3,-5.603280544281006
-0.99,-5.256173133850098
-1.88,-5.256173133850098
-0.92,-5.563534259796143
-29.12,-7.831456184387207
4.8,-4.920155048370361
-9.38,-9.883097648620605
8.36,-5.939298629760742
-8.62,-11.059659957885742
-0.93,-5.49508810043335
-3.99,-10.422273635864258
5.75,-6.628751754760742
-6.9,-27.42813491821289
-0.06,-4.958893775939941
-0.72,-8.243770599365234
1.25,-4.920155048370361
-13.72,-4.920155048370361
1.33,-5.256173133850098
1.674,-13.775566101074219
7.15,-5.173081398010254
-24.81,-7.937108993530273
1.44,-4.191129684448242
16.22,-5.227516174316406
-3.79,-6.159678936004639
-29.535,-8.250207901000977
3.6425,-5.256173133850098
6.55,-5.980745315551758
-16.49,-15.840439796447754
-9.388,-5.179632663726807
3.17,-5.115194797515869
-43.05,-7.4659271240234375
-7.63,-5.823011875152588
0.32,-5.173081398010254
-14.3635,-12.437256813049316
-4.81,-4.920155048370361
4.0,-5.337366104125977
3.14,-5.225592136383057
-47.73,-34.222862243652344
-2.64,-7.826560020446777
2.81,-4.920155048370361
10.96,-5.179632663726807
0.42,-5.227516174316406
0.8,-13.072343826293945
0.94,-8.13392162322998
-37.14,-10.401982307434082
-0.47,-5.892373561859131
4.85,-4.622875690460205
-78.02,-15.696636199951172
-77.62,-33.01630401611328
1.89,-5.256173133850098
4.4,-5.337366104125977
-10.64,-5.939298629760742
-44.79,-15.829789161682129
-0.17,-6.815852642059326
6.43,-5.325534820556641
-1.22,-6.609174728393555
-36.95,-5.987182140350342
-1.32,-4.920155048370361
-67.87,-30.934053421020508
-26.61,-7.1518707275390625
