Drug A,Drug B,Cell Line Name,Score
2METHOXYESTRADIOL,AT7519,TC-71,-11.703
2METHOXYESTRADIOL,AV412,TC-71,-6.439
2METHOXYESTRADIOL,BARDOXOLONE METHYL,TC-71,4.795
2METHOXYESTRADIOL,CABOZANTINIB,TC-71,-6.363
2METHOXYESTRADIOL,DOCETAXEL,TC-71,-2.404
2METHOXYESTRADIOL,EVEROLIMUS,TC-71,8.354
2METHOXYESTRADIOL,KX01,TC-71,-9.779
2METHOXYESTRADIOL,LENVATINIB,TC-71,-4.809
2METHOXYESTRADIOL,LESTAURTINIB,TC-71,-2.984
2METHOXYESTRADIOL,LINSITINIB,TC-71,2.349
2METHOXYESTRADIOL,PANOBINOSTAT,TC-71,-29.846
2METHOXYESTRADIOL,PELITINIB,TC-71,-2.228
2METHOXYESTRADIOL,ROMIDEPSIN,TC-71,3.796
2METHOXYESTRADIOL,RUXOLITINIB,L-1236,-3.079
2METHOXYESTRADIOL,TIVANTINIB,TC-71,-7.628
7HYDROXYSTAUROSPORINE,RUXOLITINIB,L-1236,-3.349
ABIRATERONE,ARSENIC TRIOXIDE,786-O,-20.14
ABIRATERONE,ARSENIC TRIOXIDE,A-498,-3.65
ABIRATERONE,ARSENIC TRIOXIDE,A-549,-10.14
ABIRATERONE,ARSENIC TRIOXIDE,ACHN,3.5
ABIRATERONE,ARSENIC TRIOXIDE,BT-549,-6.56
ABIRATERONE,ARSENIC TRIOXIDE,Caki-1,-23.4
ABIRATERONE,ARSENIC TRIOXIDE,CCRF-CEM,-29.32
ABIRATERONE,ARSENIC TRIOXIDE,COLO 205,-49.65
ABIRATERONE,ARSENIC TRIOXIDE,DU145,-5.7
ABIRATERONE,ARSENIC TRIOXIDE,EKVX,-27.98
ABIRATERONE,ARSENIC TRIOXIDE,HCC2998,-2.28
ABIRATERONE,ARSENIC TRIOXIDE,HCT 15,-12.07
ABIRATERONE,ARSENIC TRIOXIDE,HCT 116,-6.87
ABIRATERONE,ARSENIC TRIOXIDE,HOP-62,-8.23
ABIRATERONE,ARSENIC TRIOXIDE,HOP-92,-24.5
ABIRATERONE,ARSENIC TRIOXIDE,Hs 578T,-30.88
ABIRATERONE,ARSENIC TRIOXIDE,HT-29,-22.09
ABIRATERONE,ARSENIC TRIOXIDE,IGROV-1,-34.02
ABIRATERONE,ARSENIC TRIOXIDE,K-562,-18.51
ABIRATERONE,ARSENIC TRIOXIDE,KM12,-25.04
ABIRATERONE,ARSENIC TRIOXIDE,LOX-IMVI,12.34
ABIRATERONE,ARSENIC TRIOXIDE,M14,-8.39
ABIRATERONE,ARSENIC TRIOXIDE,MCF-7,-9.18
ABIRATERONE,ARSENIC TRIOXIDE,MDA-MB-231,-9.68
ABIRATERONE,ARSENIC TRIOXIDE,MDA-MB-468,-0.41
ABIRATERONE,ARSENIC TRIOXIDE,MOLT-4,-12.6
ABIRATERONE,ARSENIC TRIOXIDE,NCI-H226,-5.75
ABIRATERONE,ARSENIC TRIOXIDE,NCI-H322M,-10.11
ABIRATERONE,ARSENIC TRIOXIDE,NCI-H460,-12.64
ABIRATERONE,ARSENIC TRIOXIDE,NCI-H522,-8.87
ABIRATERONE,ARSENIC TRIOXIDE,NCI-H23,-21.87
ABIRATERONE,ARSENIC TRIOXIDE,OVCAR-4,-22.45
ABIRATERONE,ARSENIC TRIOXIDE,OVCAR-5,-10.52
ABIRATERONE,ARSENIC TRIOXIDE,OVCAR-8,-1.71
ABIRATERONE,ARSENIC TRIOXIDE,OVCAR-3,-7.77
ABIRATERONE,ARSENIC TRIOXIDE,PC-3,-0.74
ABIRATERONE,ARSENIC TRIOXIDE,RPMI-8226,-21.21
ABIRATERONE,ARSENIC TRIOXIDE,RXF 393L,-2.95
ABIRATERONE,ARSENIC TRIOXIDE,SF268,-12.95
ABIRATERONE,ARSENIC TRIOXIDE,SF295,-6.41
ABIRATERONE,ARSENIC TRIOXIDE,SF539,-4.58
ABIRATERONE,ARSENIC TRIOXIDE,SK-MEL-2,-32.33
ABIRATERONE,ARSENIC TRIOXIDE,SK-MEL-28,-10.7
ABIRATERONE,ARSENIC TRIOXIDE,SK-MEL-5,-41.19
ABIRATERONE,ARSENIC TRIOXIDE,SK-OV-3,-6.56
ABIRATERONE,ARSENIC TRIOXIDE,SN12C,-8.12
ABIRATERONE,ARSENIC TRIOXIDE,SNB-75,-4.07
ABIRATERONE,ARSENIC TRIOXIDE,SR,-10.23
ABIRATERONE,ARSENIC TRIOXIDE,SW620,-17.02
ABIRATERONE,ARSENIC TRIOXIDE,T-47D,-13.46
