symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231/ATCC,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
ABL1,29,18,12,17,36,8,18,10,26,13,12,10,18,15,13,26,10,23,46,5,69,19,12,30,11,22,21,5,7,20,22,19,5,15,20,4,10,47,29,17,19,15,9,18,24,9,40,17,21,16,30,34,7,10,15
ABL2,8,9,5,11,15,7,3,2,18,6,2,5,2,6,9,6,2,6,4,3,11,13,2,12,5,3,20,8,10,4,6,4,3,4,10,2,2,7,11,5,6,12,15,11,8,22,16,5,4,3,12,14,15,5,12
ACAA1,3,3,3,2,3,3,8,4,3,3,7,3,11,4,7,3,7,4,4,11,4,7,6,5,4,8,4,3,4,3,3,5,7,5,4,13,4,2,6,4,3,7,6,7,2,4,6,7,3,6,3,3,4,7,6
ACACA,11,10,14,22,12,6,11,10,12,16,14,14,18,22,20,8,29,10,15,4,13,11,8,8,7,16,13,7,5,15,25,6,12,11,10,6,9,4,13,20,10,9,5,8,15,6,12,6,13,19,22,19,7,11,18
ACACB,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,13,0,1,1,0,1,0,0,3,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,2,1,1
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,13,7,9,18,16,7,27,8,9,15,14,14,13,7,11,5,8,6,32,16,14,14,6,6,12,20,12,11,6,12,12,7,9,11,20,9,8,6,6,15,13,10,23,18,5,9,12,15,14,7,13,15,20,6,8
ACOX1,3,4,5,4,3,8,6,13,3,7,10,8,10,4,5,2,9,2,5,6,3,5,5,4,9,6,2,3,2,3,17,8,2,7,4,6,3,2,3,7,2,7,3,7,4,3,3,3,8,18,7,8,4,5,6
ACOX2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0
ACOX3,7,5,2,2,4,9,4,2,4,3,4,3,6,4,3,4,2,1,3,1,8,3,6,3,3,4,2,2,5,1,3,2,4,2,3,2,2,1,4,4,4,3,1,2,4,2,3,4,2,4,3,3,4,2,3
ACSBG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL1,20,12,5,41,8,25,0,38,2,5,4,3,13,3,8,3,10,9,12,10,0,53,3,7,20,0,4,3,5,6,2,3,12,1,1,4,9,7,8,7,5,8,22,30,12,1,12,9,5,15,3,2,14,10,27
ACSL3,39,15,39,36,12,12,18,48,10,40,20,21,17,34,26,23,42,12,35,13,38,44,28,11,21,25,19,11,26,25,11,23,12,38,22,34,4,5,24,19,20,41,55,89,29,31,30,14,12,11,20,20,39,44,14
ACSL5,1,0,0,0,0,3,5,118,0,0,69,77,19,2,48,0,102,0,0,7,0,0,0,42,0,0,0,0,0,0,0,0,2,37,0,0,7,2,0,4,3,0,0,0,0,0,3,11,1,0,0,0,0,0,3
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,1,6,2,11,36,7,0,0,0,0,0,2,4,1,8,435,0,6,0,0,3,0,0,0,0,0,9,1,0,1,0,0,67,0,0,0,0,2,1,1,0,0,0,0,3,0,245,4,0,2,1,0,5,3,15
ACTB,2045,1864,1420,1295,1849,1232,1215,491,1641,1620,802,331,889,1260,1815,2281,628,1541,617,327,757,1383,860,1445,1777,621,1204,1466,1585,1279,1087,722,1270,1017,2053,742,492,1237,2966,2147,2150,585,666,800,875,1736,1956,1800,719,1115,1191,1605,880,712,1894
ACTG1,1892,712,1447,791,997,1728,1098,745,1316,1157,539,712,685,1896,2011,1130,491,1081,460,603,1307,1068,918,1015,1037,1743,861,842,487,1046,2074,906,1599,1036,1150,426,303,422,3203,1380,1013,737,1063,1396,1760,1370,934,608,711,457,1455,963,1180,536,1273
ACVR1,10,11,7,15,6,9,1,6,5,7,7,7,4,10,7,17,12,2,6,2,13,16,4,4,5,0,6,3,4,3,4,5,3,9,4,5,2,11,8,11,21,10,11,6,6,5,13,9,1,1,5,8,15,15,7
ACVR1B,3,5,4,7,3,4,7,14,5,5,6,7,5,5,4,2,10,16,5,4,5,3,9,2,3,7,3,6,5,3,5,8,5,8,4,3,2,4,5,5,3,3,3,5,6,3,3,7,10,9,6,3,3,3,9
ACVR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
ACVR2A,1,1,1,1,0,1,0,1,0,1,2,2,1,1,0,1,1,3,1,2,1,0,1,0,1,0,0,1,1,0,1,3,0,4,1,1,0,1,0,0,2,2,0,0,1,0,1,1,1,0,1,2,1,1,1
ACVR2B,0,0,0,0,0,0,5,0,0,0,1,4,2,0,0,0,1,2,5,1,1,1,1,0,0,6,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,3,2,0,1,1,0,0,1
ADAM17,14,18,17,17,11,9,9,12,14,9,13,20,9,18,7,10,10,11,13,8,24,8,6,7,13,9,18,14,22,14,12,14,5,15,7,6,8,25,3,12,25,13,9,8,8,15,8,12,13,4,10,15,7,7,23
ADCY1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,6,4,0,0,0,0,1,0,1,3,0,0,0,2,0,6,0,1,3,0,23,4,20,0,0,2,0,0,0,0,0,7,6,0
ADCY10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
