Drug,Target
2258,1806
2258,1808
2258,1807
2222,582
2297,803
2309,159
2276,252
2066,52
2066,53
2381,1464
2381,1713
2381,1463
2381,1462
2076,42
2076,43
2076,1354
2076,1691
2076,1348
2076,1349
2076,1350
2076,1347
2076,1353
2076,1354
2076,1355
2076,1356
2076,1351
2076,1352
2076,1398
2076,1396
2076,1397
2076,981
2076,982
2076,983
2076,110
2119,994
2312,166
2025,1689
2025,1688
2025,1602
2025,1687
2025,1556
2090,813
2090,46
2090,345
2207,803
2207,969
2207,784
2232,1351
2091,1676
2091,1677
2397,498
2397,830
2397,497
2397,499
2397,825
2397,826
2397,827
2397,828
2397,834
2397,835
2397,813
2397,46
2397,47
2397,49
2397,50
2397,51
2397,345
2397,346
2397,347
2397,348
2112,572
2112,573
2112,574
2112,1255
2041,1351
2183,188
2183,191
2183,196
2183,192
2183,189
2183,190
2260,61
2369,42
2369,43
2369,44
2369,1354
2369,1353
2369,1351
2369,784
2046,582
2375,1555
2139,50
2068,1687
2068,1688
2068,1689
2398,826
2398,827
2398,829
2398,825
2022,1556
2162,538
2180,1556
2180,1419
2180,1464
2180,1462
2224,1514
2259,830
2259,498
2259,497
2259,499
2259,825
2259,826
2259,827
2259,828
2259,834
2259,835
2259,813
2259,46
2259,47
2259,49
2259,50
2259,51
2259,345
2259,346
2259,347
2259,348
2259,831
2259,833
2259,497
2259,499
2259,814
2259,52
2259,53
2259,54
2286,1231
2082,813
2029,46
2029,47
2029,48
2218,1383
2217,43
2096,498
2096,830
2096,497
2096,825
2096,826
2096,827
2096,828
2096,834
2096,835
2096,813
2096,46
2096,47
2096,49
2096,50
2096,51
2096,345
2096,346
2096,347
2096,348
2198,1383
2198,572
2254,46
2254,47
2254,48
2254,49
2254,50
2254,51
2254,52
2254,53
2254,54
2234,830
2234,49
2234,813
2234,51
2234,835
2234,46
2234,47
2234,48
2234,498
2234,831
2234,497
2234,499
2234,46
2234,52
2234,53
2284,46
2284,47
2284,48
2113,111
2345,498
2301,1383
2301,572
2301,453
2339,181
2339,1586
2339,635
2339,1010
2339,633
2339,1362
2339,1014
2339,622
2339,1634
2339,632
2326,1464
2326,1462
2326,1463
2326,1687
2326,1688
2326,1689
2295,498
2295,50
2295,825
2295,827
2295,49
2295,826
2295,830
2295,831
2295,51
2295,497
2295,499
2342,1756
2105,813
2105,830
2105,345
2105,346
2105,347
2105,835
2191,1178
2205,813
2298,46
2298,47
2298,48
2298,49
2298,50
2024,1687
2024,1602
2024,1688
2024,1689
2187,1556
2360,1556
2194,1914
2194,1556
2308,572
2308,573
2308,1865
2080,1556
2080,1366
2161,346
2161,345
2161,348
2340,52
2340,53
2171,498
2171,497
2171,749
2171,830
2035,1433
2089,1862
2132,538
2321,1556
