Drug,Target
OCTREOTIDE,SSTR1
OCTREOTIDE,SSTR5
OCTREOTIDE,SSTR2
MENADIONE,F2
PRAVASTATIN,HMGCR
RAMIPRIL,BDKRB1
PENTAGASTRIN,CCKBR
BETAXOLOL,ADRB1
BETAXOLOL,ADRB2
TROGLITAZONE,PPARG
TROGLITAZONE,SERPINE1
TROGLITAZONE,PPARD
TROGLITAZONE,PPARA
CAFFEINE,ADORA1
CAFFEINE,ADORA2A
CAFFEINE,PDE4B
CAFFEINE,RYR1
CAFFEINE,PDE1A
CAFFEINE,PDE1B
CAFFEINE,PDE1C
CAFFEINE,PDE10A
CAFFEINE,PDE4A
CAFFEINE,PDE4B
CAFFEINE,PDE4C
CAFFEINE,PDE4D
CAFFEINE,PDE3A
CAFFEINE,PDE3B
CAFFEINE,PIK3CD
CAFFEINE,PIK3CA
CAFFEINE,PIK3CB
CAFFEINE,ITPR1
CAFFEINE,ITPR2
CAFFEINE,ITPR3
CAFFEINE,ATM
DOFETILIDE,KCNJ12
RESERPINE,BIRC5
ADAPALENE,RXRG
ADAPALENE,RXRB
ADAPALENE,RARA
ADAPALENE,RXRA
ADAPALENE,PTGS2
CITALOPRAM,HRH1
CITALOPRAM,ADRA1A
CITALOPRAM,CHRM1
LOVASTATIN,HMGCR
LOVASTATIN,ITGAL
LOVASTATIN,HDAC2
MILRINONE,PDE3A
CLADRIBINE,RRM2
CLADRIBINE,RRM2B
ZIPRASIDONE,DRD2
ZIPRASIDONE,HTR2A
ZIPRASIDONE,DRD1
ZIPRASIDONE,DRD5
ZIPRASIDONE,HTR1A
ZIPRASIDONE,HTR1B
ZIPRASIDONE,HTR1D
ZIPRASIDONE,HTR1E
ZIPRASIDONE,HTR6
ZIPRASIDONE,HTR7
ZIPRASIDONE,HRH1
ZIPRASIDONE,ADRA1A
ZIPRASIDONE,ADRA1B
ZIPRASIDONE,ADRA2A
ZIPRASIDONE,ADRA2B
ZIPRASIDONE,ADRA2C
ZIPRASIDONE,CHRM1
ZIPRASIDONE,CHRM2
ZIPRASIDONE,CHRM3
ZIPRASIDONE,CHRM5
DIETHYLSTILBESTROL,ESR1
DIETHYLSTILBESTROL,ESR2
DIETHYLSTILBESTROL,ESRRB
DIETHYLSTILBESTROL,NCOA2
ANAGRELIDE,PDE3A
ISRADIPINE,CACNA1C
ISRADIPINE,CACNA2D1
ISRADIPINE,CACNB2
ISRADIPINE,CACNA2D2
ISRADIPINE,CACNA1D
ISRADIPINE,CACNA1S
OLMESARTAN,AGTR1
THEOPHYLLINE,ADORA1
THEOPHYLLINE,ADORA2A
THEOPHYLLINE,ADORA2B
THEOPHYLLINE,PDE4B
THEOPHYLLINE,PDE4A
THEOPHYLLINE,PDE3A
THEOPHYLLINE,HDAC2
ARGATROBAN,F2
TRAVOPROST,PTGFR
ETOMIDATE,ADRA2B
BEXAROTENE,RXRA
BEXAROTENE,RXRB
BEXAROTENE,RXRG
ZOLMITRIPTAN,HTR1B
ZOLMITRIPTAN,HTR1D
ZOLMITRIPTAN,HTR1F
ZOLMITRIPTAN,HTR1A
ACETAMINOPHEN,PTGS2
GEFITINIB,EGFR
INDOMETHACIN,PTGS2
INDOMETHACIN,PLA2G2A
INDOMETHACIN,PPARG
INDOMETHACIN,PPARA
METFORMIN,PRKAB1
OLANZAPINE,HTR2A
OLANZAPINE,DRD2
OLANZAPINE,DRD1
OLANZAPINE,DRD5
OLANZAPINE,HTR1A
OLANZAPINE,HTR1B
OLANZAPINE,HTR1D
OLANZAPINE,HTR1E
OLANZAPINE,HTR6
OLANZAPINE,HTR7
OLANZAPINE,HRH1
OLANZAPINE,ADRA1A
OLANZAPINE,ADRA1B
OLANZAPINE,ADRA2A
OLANZAPINE,ADRA2B
OLANZAPINE,ADRA2C
OLANZAPINE,CHRM1
OLANZAPINE,CHRM2
OLANZAPINE,CHRM3
OLANZAPINE,CHRM5
OLANZAPINE,HTR2B
OLANZAPINE,HTR5A
OLANZAPINE,DRD1
OLANZAPINE,DRD5
OLANZAPINE,HRH2
OLANZAPINE,ADRB1
OLANZAPINE,ADRB2
OLANZAPINE,ADRB3
PIMECROLIMUS,MTOR
CETIRIZINE,HRH1
ALFUZOSIN,ADRA1A
ALFUZOSIN,ADRA1B
ALFUZOSIN,ADRA1D
MEGESTROL ACETATE,PGR
MEFLOQUINE,ADORA2A
CLOZAPINE,DRD2
CLOZAPINE,HTR2A
CLOZAPINE,DRD1
CLOZAPINE,HTR1A
CLOZAPINE,HTR1B
CLOZAPINE,HTR1D
CLOZAPINE,HTR1E
CLOZAPINE,HTR6
CLOZAPINE,HTR7
CLOZAPINE,HRH1
CLOZAPINE,ADRA1A
CLOZAPINE,ADRA1B
CLOZAPINE,ADRA2A
CLOZAPINE,ADRA2B
CLOZAPINE,ADRA2C
CLOZAPINE,CHRM1
CLOZAPINE,CHRM2
CLOZAPINE,CHRM3
CLOZAPINE,CHRM5
LEVONORGESTREL,PGR
LEVONORGESTREL,ESR1
NOREPINEPHRINE,ADRA1A
NOREPINEPHRINE,ADRA1B
NOREPINEPHRINE,ADRA1D
NOREPINEPHRINE,ADRA2A
NOREPINEPHRINE,ADRA2B
NOREPINEPHRINE,ADRA2C
NOREPINEPHRINE,ADRB1
NOREPINEPHRINE,ADRB2
