Drug A,Drug B,Cell Line Name,Score
MEGESTROL ACETATE,PACLITAXEL,Caki-1,-20.23
MEGESTROL ACETATE,LAPATINIB,K-562,-14.31
TRETINOIN,PACLITAXEL,RPMI-8226,6.23
CRIZOTINIB,PACLITAXEL,MCF-7,-4.65
ABIRATERONE,VANDETANIB,SF295,0.55
VISMODEGIB,SUNITINIB,UACC-257,0.37
DOCETAXEL,LAPATINIB,U-251MG,26.61
RUXOLITINIB,PACLITAXEL,OVCAR-4,-65.94
IMATINIB,ARSENIC TRIOXIDE,UACC-62,-25.43
VANDETANIB,NILOTINIB,M14,4.75
LENALIDOMIDE,PACLITAXEL,786-O,-27.52
DASATINIB,SORAFENIB,MDA-MB-468,-2.69
CELECOXIB,DASATINIB,Caki-1,-6.27
VANDETANIB,THALIDOMIDE,T-47D,7.65
LAPATINIB,THALIDOMIDE,NCI-H460,-0.72
VANDETANIB,ABIRATERONE,HCC2998,-4.04
CRIZOTINIB,DASATINIB,SW620,4.26
CRIZOTINIB,MITOTANE,UACC-257,-1.03
DOCETAXEL,MITOTANE,HOP-92,-6.33
MEGESTROL ACETATE,DOCETAXEL,Caki-1,-78.37
SULFASALAZINE,RUXOLITINIB,L-1236,-25.822
CRIZOTINIB,FULVESTRANT,UO-31,2.56
CELECOXIB,THALIDOMIDE,NCI-H522,-2.03
MEGESTROL ACETATE,LAPATINIB,U-251MG,2.11
LOVASTATIN,RUXOLITINIB,L-1236,-5.19
GABAPENTIN,RUXOLITINIB,L-1236,-51.926
VANDETANIB,LAPATINIB,RXF 393L,-12.05
RUXOLITINIB,RALOXIFENE,MOLT-4,-0.73
DASATINIB,SORAFENIB,NCI-H460,0.9159999999999998
DOCETAXEL,LAPATINIB,TK-10,0.23
AXITINIB,GEFITINIB,NCI-H460,-0.36
FULVESTRANT,THALIDOMIDE,DU145,-7.27
PACLITAXEL,SORAFENIB,UWB1.289,-0.745
ROMIDEPSIN,THALIDOMIDE,SW620,-69.07
LENALIDOMIDE,NILOTINIB,SF268,-1.17
CRIZOTINIB,ABIRATERONE,EKVX,-25.94
VANDETANIB,FULVESTRANT,RXF 393L,0.84
FULVESTRANT,ARSENIC TRIOXIDE,PC-3,0.97
CRIZOTINIB,DASATINIB,DU145,0.77
IMATINIB,SORAFENIB,SK-MEL-5,-4.68
VISMODEGIB,ABIRATERONE,OVCAR-3,-7.7
LENALIDOMIDE,DASATINIB,T-47D,-9.15
RUXOLITINIB,AXITINIB,NCI-H23,6.17
DASATINIB,THALIDOMIDE,SF268,0.11
FULVESTRANT,THALIDOMIDE,UACC-62,-3.0
VISMODEGIB,TRETINOIN,SF295,-0.94
CRIZOTINIB,VISMODEGIB,EKVX,-5.07
RUXOLITINIB,ARSENIC TRIOXIDE,RXF 393L,-6.5
ABIRATERONE,VEMURAFENIB,SR,-4.75
RUXOLITINIB,LENALIDOMIDE,MDA-MB-468,3.25
VANDETANIB,NILOTINIB,OVCAR-5,-5.53
ABIRATERONE,TRETINOIN,UO-31,13.77
DOCETAXEL,LAPATINIB,CCRF-CEM,-59.79
RUXOLITINIB,GEFITINIB,OVCAR-3,-5.91
RALOXIFENE,ABIRATERONE,UACC-62,1.08
DASATINIB,LAPATINIB,SF295,-67.5
TRETINOIN,SORAFENIB,EKVX,8.1
NILOTINIB,LAPATINIB,HOP-92,-2.97
VANDETANIB,ROMIDEPSIN,NCI-H23,-21.57
DASATINIB,THALIDOMIDE,HT-29,-10.61
AXITINIB,RUXOLITINIB,LOX-IMVI,3.71
RUXOLITINIB,CRIZOTINIB,ACHN,-9.17
NILOTINIB,MITOTANE,786-O,-2.35
VANDETANIB,VISMODEGIB,U-251MG,-0.59
IMATINIB,DASATINIB,RPMI-8226,-4.1
RUXOLITINIB,SORAFENIB,SK-MEL-2,-30.21
ABIRATERONE,ROMIDEPSIN,MDA-MB-231,-9.75
CELECOXIB,PACLITAXEL,Caki-1,-4.52
DOCETAXEL,SUNITINIB,SK-MEL-5,-9.65
IMATINIB,ARSENIC TRIOXIDE,786-O,-17.93
RUXOLITINIB,ARSENIC TRIOXIDE,OVCAR-4,-41.64
VANDETANIB,MITOTANE,NCI-H226,-33.59
