Drug A,Drug B,Cell Line Name,Score,Pred Score
VEMURAFENIB,IMATINIB,HT-29,-17.9,-4.0502448081970215
DASATINIB,FULVESTRANT,NCI-H460,-2.55,-12.386127471923828
VEMURAFENIB,LAPATINIB,Caki-1,5.08,-1.2522449493408203
MIFEPRISTONE,RUXOLITINIB,L-1236,-28.831,-20.25478172302246
AXITINIB,FULVESTRANT,MDA-MB-231,-8.91,-6.4182329177856445
VINBLASTINE,SORAFENIB,UACC-62,5.265000000000001,9.312463760375977
MEGESTROL ACETATE,LAPATINIB,KM12,-4.16,-14.3215913772583
VISMODEGIB,RALOXIFENE,SK-MEL-28,7.09,2.0160350799560547
VANDETANIB,NILOTINIB,CCRF-CEM,0.23,-7.695926189422607
AXITINIB,LENALIDOMIDE,MOLT-4,-38.75,-27.13079833984375
CELECOXIB,SORAFENIB,Caki-1,-11.07,-7.678531646728516
TRETINOIN,SUNITINIB,OVCAR-5,1.5,-6.271415710449219
RALOXIFENE,CELECOXIB,SF268,-0.52,-0.3276824951171875
NILOTINIB,MITOTANE,M14,-4.68,-9.463052749633787
CRIZOTINIB,TRETINOIN,HCT 116,-8.22,-14.267051696777344
VINBLASTINE,SUNITINIB,UACC-62,2.5925,-0.0403785705566406
VEMURAFENIB,CELECOXIB,PC-3,-2.96,-3.227004051208496
IMATINIB,ROMIDEPSIN,PC-3,-80.0,-51.46083450317383
MEGESTROL ACETATE,ROMIDEPSIN,NCI-H23,-75.32,-61.07269287109375
VEMURAFENIB,PACLITAXEL,OVCAR-5,-68.78,-25.362293243408203
VEMURAFENIB,PACLITAXEL,U-251MG,-4.41,-20.36090087890625
AXITINIB,SUNITINIB,NCI-H322M,1.12,-5.282841682434082
LENALIDOMIDE,LAPATINIB,SF539,-2.14,-6.417455673217773
RALOXIFENE,FULVESTRANT,BT-549,-0.87,-3.139120101928711
RALOXIFENE,THALIDOMIDE,HT-29,-0.66,-4.184529781341553
VANDETANIB,VEMURAFENIB,COLO 205,-15.01,-8.58768367767334
RALOXIFENE,PACLITAXEL,EKVX,-12.23,-38.20782470703125
VEMURAFENIB,TRETINOIN,M14,-11.38,1.145214557647705
RUXOLITINIB,PACLITAXEL,MOLT-4,17.43,-23.62247467041016
AXITINIB,GEFITINIB,NCI-H522,5.28,-4.187480926513672
VEMURAFENIB,DASATINIB,MCF-7,-0.44,-2.78116226196289
FULVESTRANT,ARSENIC TRIOXIDE,RXF 393L,-12.0,-6.934852600097656
LENALIDOMIDE,IMATINIB,Caki-1,-1.45,-1.6664981842041016
AXITINIB,VANDETANIB,UACC-62,-1.36,-7.17845344543457
MEGESTROL ACETATE,FULVESTRANT,HCC2998,1.5,-7.633212089538574
VISMODEGIB,PACLITAXEL,786-O,14.15,-3.84150505065918
DASATINIB,MITOTANE,UACC-62,2.07,-9.056138038635254
ABIRATERONE,AXITINIB,SF295,-1.56,-11.107065200805664
LENALIDOMIDE,SUNITINIB,NCI-H23,4.23,-4.0680341720581055
RALOXIFENE,SUNITINIB,ACHN,-30.18,-5.568089485168457
ARECOLINE,RUXOLITINIB,L-1236,-11.16,-25.63907623291016
VANDETANIB,SORAFENIB,CCRF-CEM,-17.64,-13.794175148010254
CRIZOTINIB,VEMURAFENIB,HCC2998,-49.14,-20.519222259521484
GEFITINIB,DASATINIB,T-47D,0.68,6.714953422546387
RALOXIFENE,GEFITINIB,ACHN,-1.42,-6.887598037719727
NILOTINIB,FULVESTRANT,SR,-9.74,-3.371548175811768
VEMURAFENIB,DASATINIB,SK-MEL-2,-6.13,-8.711609840393066
VEMURAFENIB,VANDETANIB,Caki-1,-0.71,-4.234642028808594
VEMURAFENIB,DASATINIB,Hs 578T,-22.22,-15.622844696044922
RUXOLITINIB,VANDETANIB,UO-31,-3.86,-12.778287887573242
LENALIDOMIDE,MEGESTROL ACETATE,SW620,-9.15,-10.449113845825195
VEMURAFENIB,PACLITAXEL,ACHN,-2.08,-22.80785369873047
AXITINIB,SORAFENIB,MOLT-4,-3.89,-12.415216445922852
DOCETAXEL,ROMIDEPSIN,786-O,-13.09,-8.647375106811523
VINBLASTINE,GELDANAMYCIN,SK-MEL-30,-6.415,-4.393416404724121
LENALIDOMIDE,IMATINIB,786-O,-0.72,-6.05924129486084
VISMODEGIB,RALOXIFENE,RXF 393L,6.02,3.804155349731445
VISMODEGIB,SORAFENIB,SNB-75,-40.89,-12.90028953552246
ABIRATERONE,VISMODEGIB,KM12,4.4,-3.131349563598633
VEMURAFENIB,GEFITINIB,NCI-H322M,-6.57,-7.170133590698242
VEMURAFENIB,TRETINOIN,UO-31,5.02,2.912694931030273
DOCETAXEL,ARSENIC TRIOXIDE,HOP-92,-2.75,-7.825854301452637
VISMODEGIB,MEGESTROL ACETATE,HCT 116,-12.23,-15.730291366577148
PIBOSEROD,RUXOLITINIB,L-1236,-28.07,-21.225391387939453
AXITINIB,SORAFENIB,Hs 578T,-17.98,-13.736987113952637
