Drug A,Drug B,Cell Line Name,Score,Pred Score
VISMODEGIB,LENALIDOMIDE,NCI-H322M,-6.27,-5.835010528564453
CRIZOTINIB,RUXOLITINIB,786-O,0.82,-5.844510078430176
MEGESTROL ACETATE,ROMIDEPSIN,MDA-MB-468,-57.05,-47.47078704833984
DEXAMETHASONE,ERLOTINIB,SK-MES-1,-11.7,-6.512513637542725
IMATINIB,FULVESTRANT,HOP-62,-1.21,-3.018455982208252
MEGESTROL ACETATE,LAPATINIB,HOP-92,-47.93,-8.54779052734375
RALOXIFENE,MEGESTROL ACETATE,HCT 15,-3.21,-2.0251827239990234
VISMODEGIB,SORAFENIB,U-251MG,-2.84,-5.656404495239258
GEFITINIB,DASATINIB,TK-10,7.02,-2.11411452293396
RALOXIFENE,MITOTANE,HCC2998,10.1,-3.478100776672364
RUXOLITINIB,ARSENIC TRIOXIDE,HCT 15,-6.79,-8.211009979248047
RALOXIFENE,NILOTINIB,PC-3,-1.82,-2.555295467376709
GEFITINIB,THALIDOMIDE,UO-31,-9.92,-6.590903282165527
AXITINIB,VEMURAFENIB,MDA-MB-231,-2.22,-0.925427794456482
ABIRATERONE,DASATINIB,HCC2998,-7.19,-4.043478488922119
NILOTINIB,LAPATINIB,SN12C,-29.44,-9.45241641998291
VANDETANIB,CELECOXIB,PC-3,-0.66,-6.421664237976074
CRIZOTINIB,RUXOLITINIB,NCI-H460,-9.62,-6.723343372344971
PACLITAXEL,SORAFENIB,M14,0.82,-4.205980777740479
RUXOLITINIB,GEFITINIB,IGROV-1,4.92,-4.899311542510986
TAURINE,RUXOLITINIB,L-1236,-33.024,-12.838459014892578
PACLITAXEL,DASATINIB,SW837,3.605,-3.81504487991333
VISMODEGIB,SUNITINIB,OVCAR-4,-1.35,-7.489786148071289
METFORMIN,SUNITINIB,OV-90,5.5325,-5.266139030456543
DOCETAXEL,MITOTANE,DU145,5.08,-12.107686042785645
GLICLAZIDE,RUXOLITINIB,L-1236,-46.51,-11.771492004394531
DOCETAXEL,ARSENIC TRIOXIDE,SF268,0.25,-4.317956924438477
VEMURAFENIB,SUNITINIB,LOX-IMVI,-10.51,-6.359621047973633
VISMODEGIB,RUXOLITINIB,Caki-1,10.03,-8.016146659851074
GEFITINIB,ARSENIC TRIOXIDE,UO-31,-10.24,-9.034598350524902
DASATINIB,LAPATINIB,Caki-1,0.13,-3.885408639907837
ABIRATERONE,LENALIDOMIDE,M14,-7.48,-7.354715347290039
VANDETANIB,IMATINIB,SK-MEL-5,-12.14,-5.927188873291016
TRETINOIN,DASATINIB,HCT 116,3.97,-5.583130836486816
GEFITINIB,SUNITINIB,IGROV-1,-5.22,-5.751410961151123
GEFITINIB,CRIZOTINIB,M14,5.18,-4.960684299468994
ABIRATERONE,DASATINIB,MDA-MB-231,17.47,-7.845240592956543
VEMURAFENIB,RUXOLITINIB,OVCAR-5,4.22,-6.201907157897949
AXITINIB,SUNITINIB,SF268,-13.59,-7.101629257202148
VISMODEGIB,IMATINIB,CCRF-CEM,-1.54,-6.110175132751465
VEMURAFENIB,ABIRATERONE,MCF-7,-13.03,4.0288591384887695
RUXOLITINIB,LENALIDOMIDE,HOP-92,2.04,-6.259263038635254
ABIRATERONE,ROMIDEPSIN,TK-10,-4.94,-21.771289825439453
LENALIDOMIDE,DASATINIB,SNB-75,-6.16,-13.536214828491213
VISMODEGIB,FULVESTRANT,OVCAR-3,-3.29,-3.1583051681518555
VISMODEGIB,ROMIDEPSIN,HOP-92,-9.68,-32.5905876159668
RUXOLITINIB,TRETINOIN,SNB-75,-5.05,-4.127760410308838
MEGESTROL ACETATE,DASATINIB,UACC-257,-3.42,-10.371747016906738
VISMODEGIB,PACLITAXEL,NCI-H522,1.42,-5.066682815551758
VEMURAFENIB,RUXOLITINIB,SK-MEL-2,3.53,-6.096786975860596
RUXOLITINIB,IMATINIB,NCI-H23,-5.82,-3.829213857650757
RUXOLITINIB,NILOTINIB,UACC-62,-3.24,-4.083266258239746
ROMIDEPSIN,ARSENIC TRIOXIDE,SK-OV-3,-32.79,-9.70176887512207
LENALIDOMIDE,THALIDOMIDE,COLO 205,-6.0,-6.917543888092041
RUXOLITINIB,LENALIDOMIDE,T-47D,-3.9,-5.194038391113281
MEGESTROL ACETATE,THALIDOMIDE,OVCAR-3,2.09,-3.6931638717651367
VEMURAFENIB,LENALIDOMIDE,Hs 578T,7.79,-5.2548112869262695
VISMODEGIB,RUXOLITINIB,HOP-92,-0.12,-6.676300048828125
LENALIDOMIDE,MEGESTROL ACETATE,Caki-1,-7.85,-4.700153350830078
VISMODEGIB,AXITINIB,NCI-H522,-10.25,-4.365062713623047
ROMIDEPSIN,DASATINIB,OVCAR-8,-21.54,-19.61202621459961
VISMODEGIB,GEFITINIB,IGROV-1,9.17,-5.296541213989258
MITOTANE,NILOTINIB,UACC-257,-0.36,-1.9679608345031736
ERLOTINIB,DASATINIB,PA-1,6.4025,-5.113930702209473
RALOXIFENE,GEFITINIB,NCI-H460,-8.65,-2.0203404426574707
VISMODEGIB,MEGESTROL ACETATE,SK-OV-3,-7.42,-5.518770217895508
RALOXIFENE,ABIRATERONE,NCI-H226,-1.08,0.5002422332763672
RALOXIFENE,VANDETANIB,HOP-62,-2.55,-4.495815277099609
