Cell Line Name,Panel Name,Doubling Time,Inoculation Density
CCRF-CEM,Leukemia,26.7,40000
HL-60(TB),Leukemia,28.6,40000
K-562,Leukemia,19.6,5000
MOLT-4,Leukemia,27.9,30000
RPMI-8226,Leukemia,33.5,20000
SR,Leukemia,28.7,20000
A549/ATCC,Non-Small Cell Lung,22.9,7500
EKVX,Non-Small Cell Lung,43.6,20000
HOP-62,Non-Small Cell Lung,39,10000
HOP-92,Non-Small Cell Lung,79.5,20000
NCI-H226,Non-Small Cell Lung,61,20000
NCI-H23,Non-Small Cell Lung,33.4,20000
NCI-H322M,Non-Small Cell Lung,35.3,20000
NCI-H460,Non-Small Cell Lung,17.8,7500
NCI-H522,Non-Small Cell Lung,38.2,20000
COLO 205,Colon,23.8,15000
HCC-2998,Colon,31.5,15000
HCT-116,Colon,17.4,5000
HCT-15,Colon,20.6,10000
HT29,Colon,19.5,5000
KM12,Colon,23.7,15000
SW-620,Colon,20.4,10000
SF-268,CNS,33.1,15000
SF-295,CNS,29.5,10000
SF-539,CNS,35.4,15000
SNB-19,CNS,34.6,15000
SNB-75,CNS,62.8,20000
U251,CNS,23.8,7500
LOX IMVI,Melanoma,20.5,7500
MALME-3M,Melanoma,46.2,20000
M14,Melanoma,26.3,15000
MDA-MB-435,Melanoma,25.8,15000
SK-MEL-2,Melanoma,45.5,20000
SK-MEL-28,Melanoma,35.1,10000
SK-MEL-5,Melanoma,25.2,10000
UACC-257,Melanoma,38.5,20000
UACC-62,Melanoma,31.3,10000
IGROV1,Ovarian,31,10000
OVCAR-3,Ovarian,34.7,10000
OVCAR-4,Ovarian,41.4,15000
OVCAR-5,Ovarian,48.8,20000
OVCAR-8,Ovarian,26.1,10000
NCI/ADR-RES,Ovarian,34,15000
SK-OV-3,Ovarian,48.7,20000
786-0,Renal,22.4,10000
A498,Renal,66.8,25000
ACHN,Renal,27.5,10000
CAKI-1,Renal,39,10000
RXF 393,Renal,62.9,15000
SN12C,Renal,29.5,15000
TK-10,Renal,51.3,15000
UO-31,Renal,41.7,15000
PC-3,Prostate,27.1,7500
DU-145,Prostate,32.3,10000
MCF7,Breast,25.4,10000
MDA-MB-231/ATCC,Breast,41.9,20000
MDA-MB-468,Breast,62,2000
HS 578T,Breast,53.8,20000
MDA-N,Breast,22.5,15000
BT-549,Breast,53.9,20000
T-47D,Breast,45.5,20000
