symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231/ATCC,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
ABL1,0,0,-1,-1,1,-1,0,1,0,-1,0,-1,0,-1,-1,-1,-1,0,1,0,1,0,-1,0,0,0,0,-1,-1,1,-1,-1,-1,0,1,0,1,0,-1,0,1,-1,-1,0,0,-1,1,0,-1,1,1,1,-1,-1,-1
ABL2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,0,0,1,1,1,0,2,1,-1,-2,1,0,1,0,1,0,0,0,0,-1,0,1,0,1,1,1,1,1,0
ACAA1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,1,1,0,-1,1,0,0,1,0,1,-1,1,0,0,0,1,-1,0,-1,-1,1
ACACA,0,1,1,1,-1,0,0,1,0,-1,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0,-1,1,0,0,-1,1,1,-1,-1,1,-1,-1,0,-1,1,1,0,1,0,0,0,0,-1,0,0,1,1,1,0,0,-1
ACACB,-1,-1,0,1,-1,1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,1,1,0,1,0,-1,0,0,1,-1,1,-1,0,-1,0,1,1,0,-1,-1,0,0,-1,0,1,0,1,-1,0,0,1,0,0,2,0,1
ACADL,0,0,0,1,-1,0,0,0,-1,1,0,0,0,1,0,1,0,0,-1,0,0,1,0,-1,0,0,-1,0,1,1,1,0,0,1,-1,0,1,-1,1,0,1,0,1,0,0,0,-1,0,1,-1,1,0,1,1,0
ACADM,1,0,-1,0,1,-1,0,-1,-1,1,0,0,0,-1,1,1,0,0,0,0,0,2,-1,1,1,0,0,0,0,0,1,0,1,0,1,1,-1,1,1,0,1,1,1,-1,-1,-1,1,0,0,-1,1,1,1,-1,0
ACOX1,0,1,1,1,-1,1,0,1,0,1,0,1,0,1,1,-1,-1,0,0,-1,1,0,-1,0,1,1,0,0,-1,1,1,0,-1,1,1,1,0,-1,1,1,-1,1,0,1,0,0,-1,0,1,1,1,1,-1,0,-1
ACOX2,0,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,1,1,0,-1,-1,0,-1,1,0,1,-1,0,0,0,0,-1,-1,0,-1,-1,1
ACOX3,0,-1,-1,-1,-1,1,0,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,1,-1,1,1,-2,-1,1,-1,0,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1
ACSBG1,-1,0,1,0,-1,-1,0,1,0,1,0,-1,0,-1,-1,-1,1,0,0,0,-1,2,1,-1,-1,0,1,0,1,1,-1,-1,-1,1,-1,-1,0,0,-1,0,1,-1,0,0,0,-1,-1,0,0,-1,1,1,-1,-1,-1
ACSBG2,-1,0,-1,-1,-1,1,0,-1,0,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,1,0,-1,0,1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1
ACSL1,-1,-1,-1,0,-1,0,0,0,-2,0,0,-2,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1
ACSL3,0,-1,0,1,-1,0,0,0,-1,0,0,0,0,1,0,1,0,0,-1,0,1,1,-1,-1,-1,0,0,0,1,1,1,0,-1,1,-1,0,-1,-1,1,0,-1,0,1,0,0,0,-1,0,0,-1,1,0,1,1,-1
ACSL5,0,0,0,1,-2,0,0,0,0,0,0,2,0,-1,0,-1,0,0,-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,1,1,2,0,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,-1
ACSL6,0,1,0,0,1,1,0,1,-1,-1,0,-1,0,1,0,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,-1,0,0,-1,1,1,1,0,0,-1,0,0,1,0,0,1,1,-1,-1,-1
ACTA2,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,1,-1,-1,-2,0,-1,-1,-1,0,-1,0,1,1,-1,0,-1,-1,-1
ACTB,1,1,0,1,1,0,0,-1,0,1,1,0,0,0,1,1,1,1,0,0,0,-1,1,0,1,-2,1,1,1,1,1,-1,-1,1,1,1,1,2,1,1,1,1,0,1,-1,0,1,1,1,1,1,2,0,1,1
ACTG1,0,0,1,1,-1,1,0,1,0,1,0,1,0,1,1,-1,-1,0,0,-1,1,0,-1,0,-1,1,0,0,-1,1,1,-1,1,1,-1,1,0,-1,1,1,1,1,0,2,2,0,-1,0,1,1,1,1,-1,0,-1
ACVR1,0,1,0,1,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,-1,0,1,0,-1,-1,0,0,-1,0,1,-1,1,0,0,1,0
ACVR1B,-1,-1,0,1,-1,1,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,1,0,1,-1,-1,0,1,1,0,1,-1,0,0,0,-1,1,0,0,0,0,-1,-1,-1,0,0,1,-1,0,1,1,0,-1,-1,0,1
ACVR1C,0,1,0,1,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,-1,0,1,0,-1,-1,0,0,-1,0,1,-1,1,0,1,1,0
ACVR2A,0,1,0,1,-1,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,-1,0,1,0,-1,-1,0,0,-1,0,0,-1,1,0,1,1,0
ACVR2B,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,2,0,1,1,0,-1,1,0,0,1,0,1,-1,1,0,0,0,0,-1,0,-1,-1,1
ADAM17,0,1,1,1,-1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,1,0,0,1,1,1,1,1,-1,1,-1,0,0,1,-1,0,1,0,1,1,-1,1,-1,0,0,-1,1,0,0,1,-1
ADCY1,1,1,0,1,1,1,0,0,1,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,-1,2,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1,1,2,1,1,1,-1,2,1
ADCY10,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-1,0,0,1,1,1,0,1,1,-1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,-1
ADCY2,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,-1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,-1,1,1,1,0,-1,0,1,0,1,1,1,1,1,1,1,2,1,0
ADCY3,0,1,1,1,-1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,1,-1,-1,1,0,0,1,1,1,1,1,0,1,-1,0,0,1,1,0,1,0,1,1,-1,1,-1,0,1,-1,1,0,0,1,-1
ADCY4,0,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,1,1,1,-1,0,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,-1
ADCY5,0,-1,0,0,0,1,0,1,-1,-1,0,0,0,0,0,1,1,-1,-1,0,0,1,-1,-1,0,0,-1,1,-1,-1,-1,1,1,0,1,1,0,-1,-1,0,1,1,1,0,0,-1,0,0,0,0,0,0,0,1,1
ADCY6,-1,-1,0,1,-1,1,0,0,0,-1,0,-1,0,-1,0,-1,0,0,0,0,1,0,1,-1,-1,0,1,1,0,1,0,0,0,0,-1,1,0,0,0,0,-1,-1,-1,0,2,1,-1,0,1,1,0,-1,0,0,1
ADCY7,0,0,0,1,-1,1,0,0,0,-1,0,0,0,1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,0,-1,0,1,1,0,-1,2,1,1,0,1,-1,-1,1,-2,-1,-1,-1,1,1,-1,0,1,-1,-1,0,-1,-1,1
ADCY8,1,1,1,0,1,1,0,1,1,0,0,2,0,1,1,2,2,1,0,1,2,0,1,1,-1,1,0,2,1,-1,1,-1,2,1,2,2,0,2,1,0,1,0,1,1,1,1,0,0,-1,1,1,0,1,1,1
ADCY9,0,1,-1,1,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,-1,1,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,1
ADCYAP1,0,-1,-1,0,0,1,0,-1,1,-1,0,0,0,1,0,1,1,-1,1,-1,0,1,1,0,1,-1,0,1,0,0,1,1,-1,1,-1,1,1,1,0,0,-1,0,-1,-1,0,1,-1,0,0,-1,-1,1,-1,-1,0
ADCYAP1R1,1,1,0,1,1,1,0,-1,1,1,1,0,0,0,1,1,1,1,0,0,0,-1,-1,0,1,0,1,1,1,1,1,0,2,1,-1,1,0,1,1,1,1,1,0,1,-1,0,1,1,1,1,1,1,-1,1,1
