Drug A,Drug B,Cell Line Name,Score
Mitotane,Docetaxel,LOX IMVI,19.33333333333333
Fulvestrant,Tretinoin,NCI-H226,-0.4444444444444444
Vorinostat,Docetaxel,PC-3,-3.2222222222222223
Dasatinib,Celecoxib,A498,1.7777777777777777
Mitotane,Paclitaxel,OVCAR-5,-2.0
Dasatinib,Docetaxel,MDA-MB-231/ATCC,0.4444444444444444
Romidepsin,Cladribine,RXF 393,2.7777777777777777
Everolimus,Dasatinib,UACC-257,-5.0
Megestrol acetate,Lenalidomide,UACC-62,-0.1111111111111111
Vorinostat,Paclitaxel,SNB-75,-14.666666666666666
Mitotane,Everolimus,KM12,-0.5555555555555556
Fulvestrant,Tretinoin,A498,-1.6666666666666667
Nilotinib,Tretinoin,TK-10,0.8888888888888888
Everolimus,Sirolimus,COLO 205,4.888888888888889
Mitotane,Dasatinib,M14,0.8888888888888888
Paclitaxel,Nilotinib,HS 578T,29.0
Megestrol acetate,Gefitinib,A549/ATCC,1.5555555555555556
Paclitaxel,Tretinoin,A498,9.77777777777778
Dasatinib,Docetaxel,MCF7,-3.4444444444444446
Fulvestrant,Celecoxib,OVCAR-8,-3.2222222222222223
Thalidomide,Docetaxel,OVCAR-5,-3.333333333333333
Streptozocin,Paclitaxel,SK-MEL-28,4.222222222222222
Mitotane,Tretinoin,LOX IMVI,-9.88888888888889
Vorinostat,Paclitaxel,NCI-H522,-9.666666666666666
Docetaxel,Nilotinib,MDA-MB-231/ATCC,-15.0
Everolimus,Tretinoin,IGROV1,-7.222222222222222
Dasatinib,Docetaxel,MDA-MB-468,-1.0
Romidepsin,Cladribine,SN12C,15.666666666666666
Megestrol acetate,Lenalidomide,OVCAR-3,-2.2222222222222223
Dasatinib,Sirolimus,HCT-116,2.0
Mitotane,Celecoxib,CCRF-CEM,-2.111111111111111
Streptozocin,Docetaxel,BT-549,1.3333333333333333
Everolimus,Cladribine,OVCAR-5,-4.444444444444445
Everolimus,Nilotinib,HS 578T,-17.22222222222222
Mitotane,Sirolimus,RXF 393,-14.333333333333334
Mitotane,Cladribine,IGROV1,-4.888888888888889
Vorinostat,Tretinoin,MDA-MB-231/ATCC,-24.33333333333333
Docetaxel,Sirolimus,RXF 393,-3.2222222222222223
Romidepsin,Sirolimus,A498,1.4444444444444444
Everolimus,Sirolimus,MDA-MB-231/ATCC,1.2222222222222223
Paclitaxel,Cladribine,MDA-MB-468,8.333333333333334
Dasatinib,Docetaxel,KM12,1.3333333333333333
Romidepsin,Celecoxib,OVCAR-4,-4.111111111111111
Mitotane,Sirolimus,CCRF-CEM,0.0
Fulvestrant,Everolimus,A498,17.11111111111111
Mitotane,Docetaxel,NCI-H460,18.11111111111111
Fulvestrant,Sirolimus,UACC-257,-4.0
Vorinostat,Romidepsin,SF-268,-6.111111111111111
Megestrol acetate,Lenalidomide,UO-31,-3.333333333333333
Vorinostat,Docetaxel,IGROV1,0.0
Thalidomide,Mitotane,MCF7,-0.7777777777777778
Dasatinib,Vorinostat,TK-10,5.555555555555555
Nilotinib,Celecoxib,A498,-0.6666666666666666
Fulvestrant,Cladribine,HOP-62,-4.777777777777778
Nilotinib,Mitotane,OVCAR-3,-8.666666666666666
Docetaxel,Cladribine,A498,-2.555555555555556
Paclitaxel,Tretinoin,OVCAR-4,9.555555555555555
Streptozocin,Docetaxel,NCI-H322M,-8.11111111111111
Streptozocin,Cladribine,NCI-H322M,-6.888888888888889
Romidepsin,Paclitaxel,UACC-62,-8.333333333333334
Vorinostat,Paclitaxel,HCT-116,-7.0
Docetaxel,Fulvestrant,BT-549,0.5555555555555556
Fulvestrant,Everolimus,ACHN,-2.333333333333333
Cladribine,Celecoxib,SK-MEL-5,-0.5555555555555556
Everolimus,Romidepsin,SK-MEL-28,-3.333333333333333
Paclitaxel,Tretinoin,PC-3,17.666666666666668
Mitotane,Sirolimus,BT-549,-7.111111111111111
Streptozocin,Sirolimus,SK-OV-3,-2.2222222222222223
Fulvestrant,Romidepsin,786-0,1.7777777777777777
Mitotane,Everolimus,M14,-1.2222222222222223
Streptozocin,Tretinoin,HT29,-8.444444444444445
Nilotinib,Tretinoin,NCI-H522,-8.444444444444445
Romidepsin,Paclitaxel,TK-10,-2.0
Romidepsin,Nilotinib,BT-549,-2.4444444444444446
Streptozocin,Mitotane,SF-539,-4.666666666666667
Dasatinib,Romidepsin,OVCAR-4,-5.555555555555555
Dasatinib,Cladribine,SNB-75,-8.777777777777779
Docetaxel,Tretinoin,SK-MEL-5,20.33333333333333
Vorinostat,Paclitaxel,SW-620,-3.7777777777777777
Docetaxel,Nilotinib,OVCAR-5,-9.0
Thalidomide,Tretinoin,LOX IMVI,-5.222222222222222
Docetaxel,Tretinoin,OVCAR-3,16.555555555555557
Docetaxel,Nilotinib,HCT-116,3.7777777777777777
Vorinostat,Celecoxib,OVCAR-8,-3.6666666666666665
Mitotane,Dasatinib,T-47D,-7.444444444444445
Mitotane,Sirolimus,SNB-75,-4.777777777777778
Mitotane,Everolimus,ACHN,2.111111111111111
Fulvestrant,Celecoxib,NCI-H322M,-4.222222222222222
Dasatinib,Vorinostat,SF-539,-5.222222222222222
Docetaxel,Nilotinib,CCRF-CEM,2.333333333333333
Fulvestrant,Sirolimus,MCF7,-4.777777777777778
Vorinostat,Celecoxib,RXF 393,-9.11111111111111
Streptozocin,Tretinoin,UACC-257,-3.2222222222222223
Vorinostat,Sirolimus,OVCAR-3,-10.0
Megestrol acetate,Gefitinib,SN12C,-1.0
Cladribine,Celecoxib,HOP-62,4.666666666666667
Fulvestrant,Nilotinib,MOLT-4,-21.22222222222222
Tretinoin,Cladribine,K-562,-2.555555555555556
Docetaxel,Paclitaxel,SK-MEL-5,-1.3333333333333333
Mitotane,Docetaxel,SR,31.22222222222222
Nilotinib,Mitotane,PC-3,-3.888888888888889
Everolimus,Docetaxel,MDA-MB-231/ATCC,5.0
Everolimus,Nilotinib,HCT-15,-7.555555555555555
Fulvestrant,Romidepsin,EKVX,-2.0
Streptozocin,Paclitaxel,HOP-92,-1.0
Everolimus,Docetaxel,UO-31,-2.2222222222222223
Mitotane,Celecoxib,U251,-1.4444444444444444
Docetaxel,Sirolimus,HS 578T,-3.111111111111111
