Drug,Target
2017,1
2017,2
2017,564
2017,626
2017,657
2017,823
2017,1014
2017,1071
2017,1126
2017,1147
2017,1163
2017,1362
2017,1801
2017,1816
2018,538
2019,538
2019,567
2020,181
2020,622
2020,632
2020,633
2020,635
2020,1010
2020,1014
2020,1362
2020,1586
2020,1634
2021,396
2021,632
2021,633
2021,635
2021,1010
2021,1014
2021,1361
2021,1362
2022,783
2022,784
2022,785
2023,1290
2024,815
2024,816
2024,817
2025,1514
2026,153
2026,1178
2027,990
1,2017
2,2017
564,2017
626,2017
657,2017
823,2017
1014,2017
1071,2017
1126,2017
1147,2017
1163,2017
1362,2017
1801,2017
1816,2017
538,2018
538,2019
567,2019
181,2020
622,2020
632,2020
633,2020
635,2020
1010,2020
1014,2020
1362,2020
1586,2020
1634,2020
396,2021
632,2021
633,2021
635,2021
1010,2021
1014,2021
1361,2021
1362,2021
783,2022
784,2022
785,2022
1290,2023
815,2024
816,2024
817,2024
1514,2025
153,2026
1178,2026
990,2027
