Drug A,Drug B,Cell Line Name,Study Name,Score
Vorinostat,Sunitinib,CCRF-CEM,ALMANAC,-15.9638552996211
Pazopanib,Sunitinib,SK-MEL-2,FRIEDMAN,3.25229928350652
Fulvestrant,Sorafenib,EKVX,ALMANAC,-7.23696935762981
RAF265,Lenalidomide,A2058,FRIEDMAN,-10.4900172010652
Gefitinib,Crizotinib,OVCAR-4,ALMANAC,-2.75959313362692
Lestaurtinib,Erlotinib,A101D,FRIEDMAN,-1.07345298944883
Vemurafenib,Crizotinib,SW-620,ALMANAC,-19.5743781970185
Axitinib,Vorinostat,T-47D,ALMANAC,-5.28089706800535
Crizotinib,Ruxolitinib,HOP-62,ALMANAC,-4.05858379609111
Axitinib,Vemurafenib,MOLT-4,ALMANAC,-19.9619162743787
Vismodegib,Gefitinib,KM12,ALMANAC,-8.80515197423557
Palbociclib,Lenalidomide,COLO 800,FRIEDMAN,-12.4418037720741
Abiraterone,thalidomide,LOX IMVI,ALMANAC,-31.3754958237612
Vandetanib,Fulvestrant,SR,ALMANAC,2.20034277164746
Pazopanib,VX-702,A375,FRIEDMAN,-5.97962814439066
Nilotinib,Pioglitazone,SKMEL30,FRIEDMAN,-3.26106949312708
Vandetanib,mitotane,LOX IMVI,ALMANAC,-14.531057011445
Navitoclax,Ruxolitinib,HDLM-2,NCATS_HL,8.24712416579437
celecoxib,Romidepsin,HT29,ALMANAC,-34.8260914967314
Romidepsin,thalidomide,SR,ALMANAC,-1.71627039012234
Palbociclib,SNS-032,RVH-421,FRIEDMAN,0.0161474449667711
Nilotinib,paclitaxel,A498,ALMANAC,-11.1767817248896
Vemurafenib,Ruxolitinib,CAKI-1,ALMANAC,6.61234507361516
Lenalidomide,Fulvestrant,UACC-257,ALMANAC,3.46450312480079
vinblastine,Lapatinib,NCIH1650,ONEIL,-9.72499716390718
Vismodegib,RAF265,LOX IMVI,FRIEDMAN,-8.01455617901491
Lenalidomide,Dasatinib,SK-MEL-2,ALMANAC,-7.07978127013736
Ruxolitinib,mitotane,COLO 205,ALMANAC,2.10214232920855
