Drug A,Drug B,Cell Line Name,Study Name,Score
paclitaxel,Sunitinib,ACHN,ALMANAC,5.6714095358599
raloxifene,Vismodegib,HT29,ALMANAC,-4.76255196765668
Axitinib,Vandetanib,UACC-257,ALMANAC,3.66313041087705
Vismodegib,Axitinib,NCI-H522,ALMANAC,0.575967253941316
Nilotinib,Enzastaurin,SK-MEL-5,FRIEDMAN,-12.0132089345431
Nilotinib,Cediranib,UACC62,FRIEDMAN,5.43540834419154
Ruxolitinib,Vandetanib,UO-31,ALMANAC,1.89336396504734
Imatinib,Romidepsin,UACC62,ALMANAC,-64.2987925756874
Enzastaurin,Lestaurtinib,SKMEL30,FRIEDMAN,15.9817503490381
Lenalidomide,Imatinib,SR,ALMANAC,-0.0584721758068966
Romidepsin,Lapatinib,CAKI-1,ALMANAC,-37.8453572333546
Enzastaurin,Vorinostat,COLO 800,FRIEDMAN,-68.9718756362875
Sunitinib,Sorafenib,TK-10,ALMANAC,-4.50862415923759
Fingolimod,Crizotinib,COLO 829,FRIEDMAN,3.15940200797445
Vandetanib,Axitinib,NCI-H522,ALMANAC,3.75236740868467
Vismodegib,Cediranib,UACC-257,FRIEDMAN,-0.603524612703718
MEGESTROL ACETATE,Vorinostat,SF-539,ALMANAC,-50.8363631911546
Gefitinib,Enzastaurin,T-47D,ASTRAZENECA,-0.758807793678774
Axitinib,Nilotinib,SK-MEL-28,ALMANAC,1.25240382594266
Crizotinib,Abiraterone,SF-268,ALMANAC,7.1831444691674
Sorafenib,Palbociclib,LB2518-MEL,FRIEDMAN,-19.2636792950819
Nilotinib,Tideglusib,COLO 800,FRIEDMAN,11.5697331598029
Erlotinib,Lenalidomide,MeWo,FRIEDMAN,1.47352382616359
VX-702,Vatalanib,WM115,FRIEDMAN,0.684090522697142
Sunitinib,Midostaurin,A2058,FRIEDMAN,0.349315538926308
Linsitinib,Erlotinib,Mel Ho,FRIEDMAN,-0.316731257312025
Vemurafenib,Sorafenib,UO-31,ALMANAC,2.42988200069625
Dasatinib,mitotane,NCI-H460,ALMANAC,-0.484210537476801
Lenalidomide,thalidomide,RXF 393,ALMANAC,-1.34398407245947
vinblastine,Vorinostat,NCIH520,ONEIL,-3.15887949932979
Romidepsin,Fulvestrant,SF-295,ALMANAC,-32.5470329370273
Vatalanib,Erlotinib,RVH-421,FRIEDMAN,6.78302352558366
Lenalidomide,Vorinostat,A549,ALMANAC,7.65214812700771
Axitinib,Lenalidomide,ACHN,ALMANAC,-5.68033021519985
Vemurafenib,Dasatinib,PC-3,ALMANAC,-14.0110886868556
vinblastine,geldanamycin,UACC62,ONEIL,-14.564555056626377
Ruxolitinib,Erlotinib,SKMEL30,FRIEDMAN,12.5130070585648
Vemurafenib,Dasatinib,BT-549,ALMANAC,4.61707819599477
Lenalidomide,Nilotinib,UO-31,ALMANAC,-0.606117284349385
Lenalidomide,Cediranib,RPMI7951,FRIEDMAN,6.16833485535474
Sunitinib,Sorafenib,K-562,ALMANAC,-14.9881482561835
Abiraterone,Fulvestrant,MDA-MB-468,ALMANAC,-15.980825193882
Sunitinib,mitotane,HOP-62,ALMANAC,1.3025673342216
Ruxolitinib,Enzastaurin,SKMEL30,FRIEDMAN,-15.3669964559972
Ruxolitinib,Lapatinib,IST-MEL1,FRIEDMAN,-6.22222765400135
Ruxolitinib,thalidomide,MDA-MB-231,ALMANAC,-0.937872758031419
Pazopanib,Dasatinib,A2058,FRIEDMAN,-14.055209894439
Tideglusib,VX-702,UACC-257,FRIEDMAN,-5.20898806907549
Crizotinib,thalidomide,NCIH23,ALMANAC,-3.51488001849435
Vismodegib,Vorinostat,G-361,FRIEDMAN,0.650117329872427
Abiraterone,Vismodegib,MCF7,ALMANAC,3.8417570351335
Fingolimod,Lapatinib,LB2518-MEL,FRIEDMAN,-22.2160384187578
Vemurafenib,Ruxolitinib,RPMI-8226,ALMANAC,-4.89979095035332
Axitinib,paclitaxel,OVCAR-8,ALMANAC,-33.9369501784522
paclitaxel,Vorinostat,NCIH23,ALMANAC,-4.06766358306629
Vemurafenib,Vismodegib,A549,ALMANAC,1.11649237269139
RAF265,Vorinostat,SKMEL30,FRIEDMAN,27.8877345966701
SNS-032,Pioglitazone,G-361,FRIEDMAN,-11.9287003329828
Palbociclib,SNS-032,COLO 829,FRIEDMAN,-2.4690824914817
Sunitinib,Erlotinib,VCAP,ONEIL,7.960789166364423
Vandetanib,Imatinib,MOLT-4,ALMANAC,-8.37657147519698
Lapatinib,Sorafenib,HCC-2998,ALMANAC,-17.6139119989163
Lestaurtinib,Sunitinib,SK-MEL-5,FRIEDMAN,-4.79548610970282
Imatinib,Vorinostat,786-0,ALMANAC,-5.52407468128231
Romidepsin,Sorafenib,BT-549,ALMANAC,-40.8001827319698
Lestaurtinib,SNS-032,UACC62,FRIEDMAN,-22.1374028431766
Sorafenib,Pioglitazone,COLO 800,FRIEDMAN,-41.6184891502181
Tideglusib,Crizotinib,G-361,FRIEDMAN,8.62734190041881
Gefitinib,paclitaxel,SR,ALMANAC,-7.47282955279261
Abiraterone,Vemurafenib,DU-145,ALMANAC,-6.6851824220026
Vemurafenib,paclitaxel,RXF 393,ALMANAC,0.315578814023026
Nilotinib,Dasatinib,SNB-75,ALMANAC,-8.24513254299302
Vemurafenib,MEGESTROL ACETATE,SF-295,ALMANAC,-3.70048107242709
MEGESTROL ACETATE,mitotane,RPMI-8226,ALMANAC,10.412796900842
Vismodegib,Fingolimod,RPMI7951,FRIEDMAN,-24.5745022253841
Vemurafenib,Vismodegib,SK-MEL-28,ALMANAC,-7.86764307950133
Vismodegib,Romidepsin,UACC62,ALMANAC,-50.3712263871724
Gefitinib,Vorinostat,HT29,ALMANAC,5.4162891194034
Vandetanib,mitotane,SW-620,ALMANAC,1.00582257448986
Bexarotene,Vatalanib,LB2518-MEL,FRIEDMAN,7.87465608096032
Nilotinib,Pioglitazone,A101D,FRIEDMAN,-17.5201882861416
dexamethasone,Vorinostat,NCIH1650,ONEIL,-17.5589533745204
Vemurafenib,Vemurafenib,NCI-H460,ALMANAC,5.35914620052196
Crizotinib,Axitinib,SF-539,ALMANAC,0.150997296330576
Dasatinib,RAF265,A2058,FRIEDMAN,1.3852567399597
Vandetanib,Axitinib,HCT-15,ALMANAC,-1.61695385405742
vinblastine,Sunitinib,UWB1289,ONEIL,0.8319171014720902
Gefitinib,Crizotinib,SN12C,ALMANAC,1.26290835483175
vinblastine,Sunitinib,A427,ONEIL,5.81602235619721
Lapatinib,Cediranib,IST-MEL1,FRIEDMAN,10.6714363442266
celecoxib,Nilotinib,K-562,ALMANAC,-0.244141011587675
Abiraterone,Vandetanib,HOP-92,ALMANAC,-3.60324753039327
Vismodegib,Crizotinib,A2058,FRIEDMAN,8.2662332788314
Erlotinib,Lenalidomide,UACC-257,FRIEDMAN,11.5630740554485
raloxifene,Abiraterone,A498,ALMANAC,-2.59646759810543
Bexarotene,Tanespimycin,SK-MEL-2,FRIEDMAN,11.920217768321
raloxifene,paclitaxel,UACC62,ALMANAC,-48.0500853547529
Vorinostat,thalidomide,MDA-MB-231,ALMANAC,-9.64449610725007
Bexarotene,SNS-032,MeWo,FRIEDMAN,-10.3818378064521
Lenalidomide,Fulvestrant,OVCAR3,ALMANAC,-3.70940047949397
Ruxolitinib,Vemurafenib,TK-10,ALMANAC,-3.35704532399536
MEGESTROL ACETATE,Fulvestrant,A498,ALMANAC,2.10067607442641
mitotane,thalidomide,RXF 393,ALMANAC,1.55626153878933
celecoxib,thalidomide,NCI-H322M,ALMANAC,-3.3681150002437
Gefitinib,Nilotinib,OVCAR-4,ALMANAC,-1.94995224570989
Sorafenib,Vatalanib,451Lu,FRIEDMAN,-16.5083142641943
Fingolimod,Pioglitazone,MeWo,FRIEDMAN,-39.6858915666686
Enzastaurin,Dasatinib,MeWo,FRIEDMAN,-0.128796582711366
VX-702,Midostaurin,IPC-298,FRIEDMAN,11.2249067174426
Palbociclib,Dasatinib,A101D,FRIEDMAN,-0.0730822582042352
Lapatinib,Sorafenib,VCAP,ONEIL,7.92708077877978
Abiraterone,paclitaxel,CAKI-1,ALMANAC,-23.9065179761691
Vemurafenib,Vismodegib,SF-268,ALMANAC,-41.5497624242669
Lapatinib,Sunitinib,NCI-H460,ALMANAC,-5.12818356812943
Navitoclax,Palbociclib,COLO 800,FRIEDMAN,-31.6383862342898
Gefitinib,Lapatinib,SR,ALMANAC,-2.40056564686298
Dasatinib,RAF265,COLO 829,FRIEDMAN,-10.4475632541358
MEGESTROL ACETATE,Nilotinib,SNB-75,ALMANAC,-6.8523585232021
Linsitinib,Bexarotene,IST-MEL1,FRIEDMAN,2.43189618525931
Lapatinib,Bexarotene,WT2-iPS,FRIEDMAN,10.7708887939411
Vorinostat,Lapatinib,RPMI7951,ONEIL,-0.3170472839931942
Vemurafenib,Sunitinib,HOP-92,ALMANAC,-4.46227429348879
Axitinib,Crizotinib,SF-268,ALMANAC,-0.389276978142267
Vandetanib,raloxifene,MDA-MB-231,ALMANAC,-5.54721127999213
Ruxolitinib,Abiraterone,OVCAR3,ALMANAC,-4.52354734762334
Bexarotene,Vatalanib,451Lu,FRIEDMAN,-20.5834711596477
vinblastine,geldanamycin,SW837,ONEIL,-0.2823200449385875
Lestaurtinib,Tanespimycin,SK-MEL-5,FRIEDMAN,6.29347705018513
Imatinib,mitotane,NCIH23,ALMANAC,2.0055011578356
Nilotinib,Romidepsin,LOX IMVI,ALMANAC,-66.0077700442728
Crizotinib,Bexarotene,A375,FRIEDMAN,-31.4107012950308
Ruxolitinib,Pazopanib,451Lu,FRIEDMAN,-4.44837021181411
Vorinostat,Fulvestrant,NCIH23,ALMANAC,4.40477020493968
Fingolimod,Erlotinib,SK-MEL-2,FRIEDMAN,-30.9111782063343
celecoxib,paclitaxel,EKVX,ALMANAC,-10.3816815289603
Sunitinib,Fulvestrant,M14,ALMANAC,-4.6063569405548
raloxifene,Imatinib,T-47D,ALMANAC,4.72052325966567
Palbociclib,Dasatinib,SK-MEL-2,FRIEDMAN,0.437516964247949
Axitinib,Vismodegib,UACC62,ALMANAC,-2.89817945271278
Lapatinib,Fulvestrant,HCT-15,ALMANAC,-0.833005875086649
Sorafenib,thalidomide,HCC-2998,ALMANAC,-1.0711203221836
Nilotinib,Vorinostat,G-361,FRIEDMAN,5.7162045112992
raloxifene,Nilotinib,CCRF-CEM,ALMANAC,-4.09161731543102
