src,dest,conv_bind_weight
18,1241,0.50744176
18,1242,0.19176802
18,1243,0.09996548
18,1822,0.17520745
19,1241,0.2674238
19,1242,0.7247212
19,1243,0.1145943
19,1822,0.2570924
20,23,0.44414186
20,177,0.1107458
20,798,0.2999544
20,1158,0.49202794
20,1160,0.45381662
20,1161,0.8116752
20,1162,0.23433235
20,1163,0.63018435
20,1165,0.2931099
20,1261,0.46649083
20,1765,0.6434463
20,1766,0.44448623
20,1767,0.6153022
20,1769,0.39781198
20,1772,0.1228023
21,1766,0.17618749
21,1767,0.67238486
22,1766,0.2530206
22,1767,0.32641667
23,1766,0.00020970352
23,1767,0.40961105
24,1766,0.1466139
24,1767,0.7052189
25,1292,0.4217291
25,1293,0.46914178
25,1294,0.34965613
25,1295,0.1330213
26,1516,0.45313865
26,1517,0.31489325
26,1518,0.44593722
28,1516,0.17750984
28,1517,0.30941227
28,1518,0.039567832
29,1516,0.42556024
29,1517,0.5120408
29,1518,0.24698716
30,1516,0.302367
30,1517,0.6061063
30,1518,0.18478362
31,1516,0.34168962
31,1517,0.6443505
31,1518,0.12755416
32,1516,0.40589184
32,1517,0.2937483
32,1518,0.39062542
33,1516,0.30898958
33,1517,0.48070687
33,1518,0.39543882
34,1516,0.085912794
34,1517,0.6393741
34,1518,0.46135804
35,1516,0.092605285
35,1517,0.20742884
35,1518,0.72482693
36,37,0.0005324227
36,43,0.32163098
36,52,0.121113345
36,497,0.29996407
36,499,0.2738115
36,652,0.5198528
36,698,0.6500042
36,703,1.5789986
36,832,0.76695716
36,834,0.37002885
36,1089,0.33531952
36,1182,0.0841323
36,1301,0.46962178
36,1553,0.4364309
36,1945,0.32357594
36,1973,0.107006036
37,715,0.27270356
39,40,0.2002682
39,41,0.6638701
40,223,0.43347475
40,1462,0.1357265
40,1821,0.62444335
41,223,0.36947143
41,1462,0.2916891
41,1821,0.2665359
42,709,0.5043062
42,710,0.18223138
42,711,0.0459607
43,712,0.9296236
43,714,0.55001485
43,715,0.14957649
44,712,0.116119
44,714,0.14701444
44,715,0.5414032
45,709,0.17163914
45,710,0.019374616
45,711,0.48628163
46,704,0.6370806
46,705,0.78385985
46,706,0.6752137
46,707,0.2399167
46,708,0.13239288
46,714,0.11817573
46,1512,0.3159724
46,1513,0.3283155
46,1514,0.22755286
46,1515,0.18191594
46,1519,0.5537525
46,1520,0.123297535
46,1521,0.437266
46,1941,0.6016333
47,704,0.12465184
47,705,0.046518933
47,706,0.13958865
47,707,0.99174017
47,708,0.0737513
47,714,0.5032513
47,1941,0.01155656
48,704,0.8196726
48,705,0.14556953
48,706,0.05917166
48,707,0.42202336
48,708,0.14923614
48,714,0.20534536
48,1941,0.15528265
49,704,0.45611036
49,705,0.64146805
49,706,0.31387258
49,714,0.21786895
49,1941,0.6527408
50,704,0.36195394
50,705,0.15170692
50,706,0.16352966
50,714,0.32285005
50,1941,0.20618884
51,704,0.36121655
51,705,0.5044773
51,706,0.6299732
51,714,0.0513369
51,1941,0.41284052
52,709,0.47998822
52,710,0.19038707
52,711,0.33041865
52,712,0.20699643
52,715,0.46210775
53,709,0.1644895
53,710,0.040030576
