Drug A,Drug B,Cell Line Name,Score
Docetaxel,Paclitaxel,MDA-MB-468,4.0
Dasatinib,Cladribine,HCT-116,-3.7777777777777777
Everolimus,Vorinostat,OVCAR-5,-0.5555555555555556
Everolimus,Dasatinib,SNB-75,-7.333333333333333
Thalidomide,Cladribine,LOX IMVI,-9.0
Gefitinib,Lenalidomide,CCRF-CEM,-2.7777777777777777
Sirolimus,Nilotinib,DU-145,-4.333333333333333
Fulvestrant,Dasatinib,TK-10,8.333333333333334
Romidepsin,Nilotinib,HS 578T,-0.3333333333333333
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223
Fulvestrant,Romidepsin,HOP-62,0.4444444444444444
Mitotane,Sirolimus,OVCAR-3,-4.777777777777778
Fulvestrant,Sirolimus,NCI-H322M,-1.8888888888888888
Streptozocin,Mitotane,MOLT-4,4.0
Gefitinib,Lenalidomide,MDA-MB-468,0.5555555555555556
Romidepsin,Tretinoin,SF-539,7.333333333333333
Streptozocin,Mitotane,SK-MEL-28,-4.333333333333333
Fulvestrant,Vorinostat,CCRF-CEM,-9.0
Fulvestrant,Celecoxib,SK-MEL-28,-6.888888888888889
Fulvestrant,Cladribine,786-0,0.6666666666666666
Megestrol acetate,Lenalidomide,MCF7,-12.555555555555555
Tretinoin,Cladribine,A549/ATCC,-2.333333333333333
Vorinostat,Celecoxib,NCI-H226,-5.111111111111111
Everolimus,Vorinostat,MCF7,-4.888888888888889
Tretinoin,Celecoxib,EKVX,1.3333333333333333
Vorinostat,Nilotinib,OVCAR-4,-9.22222222222222
Fulvestrant,Dasatinib,NCI-H522,-1.3333333333333333
Romidepsin,Paclitaxel,SK-MEL-5,-4.666666666666667
Mitotane,Docetaxel,KM12,-3.888888888888889
Fulvestrant,Tretinoin,HT29,2.7777777777777777
Sirolimus,Tretinoin,RXF 393,0.4444444444444444
Dasatinib,Romidepsin,OVCAR-3,-5.888888888888889
Everolimus,Celecoxib,NCI-H226,-3.888888888888889
Mitotane,Nilotinib,A498,-6.555555555555555
Streptozocin,Sirolimus,OVCAR-3,-11.444444444444445
Dasatinib,Docetaxel,BT-549,-1.3333333333333333
Docetaxel,Sirolimus,SK-MEL-28,-1.6666666666666667
Streptozocin,Paclitaxel,SF-268,-7.888888888888889
Docetaxel,Celecoxib,NCI-H522,15.444444444444445
Nilotinib,Celecoxib,COLO 205,-6.222222222222222
Vorinostat,Sirolimus,SF-539,-2.888888888888889
Vorinostat,Cladribine,SF-268,-9.77777777777778
Docetaxel,Tretinoin,MDA-MB-468,24.77777777777778
Thalidomide,Docetaxel,OVCAR-3,-15.0
Thalidomide,Cladribine,786-0,-8.0
Mitotane,Celecoxib,NCI-H226,-0.6666666666666666
Vorinostat,Cladribine,HCC-2998,1.6666666666666667
Thalidomide,Paclitaxel,BT-549,-0.6666666666666666
Vorinostat,Nilotinib,OVCAR-8,-10.333333333333334
Dasatinib,Tretinoin,BT-549,-7.222222222222222
Vorinostat,Sirolimus,NCI-H226,-4.333333333333333
Sirolimus,Celecoxib,KM12,0.8888888888888888
Fulvestrant,Tretinoin,SK-MEL-28,-0.4444444444444444
Sirolimus,Celecoxib,HS 578T,9.666666666666666
Everolimus,Celecoxib,DU-145,-4.222222222222222
Paclitaxel,Sirolimus,SNB-75,4.888888888888889
Everolimus,Dasatinib,MCF7,-5.222222222222222
Fulvestrant,Vorinostat,T-47D,2.333333333333333
Paclitaxel,Celecoxib,KM12,17.444444444444443
Romidepsin,Nilotinib,HCT-116,-4.444444444444445
Streptozocin,Sirolimus,NCI-H226,-7.0
Thalidomide,Cladribine,HCT-15,-0.7777777777777778
Vorinostat,Tretinoin,HT29,-7.333333333333333
Sirolimus,Cladribine,CCRF-CEM,-3.333333333333333
Romidepsin,Nilotinib,MDA-MB-468,-5.555555555555555
Docetaxel,Tretinoin,BT-549,25.11111111111111
Everolimus,Dasatinib,KM12,-2.0
Docetaxel,Tretinoin,MDA-MB-231/ATCC,21.55555555555556
Docetaxel,Fulvestrant,CCRF-CEM,3.888888888888889
Vorinostat,Nilotinib,RPMI-8226,1.7777777777777777
Nilotinib,Tretinoin,UO-31,-2.2222222222222223
Vorinostat,Paclitaxel,SN12C,1.1111111111111112
Mitotane,Tretinoin,SN12C,0.1111111111111111
Nilotinib,Celecoxib,HCT-116,-4.777777777777778
Mitotane,Dasatinib,SK-MEL-28,-1.6666666666666667
Everolimus,Vorinostat,UACC-257,-6.0
Streptozocin,Mitotane,HT29,-3.6666666666666665
Fulvestrant,Cladribine,A549/ATCC,-3.555555555555556
Everolimus,Cladribine,A549/ATCC,-2.4444444444444446
Fulvestrant,Everolimus,MDA-MB-231/ATCC,14.88888888888889
Everolimus,Tretinoin,SF-539,-9.22222222222222
Sirolimus,Mitotane,KM12,3.0
Romidepsin,Docetaxel,IGROV1,3.4444444444444446
Dasatinib,Romidepsin,UO-31,-0.1111111111111111
Mitotane,Sirolimus,MOLT-4,-6.222222222222222
Sirolimus,Celecoxib,A549/ATCC,3.0
Romidepsin,Sirolimus,RXF 393,0.4444444444444444
Mitotane,Docetaxel,HCT-15,-0.4444444444444444
Mitotane,Docetaxel,SW-620,5.444444444444445
Mitotane,Nilotinib,K-562,-4.555555555555555
Everolimus,Vorinostat,BT-549,-7.111111111111111
Vorinostat,Cladribine,PC-3,-1.8888888888888888
Docetaxel,Paclitaxel,SF-539,6.0
Cladribine,Celecoxib,K-562,2.4444444444444446
Romidepsin,Tretinoin,A549/ATCC,15.0
Fulvestrant,Nilotinib,CCRF-CEM,-17.666666666666668
Thalidomide,Sirolimus,NCI-H522,2.2222222222222223
Dasatinib,Sirolimus,A498,4.888888888888889
Docetaxel,Nilotinib,OVCAR-8,10.0
Megestrol acetate,Gefitinib,SK-MEL-5,-12.0
Romidepsin,Tretinoin,MDA-MB-468,-1.2222222222222223
Paclitaxel,Celecoxib,A498,4.777777777777778
Nilotinib,Mitotane,ACHN,-7.333333333333333
Mitotane,Everolimus,TK-10,-4.666666666666667
Tretinoin,Cladribine,OVCAR-3,10.444444444444445
