Drug,Target
2017,1366
2017,1556
2018,1676
2018,1677
2019,1
2019,2
2019,564
2019,626
2019,657
2019,823
2019,1014
2019,1071
2019,1126
2019,1147
2019,1163
2019,1362
2019,1801
2019,1816
2020,153
2020,1178
2021,1231
2022,572
2023,538
2024,1556
2024,1914
2025,1383
2026,572
2026,1383
2027,1
2027,1014
2028,153
2028,1178
2029,783
2029,784
2029,786
2030,610
2030,1231
2031,1756
2032,623
2032,1268
2032,1556
2032,1905
2033,1602
2033,1687
2033,1688
2033,1689
2034,783
2034,784
2034,785
1366,2017
1556,2017
1676,2018
1677,2018
1,2019
2,2019
564,2019
626,2019
657,2019
823,2019
1014,2019
1071,2019
1126,2019
1147,2019
1163,2019
1362,2019
1801,2019
1816,2019
153,2020
1178,2020
1231,2021
572,2022
538,2023
1556,2024
1914,2024
1383,2025
572,2026
1383,2026
1,2027
1014,2027
153,2028
1178,2028
783,2029
784,2029
786,2029
610,2030
1231,2030
1756,2031
623,2032
1268,2032
1556,2032
1905,2032
1602,2033
1687,2033
1688,2033
1689,2033
783,2034
784,2034
785,2034
