symbol,A2058,A2780,A375,A427,CAOV3,HCT116,HT144,HT29,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,NCIH520,OCUBM,OV90,OVCAR3,PA1,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,UWB1289,VCAP
ABL1,16,22,19,5,5,10,17,10,16,27,20,14,8,5,10,32,7,19,25,61,16,24,13,14,21,17,16,10,10,21
ABL2,12,5,9,2,2,5,16,2,2,16,4,6,1,8,4,4,1,4,3,41,7,8,14,10,4,6,3,5,4,2
ACAA1,4,2,4,4,2,3,6,7,11,5,3,10,5,3,2,5,8,5,4,3,6,2,7,3,3,2,6,7,4,4
ACACA,12,27,11,11,7,14,10,29,13,10,15,11,20,7,21,19,7,6,18,9,8,15,12,12,13,16,19,11,11,84
ACACB,0,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,3,0,1,0,0
ACADL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,23,15,14,26,19,14,10,8,27,19,12,8,15,11,8,12,12,7,12,11,7,5,25,12,14,3,7,6,11,16
ACOX1,4,3,4,4,7,8,3,9,6,2,3,9,6,3,6,25,11,8,3,6,3,4,5,5,8,6,18,5,6,8
ACOX2,0,0,3,0,0,1,1,0,0,2,1,0,0,0,0,0,7,0,3,0,0,0,0,1,0,0,3,2,0,2
ACOX3,3,3,4,2,1,3,3,2,3,7,1,4,3,2,1,7,2,2,4,6,4,4,3,6,2,6,4,2,2,2
ACSBG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL1,11,2,7,5,5,3,12,10,8,16,6,16,9,3,5,42,0,3,0,13,7,12,35,8,5,17,15,10,9,42
ACSL3,52,26,46,18,28,21,54,42,15,20,25,30,47,11,19,26,34,23,22,14,33,29,68,28,12,23,11,44,10,125
ACSL5,0,0,0,0,3,77,0,102,25,0,0,3,3,0,4,0,0,0,0,10,7,0,0,0,1,64,0,0,0,22
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,1,10,1,1,1,2,4,0,3,1,1,0,1,1,0,0,0,0,12,2,8,3,0,1,0,1,2,3,0,0
ACTB,1338,1121,655,607,1685,331,890,628,765,2066,1279,1966,737,1466,361,1354,777,722,1776,392,1164,875,555,1083,719,364,1115,712,987,280
ACTG1,612,640,550,863,1484,712,951,491,630,415,1046,670,217,842,425,435,1558,906,1529,427,481,1760,1580,777,711,670,457,536,964,547
ACVR1,10,6,5,5,5,7,19,12,3,5,3,3,3,3,2,3,5,5,8,8,19,6,16,8,1,8,1,15,9,2
ACVR1B,4,3,4,11,2,7,3,10,11,3,3,5,3,6,8,13,9,8,7,7,2,6,3,3,10,18,9,3,7,14
ACVR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR2A,1,0,1,1,1,2,0,1,2,0,0,1,0,1,0,2,1,3,1,1,1,1,0,0,1,2,0,1,1,3
ACVR2B,1,3,1,1,0,4,0,1,1,1,0,0,1,0,1,0,0,1,6,2,0,0,0,0,2,2,0,0,1,2
