Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
Vatalanib,Pioglitazone,UACC-257,FRIEDMAN,-1.24763099974921,-4.45810604095459
Lestaurtinib,Linsitinib,RPMI7951,FRIEDMAN,-18.3596440451736,-2.6697797775268555
Romidepsin,Lapatinib,T-47D,ALMANAC,-33.1239857400473,-33.8158073425293
Vemurafenib,Sunitinib,UO-31,ALMANAC,2.53639809293939,-8.392122268676758
Vismodegib,Erlotinib,COLO 792,FRIEDMAN,-5.34836570502546,-5.157540798187256
Ruxolitinib,Imatinib,UACC62,ALMANAC,-7.08818443049842,-5.480522155761719
Abiraterone,raloxifene,IGROV1,ALMANAC,-4.82351552730086,-1.362029790878296
Ruxolitinib,Axitinib,SN12C,ALMANAC,-1.73588239984917,-5.197231292724609
Nilotinib,Pioglitazone,MeWo,FRIEDMAN,-8.99917850711853,-5.046290397644043
Vandetanib,Crizotinib,786-0,ALMANAC,-1.18991114546778,-3.058722972869873
Fulvestrant,Sorafenib,MDA-MB-231,ALMANAC,2.65571229611472,-8.492483139038086
vinblastine,Sorafenib,A2780,ONEIL,4.338369925074482,-10.238151550292969
Dasatinib,geldanamycin,RPMI7951,ONEIL,-0.3887710448227697,1.2885236740112305
Imatinib,Fulvestrant,SN12C,ALMANAC,-3.21680728227897,-6.44774055480957
Abiraterone,Sorafenib,NCI-H226,ALMANAC,-10.3442831235297,-4.287472724914551
raloxifene,Lenalidomide,SK-MEL-5,ALMANAC,3.34168889787017,-5.520586967468262
Fingolimod,Crizotinib,SK-MEL-5,FRIEDMAN,-5.91642645602158,-8.172966003417969
Nilotinib,mitotane,MDA-MB-468,ALMANAC,2.75517896114404,-2.330202102661133
Lestaurtinib,Midostaurin,UACC62,FRIEDMAN,-12.0937100039059,-4.728219985961914
Lenalidomide,SNS-032,A375,FRIEDMAN,-3.60219336139636,-6.788738250732422
Crizotinib,raloxifene,MCF7,ALMANAC,10.1321928625797,3.5227346420288086
MEGESTROL ACETATE,Fulvestrant,K-562,ALMANAC,-4.99207054071392,-9.284029006958008
MEGESTROL ACETATE,Vemurafenib,HOP-92,ALMANAC,-9.56481118609292,-10.270257949829102
MEGESTROL ACETATE,mitotane,SF-539,ALMANAC,-3.11357336169905,-0.7934074401855469
Gefitinib,Sunitinib,RPMI-8226,ALMANAC,6.76318196189672,-5.618791580200195
