Drug A,Drug B,Cell Line Name,Score
CRIZOTINIB,MITOTANE,NCI-H226,-47.36
VANDETANIB,NILOTINIB,OVCAR-3,-13.44
AXITINIB,MEGESTROL ACETATE,K-562,-53.37
RUXOLITINIB,THALIDOMIDE,MCF-7,3.07
LENALIDOMIDE,VEMURAFENIB,Caki-1,-1.84
LENALIDOMIDE,CELECOXIB,CCRF-CEM,-4.72
VISMODEGIB,TRETINOIN,UACC-62,0.1
VEMURAFENIB,MITOTANE,SN12C,5.54
VISMODEGIB,IMATINIB,SF295,-2.14
VANDETANIB,VEMURAFENIB,SF268,-0.25
DASATINIB,MITOTANE,RPMI-8226,-11.24
LENALIDOMIDE,CRIZOTINIB,SR,-20.43
VEMURAFENIB,VISMODEGIB,T-47D,-4.64
ROMIDEPSIN,ARSENIC TRIOXIDE,HOP-92,-4.96
PACLITAXEL,ARSENIC TRIOXIDE,SF539,-3.99
CRIZOTINIB,DOCETAXEL,HCT 116,1.98
DASATINIB,LAPATINIB,K-562,-0.16
MEGESTROL ACETATE,NILOTINIB,TK-10,-11.47
TRETINOIN,DOCETAXEL,UACC-62,10.92
VEMURAFENIB,RUXOLITINIB,IGROV-1,-9.76
DASATINIB,SORAFENIB,A-498,-27.04
CELECOXIB,PACLITAXEL,MDA-MB-468,8.81
TRETINOIN,MITOTANE,EKVX,-0.97
VISMODEGIB,VEMURAFENIB,ACHN,-36.5
NILOTINIB,ROMIDEPSIN,DU145,-63.14
CRIZOTINIB,SORAFENIB,SK-OV-3,-9.93
LAPATINIB,ARSENIC TRIOXIDE,CCRF-CEM,-11.85
VEMURAFENIB,MEGESTROL ACETATE,Caki-1,-12.97
GEFITINIB,RUXOLITINIB,L-1236,-8.32
CELECOXIB,DOCETAXEL,SF295,3.56
CRIZOTINIB,AXITINIB,T-47D,1.68
DOCETAXEL,SUNITINIB,T-47D,4.9
RUXOLITINIB,MITOTANE,UO-31,-3.54
VEMURAFENIB,LAPATINIB,M14,-7.2
CRIZOTINIB,GEFITINIB,NCI-H226,7.89
CELECOXIB,THALIDOMIDE,SF295,-1.4
PACLITAXEL,THALIDOMIDE,NCI-H460,-53.21
LAPATINIB,SUNITINIB,SK-MEL-28,-25.57
GEFITINIB,TRETINOIN,NCI-H23,1.52
PACLITAXEL,ARSENIC TRIOXIDE,SK-OV-3,-1.47
VISMODEGIB,ARSENIC TRIOXIDE,NCI-H460,10.26
RALOXIFENE,THALIDOMIDE,MCF-7,-0.54
LENALIDOMIDE,ARSENIC TRIOXIDE,SK-MEL-2,-18.4
IMATINIB,MITOTANE,UACC-257,-37.12
VANDETANIB,MEGESTROL ACETATE,SR,2.06
ARTENIMOL,RUXOLITINIB,L-1236,-2.732
MITOTANE,THALIDOMIDE,NCI-H460,0.19
CRIZOTINIB,CELECOXIB,UACC-62,-39.33
ROMIDEPSIN,ARSENIC TRIOXIDE,HT-29,-1.45
ABIRATERONE,AXITINIB,HOP-92,-1.09
GEFITINIB,IMATINIB,OVCAR-4,0.07
CRIZOTINIB,VISMODEGIB,HCT 116,-19.63
ROMIDEPSIN,MITOTANE,BT-549,-24.86
CRIZOTINIB,VEMURAFENIB,TK-10,-2.29
RUXOLITINIB,ROMIDEPSIN,NCI-H522,0.29
LENALIDOMIDE,ROMIDEPSIN,UACC-62,-32.82
VANDETANIB,SUNITINIB,DU145,-7.06
VISMODEGIB,DASATINIB,UACC-62,5.42
AXITINIB,TRETINOIN,OVCAR-5,-0.61
ABIRATERONE,VISMODEGIB,NCI-H23,-15.48
GEFITINIB,PACLITAXEL,RPMI-8226,-10.34
ALPROSTADIL,RUXOLITINIB,L-1236,-43.597
CRIZOTINIB,SUNITINIB,A-498,-8.76
RUXOLITINIB,LAPATINIB,BT-549,4.93
CELECOXIB,SORAFENIB,DU145,3.12
LENALIDOMIDE,SORAFENIB,PC-3,-10.26
VISMODEGIB,MEGESTROL ACETATE,HOP-92,-26.32
LENALIDOMIDE,TRETINOIN,OVCAR-5,3.32
RUXOLITINIB,SORAFENIB,OVCAR-3,-29.32
METFORMIN,LAPATINIB,NCI-H460,-1.6125
LENALIDOMIDE,DASATINIB,Hs 578T,-71.9
VISMODEGIB,PACLITAXEL,RXF 393L,5.06
RUXOLITINIB,ABIRATERONE,UO-31,-4.53
CELECOXIB,FULVESTRANT,ACHN,-2.09
DOCETAXEL,ARSENIC TRIOXIDE,SK-MEL-28,-4.01
RUXOLITINIB,CRIZOTINIB,BT-549,2.44
CELECOXIB,DASATINIB,U-251MG,2.28
CRIZOTINIB,AXITINIB,OVCAR-4,3.98
CRIZOTINIB,PACLITAXEL,MDA-MB-231,2.66
IMATINIB,LAPATINIB,SW620,-7.25
LENALIDOMIDE,SORAFENIB,SNB-75,-15.1
RALOXIFENE,VANDETANIB,SN12C,3.96
MEGESTROL ACETATE,THALIDOMIDE,SF268,-0.28
IMATINIB,FULVESTRANT,HT-29,-4.57
VISMODEGIB,SORAFENIB,SK-MEL-5,-43.82
MITOTANE,NILOTINIB,SR,-34.97
DOCETAXEL,THALIDOMIDE,SF539,-3.11
VEMURAFENIB,MITOTANE,NCI-H23,2.35
VEMURAFENIB,RUXOLITINIB,NCI-H522,4.67
PACLITAXEL,SUNITINIB,Caov-3,2.9725
CRIZOTINIB,PACLITAXEL,RPMI-8226,-20.82
SUNITINIB,FULVESTRANT,NCI-H23,-5.75
VEMURAFENIB,RUXOLITINIB,A-549,-7.98
CELECOXIB,TRETINOIN,SR,-2.02
ROMIDEPSIN,LAPATINIB,SK-OV-3,-4.18
VISMODEGIB,RUXOLITINIB,HDLM-2,-3.97
RALOXIFENE,GEFITINIB,SN12C,-5.64
DEXAMETHASONE,LAPATINIB,Caov-3,14.6825
FULVESTRANT,SORAFENIB,SK-MEL-5,-7.44
VANDETANIB,FULVESTRANT,SK-MEL-28,-3.5
RALOXIFENE,AXITINIB,COLO 205,2.48
DOCETAXEL,LAPATINIB,HT-29,20.6
ROMIDEPSIN,SUNITINIB,OVCAR-4,-39.64
RALOXIFENE,VANDETANIB,OVCAR-3,-2.3
ROMIDEPSIN,EVEROLIMUS,TC-71,-34.774
NILOTINIB,SUNITINIB,UACC-257,-4.73
RALOXIFENE,ABIRATERONE,Hs 578T,3.36
AXITINIB,TRETINOIN,A-549,2.09
VANDETANIB,MEGESTROL ACETATE,OVCAR-5,-18.56
