Drug A,Drug B,Cell Line Name,Score
ROMIDEPSIN,MITOTANE,SR,-61.34
IMATINIB,DOCETAXEL,BT-549,8.94
VISMODEGIB,CELECOXIB,NCI-H322M,-1.47
LUMACAFTOR,RUXOLITINIB,L-1236,-4.731
VISMODEGIB,TRETINOIN,UO-31,11.0
DOCETAXEL,MITOTANE,MDA-MB-231,0.49
SORAFENIB,MITOTANE,A-498,6.78
PACLITAXEL,THALIDOMIDE,UACC-257,-64.7
VISMODEGIB,MITOTANE,KM12,6.93
RUXOLITINIB,DASATINIB,HT-29,-16.1
SUNITINIB,MITOTANE,OVCAR-5,-1.97
THALIDOMIDE,ARSENIC TRIOXIDE,HT-29,-17.5
VEMURAFENIB,ROMIDEPSIN,HOP-92,-74.98
VISMODEGIB,LAPATINIB,NCI-H23,-2.97
AXITINIB,DASATINIB,OVCAR-4,-5.3
PACLITAXEL,SUNITINIB,A-427,4.19
VISMODEGIB,AXITINIB,SK-OV-3,5.46
CRIZOTINIB,PACLITAXEL,T-47D,-4.99
VISMODEGIB,AXITINIB,HT-29,-1.43
CELECOXIB,IMATINIB,Caki-1,-13.62
MITOTANE,ARSENIC TRIOXIDE,NCI-H226,-28.16
VEMURAFENIB,ABIRATERONE,HOP-62,-3.77
SUNITINIB,SORAFENIB,NCI-H2122,-11.535
NILOTINIB,DOCETAXEL,SF295,-4.12
DASATINIB,SUNITINIB,OVCAR-5,0.0
VANDETANIB,PACLITAXEL,SN12C,-1.67
SUNITINIB,LAPATINIB,SK-MES-1,8.0725
THALIDOMIDE,ARSENIC TRIOXIDE,NCI-H226,-20.45
ABIRATERONE,CELECOXIB,IGROV-1,3.32
RALOXIFENE,AXITINIB,IGROV-1,-0.18
RUXOLITINIB,SUNITINIB,OVCAR-5,-3.06
MEGESTROL ACETATE,ARSENIC TRIOXIDE,HT-29,-57.29
CRIZOTINIB,ROMIDEPSIN,SF268,-11.48
VANDETANIB,FULVESTRANT,NCI-H322M,-8.71
VEMURAFENIB,VEMURAFENIB,CCRF-CEM,3.63
DASATINIB,MITOTANE,BT-549,-0.48
AXITINIB,DOCETAXEL,COLO 205,-27.58
VISMODEGIB,LENALIDOMIDE,HT-29,-15.27
VISMODEGIB,CELECOXIB,OVCAR-3,-7.28
VISMODEGIB,SUNITINIB,SNB-75,-1.89
ABIRATERONE,DOCETAXEL,TK-10,10.19
LENALIDOMIDE,CRIZOTINIB,UO-31,-1.75
RALOXIFENE,IMATINIB,SK-MEL-2,-3.04
IMATINIB,DOCETAXEL,A-498,10.94
VANDETANIB,AXITINIB,SF539,4.86
RALOXIFENE,PACLITAXEL,A-498,-19.21
LEVOSIMENDAN,RUXOLITINIB,L-1236,-38.72
RALOXIFENE,THALIDOMIDE,T-47D,-0.96
VEMURAFENIB,CELECOXIB,786-O,3.67
NILOTINIB,FULVESTRANT,MDA-MB-468,-0.26
ABIRATERONE,VISMODEGIB,SF268,-35.44
AXITINIB,VISMODEGIB,SK-MEL-2,-1.68
SUNITINIB,FULVESTRANT,HCC2998,-1.55
LENALIDOMIDE,CRIZOTINIB,HCT 116,-24.94
VANDETANIB,SORAFENIB,A-498,-10.84
GEFITINIB,MITOTANE,UACC-62,-7.39
GEFITINIB,MITOTANE,SK-OV-3,-15.25
CRIZOTINIB,PACLITAXEL,HCC2998,-2.18
TRETINOIN,SORAFENIB,DU145,10.58
AXITINIB,FULVESTRANT,SK-MEL-5,-5.35
ABIRATERONE,DOCETAXEL,SNB-75,-13.15
CELECOXIB,LAPATINIB,SK-OV-3,-33.91
AXITINIB,SUNITINIB,BT-549,-0.81
NILOTINIB,DOCETAXEL,SK-OV-3,-0.25
PACLITAXEL,LAPATINIB,HCT 15,3.12
RUXOLITINIB,TRETINOIN,NCI-H460,-4.86
PACLITAXEL,LAPATINIB,PC-3,4.24
AXITINIB,DOCETAXEL,NCI-H322M,-18.72
AXITINIB,SUNITINIB,Caki-1,-1.63
LENALIDOMIDE,DASATINIB,SF539,0.71
MEGESTROL ACETATE,THALIDOMIDE,SR,3.43
VISMODEGIB,CELECOXIB,T-47D,6.11
IMATINIB,PACLITAXEL,SF539,-16.36
GEFITINIB,VEMURAFENIB,RPMI-8226,-3.38
VEMURAFENIB,ROMIDEPSIN,UACC-62,-9.11
GEFITINIB,CRIZOTINIB,TK-10,-1.43
GEFITINIB,FULVESTRANT,SN12C,-1.79
LENALIDOMIDE,MEGESTROL ACETATE,ACHN,-2.39
VISMODEGIB,LENALIDOMIDE,MOLT-4,-28.59
VANDETANIB,LAPATINIB,NCI-H460,8.27
RALOXIFENE,PACLITAXEL,A-549,-40.27
SORAFENIB,MITOTANE,SF539,5.53
NILOTINIB,SUNITINIB,SN12C,-15.83
THALIDOMIDE,ARSENIC TRIOXIDE,OVCAR-3,-39.23
LAPATINIB,SORAFENIB,SR,-3.3
VISMODEGIB,DOCETAXEL,OVCAR-5,6.13
LENALIDOMIDE,DASATINIB,OVCAR-4,-7.73
VEMURAFENIB,ARSENIC TRIOXIDE,RXF 393L,5.47
LENALIDOMIDE,LAPATINIB,OVCAR-3,-25.37
BARDOXOLONE METHYL,AV412,TC-71,-3.304
THALIDOMIDE,ARSENIC TRIOXIDE,BT-549,-15.44
LENALIDOMIDE,PACLITAXEL,MDA-MB-468,-33.52
VEMURAFENIB,CRIZOTINIB,DU145,-30.84
AXITINIB,ABIRATERONE,OVCAR-8,-1.35
ABIRATERONE,CRIZOTINIB,NCI-H226,-3.11
MITOTANE,FULVESTRANT,MDA-MB-468,3.46
VANDETANIB,RALOXIFENE,HCT 15,10.53
NILOTINIB,FULVESTRANT,NCI-H226,0.32
VANDETANIB,ABIRATERONE,M14,-2.55
AXITINIB,LENALIDOMIDE,OVCAR-3,-7.4
IMATINIB,ARSENIC TRIOXIDE,NCI-H322M,-0.22
LAPATINIB,SORAFENIB,SK-MEL-2,-7.21
VANDETANIB,FULVESTRANT,SR,5.18
IMATINIB,ROMIDEPSIN,BT-549,-80.89
RUXOLITINIB,RALOXIFENE,MDA-MB-468,5.73
ABIRATERONE,FULVESTRANT,HCT 15,-2.6
CELECOXIB,NILOTINIB,HOP-62,8.92
CRIZOTINIB,DASATINIB,LOX-IMVI,-2.06
CRIZOTINIB,VISMODEGIB,SW620,-64.69
VANDETANIB,LENALIDOMIDE,COLO 205,-13.61
AXITINIB,LAPATINIB,DU145,-8.5
PACLITAXEL,LAPATINIB,NCI-H520,-3.2325
SORAFENIB,THALIDOMIDE,T-47D,-5.56
LAPATINIB,FULVESTRANT,NCI-H23,-1.33
RALOXIFENE,CRIZOTINIB,SW620,-11.84
RUXOLITINIB,FULVESTRANT,COLO 205,-7.17
ROMIDEPSIN,LAPATINIB,SN12C,-2.9
ABIRATERONE,ARSENIC TRIOXIDE,LOX-IMVI,12.34
NILOTINIB,SUNITINIB,KM12,-10.11
VISMODEGIB,DOCETAXEL,OVCAR-8,10.68
DASATINIB,MITOTANE,UACC-257,-43.56
VEMURAFENIB,LAPATINIB,SF539,3.24
RALOXIFENE,FULVESTRANT,HCC2998,-0.24
NILOTINIB,ROMIDEPSIN,SF539,-29.02
VEMURAFENIB,SUNITINIB,HOP-62,-1.21
RUXOLITINIB,AXITINIB,SK-OV-3,1.41
MEGESTROL ACETATE,DASATINIB,M14,-11.24
AXITINIB,VISMODEGIB,COLO 205,-5.24
CELECOXIB,DOCETAXEL,UO-31,1.41
VISMODEGIB,NILOTINIB,NCI-H23,-0.4
ABIRATERONE,VISMODEGIB,SF295,-2.32
ABIRATERONE,THALIDOMIDE,HT-29,-34.89
RUXOLITINIB,LENALIDOMIDE,SN12C,-0.75
CRIZOTINIB,VANDETANIB,T-47D,-1.83
VISMODEGIB,NILOTINIB,MCF-7,5.14
RALOXIFENE,SORAFENIB,SF268,-6.51
ROMIDEPSIN,SUNITINIB,SF295,-51.14
TRETINOIN,SUNITINIB,HCT 116,-4.52
CRIZOTINIB,ROMIDEPSIN,RXF 393L,-51.0
VANDETANIB,SORAFENIB,NCI-H226,-8.03
MEGESTROL ACETATE,IMATINIB,U-251MG,1.72
METFORMIN,ERLOTINIB,A-427,-27.567500000000003
VISMODEGIB,PACLITAXEL,LOX-IMVI,26.13
VANDETANIB,CELECOXIB,SF295,-3.56
VANDETANIB,CRIZOTINIB,EKVX,-0.82
AXITINIB,TRETINOIN,SF268,-39.01
RALOXIFENE,ABIRATERONE,MCF-7,2.63
RUXOLITINIB,VANDETANIB,SK-MEL-28,1.49
ERLOTINIB,SORAFENIB,Caov-3,5.9275
TRETINOIN,DOCETAXEL,COLO 205,16.08
LENALIDOMIDE,SORAFENIB,HOP-62,3.03
DEXAMETHASONE,RUXOLITINIB,HDLM-2,12.168
AXITINIB,CRIZOTINIB,NCI-H23,-6.67
RUXOLITINIB,VANDETANIB,RXF 393L,-7.12
AXITINIB,LENALIDOMIDE,A-498,1.96
MEGESTROL ACETATE,TRETINOIN,OVCAR-5,-4.41
CRIZOTINIB,GEFITINIB,SNB-75,5.81
GEFITINIB,SORAFENIB,MCF-7,2.11
TRETINOIN,PACLITAXEL,CCRF-CEM,-15.74
ABIRATERONE,ROMIDEPSIN,M14,-36.76
SUNITINIB,ARSENIC TRIOXIDE,EKVX,-1.27
VEMURAFENIB,DOCETAXEL,NCI-H226,0.74
ABIRATERONE,VEMURAFENIB,HCT 116,-12.67
GEFITINIB,CELECOXIB,DU145,-9.56
VEMURAFENIB,PACLITAXEL,A-498,2.29
RUXOLITINIB,DASATINIB,HCT 116,-23.02
ABIRATERONE,LENALIDOMIDE,SN12C,-2.77
LENALIDOMIDE,FULVESTRANT,Hs 578T,-8.57
CRIZOTINIB,RALOXIFENE,SN12C,3.71
SUNITINIB,GELDANAMYCIN,RPMI-7951,66.3825
RUXOLITINIB,AXITINIB,MDA-MB-468,3.4
VISMODEGIB,ROMIDEPSIN,COLO 205,-77.11
DASATINIB,GELDANAMYCIN,Caov-3,-5.4025
CRIZOTINIB,PACLITAXEL,BT-549,-35.09
GEFITINIB,ARSENIC TRIOXIDE,MDA-MB-231,-31.57
ABIRATERONE,DASATINIB,SN12C,-17.12
AXITINIB,FULVESTRANT,K-562,1.18
CRIZOTINIB,DOCETAXEL,SR,0.07
DEXAMETHASONE,DASATINIB,RKO,-11.585
PACLITAXEL,DOCETAXEL,A-498,1.15
SUNITINIB,SORAFENIB,NCI-H1650,-13.9475
ROMIDEPSIN,FULVESTRANT,NCI-H322M,-1.84
GEFITINIB,VEMURAFENIB,K-562,-4.26
SUNITINIB,DASATINIB,NCI-H2122,6.61
LINSITINIB,LESTAURTINIB,TC-71,2.917
IMATINIB,ROMIDEPSIN,CCRF-CEM,-66.79
ABIRATERONE,FULVESTRANT,CCRF-CEM,-12.91
VANDETANIB,CELECOXIB,COLO 205,0.96
TRETINOIN,SUNITINIB,HOP-62,6.5
NILOTINIB,SUNITINIB,ACHN,-5.53
RUXOLITINIB,DASATINIB,TK-10,10.93
DEXAMETHASONE,SUNITINIB,NCI-H23,-22.6775
LENALIDOMIDE,SUNITINIB,Hs 578T,-2.04
TRETINOIN,MITOTANE,HCT 116,3.83
VEMURAFENIB,ARSENIC TRIOXIDE,HCT 15,-9.93
NILOTINIB,SORAFENIB,HOP-62,-5.34
RALOXIFENE,SORAFENIB,HOP-62,-7.31
MEGESTROL ACETATE,FULVESTRANT,SK-MEL-28,-22.74
VINBLASTINE,ERLOTINIB,SW620,-2.235
RALOXIFENE,VEMURAFENIB,OVCAR-5,-6.33
ABIRATERONE,DOCETAXEL,NCI-H322M,-25.39
RALOXIFENE,AXITINIB,A-498,5.56
GEFITINIB,MEGESTROL ACETATE,HCC2998,-5.44
NILOTINIB,DASATINIB,786-O,-6.62
RALOXIFENE,THALIDOMIDE,OVCAR-8,0.77
TRETINOIN,SUNITINIB,HCC2998,-3.4
NILOTINIB,ROMIDEPSIN,MDA-MB-231,-69.8
CYC116,RUXOLITINIB,L-1236,-116.62
CRIZOTINIB,VISMODEGIB,SK-MEL-2,-67.98
LENALIDOMIDE,DOCETAXEL,MOLT-4,-67.77
GEFITINIB,SUNITINIB,MDA-MB-231,-2.33
AXITINIB,DOCETAXEL,HT-29,-19.23
GEFITINIB,ARSENIC TRIOXIDE,UACC-62,-7.22
CELECOXIB,SUNITINIB,UACC-257,-5.46
ABIRATERONE,SUNITINIB,DU145,-3.69
CRIZOTINIB,IMATINIB,BT-549,-1.22
IMATINIB,PACLITAXEL,DU145,-27.26
VEMURAFENIB,AXITINIB,SK-MEL-2,8.36
VEMURAFENIB,ARSENIC TRIOXIDE,NCI-H322M,-4.22
LENALIDOMIDE,VEMURAFENIB,T-47D,-9.62
