symbol,786-O,A-375,A-427,A-498,A-549,A-673,A2058,A2780,ACHN,BT-549,CCRF-CEM,COLO 205,Caki-1,Caov-3,DU145,EKVX,HCC2998,HCT 116,HCT 15,HDLM-2,HOP-62,HOP-92,HT-144,HT-29,Hs 578T,Huh-7,IGROV-1,K-562,KM12,L-1236,L-428,LOX-IMVI,LoVo,M14,MCF-7,MDA-MB-231,MDA-MB-436,MDA-MB-468,MMAc-SF,MOLT-4,MZ-MEL-7,NCI-H1650,NCI-H2122,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H520,NCI-H522,OCUB-M,OV-90,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PA-1,PC-3,RD,RKO,RPMI-7951,RPMI-8226,RXF 393L,SF268,SF295,SF539,SK-MEL-2,SK-MEL-28,SK-MEL-30,SK-MEL-5,SK-MES-1,SK-OV-3,SN12C,SNB-75,SR,SW620,SW837,T-47D,T98G,TC-71,TK-10,U-251MG,UACC-257,UACC-62,UO-31,UWB1.289,VCaP,WM115
ABL1,0,-1,-1,0,-1,0,0,0,-1,1,0,1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,0,1,-1,1,0,0,-1,0,0,0,1,0,1,0,-1,0,-1,-1,1,-1,-1,1,-2,-1,-1,0,1,0,0,1,2,-1,1,0,-1,0,1,-1,-1,-1,0,-1,0,-1,1,0,-1,0,1,-1,0,1,1,-1,-1,-1,0,1,-1
ABL2,0,1,1,1,0,0,1,1,1,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,1,0,0,1,1,-1,2,0,-1,0,0,1,1,1,1,1,0,0,2,1,-1,0,-2,1,-2,-1,1,0,1,0,1,0,0,1,0,1,0,-1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0
ACAA1,0,0,0,-1,0,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,2,0,1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,1,-1,-1,-1,0,-1,-1,1,-1,1,0
ACACA,0,0,1,1,1,-2,0,0,1,-1,0,1,0,-1,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,1,1,0,0,-1,0,-1,-1,1,1,0,0,1,0,0,-1,1,2,1,1,1,-1,-1,1,-1,0,-1,0,0,-1,0,-1,1,1,0,1,0,-1,0,1,0,0,-1,0,0,0,1,0,-1,1,1,0,0,-1,-1,1,0
ACACB,-1,0,0,-1,0,0,0,0,1,-1,0,0,1,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,1,0,0,1,-1,-1,1,1,0,1,0,-1,-1,1,0,0,0,1,0,1,-1,1,0,-1,1,1,0,-1,0,1,0,1,0,1,-1,0,-1,-1,0,0,-1,0,0,1,0,0,1,-1,0,0,0,1,-1,2,0,0,2,0,1,1,1,0
ACADL,0,-1,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,1,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,1,0,0,1,0,-1,-1,0,0,0,0,1,1,-1,0,1,1,1,1,0,0,0,0,1,-1,-1,0,2,-1,1,1,-1,1,0,1,0,1,0,0,1,0,0,-1,0,1,0,-1,1,1,1,0,1,1,0,-1,0,0
ACADM,1,1,0,0,-1,0,0,0,0,1,0,-1,-1,2,-1,1,0,0,0,0,-1,1,-1,0,1,0,0,0,0,0,0,0,0,2,-1,1,1,1,0,0,0,1,-1,0,0,0,0,-1,1,1,0,0,1,0,1,-1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,0,-1,-1,1,0,1,1,1,-1,0,1,0,-1
ACOX1,0,-1,1,1,1,0,0,0,1,-1,0,1,1,0,0,1,0,1,0,-1,1,1,0,-1,-1,-1,0,0,-1,0,1,1,0,0,-1,0,-1,1,1,1,0,-1,0,0,0,-1,1,0,1,1,0,0,-1,1,1,0,1,1,1,-1,0,-1,1,1,-1,1,0,1,1,1,0,0,-1,0,1,0,1,0,1,1,1,-1,0,-1,0,1,-1
ACOX2,0,0,0,-1,-1,-2,0,0,0,0,0,-1,-1,1,-1,-1,0,0,0,-1,0,0,1,-1,1,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,0,0,1,0,1,-1,0,0,0,-1,-1,0,-1,1,0,-1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,0,1,0
ACOX3,0,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,1,-1,0,0,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,1,1,-2,-1,-1,-1,-1,1,-1,0,-1,0,0,0,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0
ACSBG1,-1,-1,-1,0,1,0,0,0,0,-1,0,1,-1,1,0,1,0,-1,0,0,-1,-1,0,1,-1,1,0,0,0,1,-1,-1,1,2,1,-1,-2,-1,1,0,1,0,1,1,0,1,1,-1,-1,1,0,-1,-1,1,-1,0,-1,-1,1,1,0,0,-1,0,1,-1,0,1,0,1,0,-1,-1,0,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,0
ACSBG2,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,1,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,0,1,0,0,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-2,-1,-1,-1,-1,1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,0,-1,0,1,-1,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1
ACSL1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-2,-2,0,0,-2,0,0,0,-1,-1,-1,-1,-2,0,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,1,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
ACSL3,0,-1,0,-1,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,1,1,0,1,-1,-1,-1,-1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,-1,1,-1,0,0,2,0,1,-1,-1,1,0,-1,0,1,0,0,1,0,0,-1,0,0,0,-1,1,1,1,0,1,1,-1,-1,0,0
ACSL5,0,0,0,0,0,0,0,0,1,-2,0,0,0,1,0,0,0,2,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,0,1,-1,-1,0,0,0,0,-1,0,1,1,-1,1,-1,0,1,2,0,-1,2,-1,1,0,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1
ACSL6,0,-1,1,1,0,-1,0,0,0,1,0,1,1,1,-1,-1,0,-1,0,0,1,0,0,0,-1,-1,0,0,0,0,-1,1,1,0,1,0,-1,0,1,0,0,0,1,0,1,0,1,1,1,-1,0,1,1,1,0,-1,-1,0,0,-1,0,0,-1,1,1,1,0,1,0,0,-1,0,0,1,0,1,0,1,-1,1,1,-1,-1,-1,-1,0,0
ACTA2,0,0,0,-1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,-1,0,-1,0,0,0,1,0,0,0,1,-1,1,-1,-1,1,0,0,0,0,-1,1,0,-1,-1,1,-1,-1,-2,0,-1,0,-1,-1,-1,0,-1,0,1,0,1,-1,0,-1,0,-1,-1,-1,-1,0,-1
ACTB,1,0,1,1,0,0,1,0,1,1,0,-1,0,-1,0,1,1,0,0,-1,0,1,0,1,1,0,1,0,0,1,1,0,1,-1,1,0,2,1,1,-2,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,0,1,1,0,1,1,2,1,1,1,1,0,-1,1,1,-1,0,1,1,1,0,1,1,0,1,2,0,1,1,-1,0,1
ACTG1,0,-1,1,0,1,0,0,0,1,-1,0,1,1,2,0,1,0,1,0,-1,1,1,0,-1,-1,-1,0,0,-1,-1,1,1,0,0,-1,0,-1,-1,1,1,0,-1,0,0,0,-1,1,0,1,1,0,-1,1,1,-1,0,1,1,1,-1,0,-1,1,1,1,1,0,1,2,1,2,0,-1,0,1,0,1,0,1,1,1,-1,0,-1,0,1,-1
ACVR1,0,-1,0,1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,-1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,-1,1,0,1,-1,0,1,0,-1,0,-1,-1,0,0,-1,0,1,0,-1,0,0,1,0,0,1,0,2,0,0
ACVR1B,-1,0,1,-1,0,0,0,0,1,-1,0,0,1,-1,0,-1,0,-1,0,-1,-1,0,0,0,-1,1,0,0,0,1,1,1,1,0,1,-1,-1,-1,1,0,0,0,-1,1,1,0,1,0,-1,1,1,0,0,0,-1,0,1,0,1,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,1,-1,0,1,0,1,-1,1,0,-1,-1,0,1,1,1,0
ACVR1C,0,-1,0,1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,-1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,-1,1,0,1,-1,0,1,0,-1,0,-1,-1,0,0,-1,0,1,0,-1,0,0,1,0,1,1,0,2,0,0
ACVR2A,0,-1,0,1,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,-1,0,1,0,-1,0,-1,-2,0,0,-1,0,0,0,-1,0,1,1,0,1,1,0,1,0,0
