src,dest,conv_bind_weight
18,1241,0.32186383
18,1242,0.6394081
18,1243,0.2620752
18,1822,1.3057553
19,1241,0.447345
19,1242,0.58017546
19,1243,0.27964056
19,1822,0.19088651
20,23,0.43076664
20,177,0.4171122
20,798,0.45954373
20,1158,0.79697144
20,1160,0.312361
20,1161,1.0936029
20,1162,1.0486588
20,1163,0.9340359
20,1165,0.28770295
20,1261,0.65566623
20,1765,0.71340966
20,1766,0.7125516
20,1767,0.41200694
20,1769,0.52564967
20,1772,0.86640906
21,1766,0.21040928
21,1767,0.8708613
22,1766,0.3686998
22,1767,0.76335514
23,1766,0.81946945
23,1767,0.71149683
24,1766,0.546965
24,1767,0.07058758
25,1292,0.35023972
25,1293,0.3440233
25,1294,1.14745
25,1295,0.73994255
26,1516,0.32650417
26,1517,0.83511066
26,1518,0.82468665
28,1516,0.36418203
28,1517,0.051440865
28,1518,0.29296878
29,1516,0.47907597
29,1517,1.1867592
29,1518,0.56740344
30,1516,0.25397316
30,1517,1.1215799
30,1518,0.6551027
31,1516,0.66106385
31,1517,0.8621487
31,1518,0.18387237
32,1516,0.45931926
32,1517,0.6212659
32,1518,0.7727262
33,1516,0.39048177
33,1517,0.8147024
33,1518,0.61306596
34,1516,0.6944288
34,1517,0.58191615
34,1518,1.1007478
35,1516,0.6826543
35,1517,0.5761626
35,1518,0.20686136
36,37,0.5912514
36,43,0.28941718
36,52,0.53729296
36,497,0.55089724
36,499,0.5779416
36,652,0.7003603
36,698,0.34103745
36,703,0.95038927
36,832,0.9425777
36,834,0.7947394
36,1089,0.56382245
36,1182,0.36210036
36,1301,0.5516273
36,1553,0.5161735
36,1945,0.32854038
36,1973,0.63898003
37,715,0.27419516
39,40,0.9105841
39,41,0.8174789
40,223,0.9624866
40,1462,0.6394608
40,1821,1.0730958
41,223,0.25560495
41,1462,0.65666616
41,1821,0.77001065
42,709,0.060654588
42,710,0.39386088
42,711,0.8162461
43,712,0.8816078
43,714,0.627279
43,715,0.664665
44,712,1.0312521
44,714,0.6295183
44,715,0.9764557
45,709,1.0401158
45,710,0.5548987
45,711,0.21218723
46,704,0.20358327
46,705,0.9385699
46,706,0.4053988
46,707,0.49475235
46,708,0.4860767
46,714,0.40612847
46,1512,0.06439475
46,1513,0.4151417
46,1514,0.40001553
46,1515,0.72373354
46,1519,0.2719599
46,1520,0.49490228
46,1521,1.0144846
46,1941,0.78248143
47,704,0.5999559
47,705,0.28098384
47,706,0.4167816
47,707,0.8579391
47,708,0.39530322
47,714,0.84947187
47,1941,0.5436148
48,704,0.5949395
48,705,0.57834417
48,706,0.61475694
48,707,0.9590546
48,708,0.4828011
48,714,0.43697798
48,1941,1.1412449
49,704,0.47880912
49,705,0.9812321
49,706,0.36308086
49,714,0.5388284
49,1941,0.91703904
50,704,0.5250699
50,705,0.21117887
50,706,1.0914717
50,714,1.1201316
50,1941,0.9781766
51,704,0.3646624
51,705,0.71762246
51,706,0.5422537
51,714,0.9666103
51,1941,0.5225255
52,709,1.0846345
52,710,0.4613034
52,711,0.14103141
52,712,0.67729986
52,715,0.8668146
53,709,0.08443216
53,710,1.2218313
53,711,0.6545474
53,712,0.95089555
53,715,0.5964216
54,709,0.27547643
54,710,0.8230499
54,711,0.964909
54,712,0.44296366
54,715,0.36364755
55,424,1.1911081
55,1744,0.96667266
57,1396,0.2412797
57,1397,0.23393919
57,1398,0.6922285
57,1400,0.5516541
57,1401,0.5288578
57,1402,0.5005052
58,482,0.4870634
58,987,0.7965439
58,1297,0.76809114
58,1396,0.2130698
58,1397,0.7926545
58,1398,0.094671555
58,1400,0.6002268
58,1401,0.30850127
58,1402,0.04784825
58,1435,0.9528223
58,1436,0.5279633
58,1437,1.0496957
58,1438,0.9345986
58,1439,1.241409
58,1440,0.10005888
58,1441,0.46260333
58,1442,0.70825994
58,1443,0.41055208
58,1444,0.22249396
58,1527,0.5045566
60,61,0.2304133
60,141,1.2017167
60,142,1.2777336
60,445,0.65968627
60,446,0.5941169
60,583,0.6226963
60,761,0.49283484
60,762,0.9746477
60,763,1.0907041
60,764,0.46132463
60,765,0.3512824
60,766,0.34425408
60,767,0.58397603
60,768,0.8772364
60,1107,0.38866946
60,1108,0.5998843
60,1109,0.46207398
60,1110,1.1205485
60,1111,0.6168166
60,1555,0.45420006
61,704,1.3219287
61,705,0.618472
61,706,1.1906948
61,707,0.9468786
61,708,0.934264
61,714,0.9951031
61,715,0.96003824
61,1435,0.2374664
61,1436,0.31174523
61,1437,0.25459325
61,1438,0.602616
61,1713,1.0311577
61,1868,1.3760858
61,1869,0.6049774
61,1870,0.30068713
61,1941,0.87826794
63,1569,0.92516804
64,1069,1.1085882
64,1070,0.5584591
64,1703,0.3241211
65,66,0.5941161
65,104,0.62431675
65,105,0.41320425
65,106,0.8478834
65,146,1.065095
65,153,1.0166868
65,183,0.59281915
65,242,1.0351028
65,329,0.8189299
65,330,0.3295005
65,349,1.2281857
65,384,0.7518687
65,385,0.4305966
65,386,0.79402685
65,387,0.6519909
65,388,0.41816038
65,389,0.42753455
65,390,0.53744817
65,643,0.9061311
65,644,0.4899361
65,770,0.833243
65,771,0.3060314
65,876,0.569476
65,1137,0.6537306
65,1150,0.10895328
65,1153,1.6653903
65,1158,0.32369655
65,1165,0.65227795
65,1184,0.3885632
65,1231,1.1670716
65,1268,0.66597474
65,1270,0.71516377
65,1271,0.58028436
65,1272,1.1723623
65,1289,1.2205237
65,1290,1.1321925
65,1291,0.6592729
65,1308,1.1314976
65,1352,0.47004628
65,1370,0.7194845
65,1471,0.9610722
65,1472,0.19369265
65,1473,0.15237337
65,1478,0.815447
65,1479,0.2711764
65,1480,0.74242085
65,1481,0.49646738
65,1482,0.609874
65,1586,0.17420283
65,1631,1.2336674
65,1757,0.43374813
65,1842,0.71563447
65,1843,0.57450354
65,1942,0.79482496
65,1943,0.934889
66,551,0.25375494
66,1231,0.68659914
66,1464,0.1986613
66,1668,1.5154679
66,1669,0.1636057
66,1670,1.0352682
66,1954,0.60871685
67,66,0.23609382
67,104,0.75093764
67,105,0.4092579
67,106,0.53088456
67,146,0.37934145
67,153,0.47612685
67,183,0.3089877
67,242,0.76772195
67,329,0.49898833
67,330,0.4475719
67,349,0.53559136
67,384,0.35216707
67,385,0.60765547
67,386,0.73142606
67,387,1.2134633
67,388,1.123144
67,389,0.19364667
67,390,1.0554087
67,643,0.5859963
67,644,1.0808029
67,770,0.95262474
67,771,0.91509825
67,876,0.4522808
67,1137,0.29845646
67,1150,1.0090444
67,1153,0.42219064
67,1158,0.38130754
67,1165,0.7860831
67,1184,0.7615913
67,1231,0.4593721
67,1268,0.3860906
67,1270,0.69515926
67,1271,1.0086471
67,1272,0.29220417
67,1289,1.1834176
67,1290,0.87004745
67,1291,0.56454927
67,1308,0.38992095
67,1352,0.20662984
67,1370,0.71498716
67,1471,0.62830025
67,1472,0.27530026
67,1473,0.581781
67,1478,0.94722617
67,1479,0.2175616
67,1480,0.8796532
67,1481,0.507883
67,1482,0.32521093
67,1586,0.47371104
67,1631,0.82172644
67,1757,0.4615876
67,1842,0.5835049
67,1843,0.47432387
67,1942,0.45501262
67,1943,0.470498
68,66,0.68919224
68,104,0.99916285
68,105,0.26416433
68,106,0.550603
68,146,0.38574424
68,153,0.284349
68,183,0.6046628
68,242,1.028743
68,329,0.2959382
68,330,0.9419429
68,349,0.7382649
68,384,0.4423371
68,385,0.8960175
68,386,0.62989813
68,387,0.7099712
68,388,0.60304606
68,389,0.62369275
68,390,0.87526226
68,643,0.96155155
68,644,0.58084846
68,770,0.59324217
68,771,0.5622076
68,876,0.3872863
68,1137,0.43183434
68,1150,0.64814365
68,1153,0.35871017
68,1158,0.48558718
68,1165,0.9620402
68,1184,0.43830618
68,1231,0.60005075
68,1268,1.1133687
68,1270,0.18764874
68,1271,0.93099236
68,1272,0.27858752
68,1289,1.0971376
68,1290,0.6439456
68,1291,1.3415748
68,1308,0.93796796
68,1352,0.5924612
68,1370,0.56589186
68,1471,0.6911876
68,1472,0.5155735
68,1473,0.8811093
68,1478,0.5063209
68,1479,0.6549775
68,1480,0.717357
68,1481,0.5502089
68,1482,0.13904667
68,1586,0.7324707
68,1631,0.26053584
68,1757,0.7293161
68,1842,0.23330438
68,1843,0.58482116
68,1942,1.0721066
68,1943,0.5383402
72,73,0.8312701
72,175,0.5834869
72,176,0.7983587
72,177,0.54829913
74,895,0.93155605
74,897,0.56162643
74,1906,0.7772024
74,1935,0.68935287
75,396,0.26925415
75,538,0.4687684
75,564,0.3386636
75,567,0.45006758
75,568,0.5711973
75,569,0.86956865
75,622,0.2548387
