Drug,Target
menadione,F2
pravastatin,HMGCR
valsartan,AGTR1
ramipril,BDKRB1
pentagastrin,CCKBR
betaxolol,ADRB1
betaxolol,ADRB2
troglitazone,PPARG
troglitazone,SERPINE1
troglitazone,PPARD
troglitazone,PPARA
Dofetilide,KCNJ12
reserpine,BIRC5
ADAPALENE,RXRG
ADAPALENE,RXRB
ADAPALENE,RARA
ADAPALENE,RXRA
ADAPALENE,PTGS2
citalopram,HRH1
citalopram,ADRA1A
citalopram,CHRM1
lovastatin,HMGCR
lovastatin,ITGAL
lovastatin,HDAC2
milrinone,PDE3A
Cladribine,RRM2
Cladribine,RRM2B
Ziprasidone,DRD2
Ziprasidone,HTR2A
Ziprasidone,DRD1
Ziprasidone,DRD5
Ziprasidone,HTR1A
Ziprasidone,HTR1B
Ziprasidone,HTR1D
Ziprasidone,HTR1E
Ziprasidone,HTR6
Ziprasidone,HTR7
Ziprasidone,HRH1
Ziprasidone,ADRA1A
Ziprasidone,ADRA1B
Ziprasidone,ADRA2A
Ziprasidone,ADRA2B
Ziprasidone,ADRA2C
Ziprasidone,CHRM1
Ziprasidone,CHRM2
Ziprasidone,CHRM3
Ziprasidone,CHRM5
diethylstilbestrol,ESR1
diethylstilbestrol,ESR2
diethylstilbestrol,ESRRB
diethylstilbestrol,NCOA2
anagrelide,PDE3A
isradipine,CACNA1C
isradipine,CACNA2D1
isradipine,CACNB2
isradipine,CACNA2D2
isradipine,CACNA1D
isradipine,CACNA1S
Olmesartan,AGTR1
theophylline,ADORA1
theophylline,ADORA2A
theophylline,ADORA2B
theophylline,PDE4B
theophylline,PDE4A
theophylline,PDE3A
theophylline,HDAC2
argatroban,F2
lidocaine,EGFR
Etomidate,ADRA2B
Bexarotene,RXRA
Bexarotene,RXRB
Bexarotene,RXRG
zolmitriptan,HTR1B
zolmitriptan,HTR1D
zolmitriptan,HTR1F
zolmitriptan,HTR1A
acetaminophen,PTGS2
Gefitinib,EGFR
indomethacin,PTGS2
indomethacin,PLA2G2A
indomethacin,PPARG
indomethacin,PPARA
metformin,PRKAB1
olanzapine,HTR2A
olanzapine,DRD2
olanzapine,DRD1
olanzapine,DRD5
olanzapine,HTR1A
olanzapine,HTR1B
olanzapine,HTR1D
olanzapine,HTR1E
olanzapine,HTR6
olanzapine,HTR7
olanzapine,HRH1
olanzapine,ADRA1A
olanzapine,ADRA1B
olanzapine,ADRA2A
olanzapine,ADRA2B
olanzapine,ADRA2C
olanzapine,CHRM1
olanzapine,CHRM2
olanzapine,CHRM3
olanzapine,CHRM5
olanzapine,HTR2B
olanzapine,HTR5A
olanzapine,DRD1
olanzapine,DRD5
olanzapine,HRH2
olanzapine,ADRB1
olanzapine,ADRB2
olanzapine,ADRB3
cetirizine,HRH1
terfenadine,HRH1
terfenadine,CHRM3
terfenadine,CHRM1
terfenadine,CHRM5
terfenadine,CHRM2
alfuzosin,ADRA1A
alfuzosin,ADRA1B
alfuzosin,ADRA1D
MEGESTROL ACETATE,PGR
chlorzoxazone,KCNMA1
clozapine,DRD2
clozapine,HTR2A
clozapine,DRD1
clozapine,HTR1A
clozapine,HTR1B
clozapine,HTR1D
clozapine,HTR1E
clozapine,HTR6
clozapine,HTR7
clozapine,HRH1
clozapine,ADRA1A
clozapine,ADRA1B
clozapine,ADRA2A
clozapine,ADRA2B
clozapine,ADRA2C
clozapine,CHRM1
clozapine,CHRM2
clozapine,CHRM3
clozapine,CHRM5
Levonorgestrel,PGR
Levonorgestrel,ESR1
norepinephrine,ADRA1A
norepinephrine,ADRA1B
norepinephrine,ADRA1D
norepinephrine,ADRA2A
norepinephrine,ADRA2B
norepinephrine,ADRA2C
norepinephrine,ADRB1
norepinephrine,ADRB2
norepinephrine,ADRB3
mirtazapine,HTR2A
mirtazapine,ADRA2A
mirtazapine,HRH1
mirtazapine,ADRA2C
mirtazapine,HTR7
mirtazapine,ADRA1A
mirtazapine,ADRA1B
mirtazapine,ADRA1D
mirtazapine,DRD2
mirtazapine,HTR2B
mirtazapine,DRD1
mirtazapine,DRD5
mirtazapine,ADRA1A
mirtazapine,ADRB1
mirtazapine,ADRB2
dydrogesterone,PGR
amlodipine,CACNA1C
amlodipine,CACNA2D1
amlodipine,CACNB2
amlodipine,CACNA1D
amlodipine,CACNA1S
amlodipine,CACNA2D3
phenylephrine,ADRA1A
phenylephrine,ADRA1B
phenylephrine,ADRA1D
sulpiride,DRD2
nimodipine,CACNA1C
nimodipine,CACNA1D
nimodipine,CACNA1S
nimodipine,CACNB1
nimodipine,CACNB2
