Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
paclitaxel,Sunitinib,ACHN,ALMANAC,5.6714095358599,-10.382942199707031
raloxifene,Vismodegib,HT29,ALMANAC,-4.76255196765668,-14.018488883972168
Axitinib,Vandetanib,UACC-257,ALMANAC,3.66313041087705,-2.020684003829956
Vismodegib,Axitinib,NCI-H522,ALMANAC,0.575967253941316,-7.052324295043945
Nilotinib,Enzastaurin,SK-MEL-5,FRIEDMAN,-12.0132089345431,-14.053890228271484
Nilotinib,Cediranib,UACC62,FRIEDMAN,5.43540834419154,-3.619386911392212
Ruxolitinib,Vandetanib,UO-31,ALMANAC,1.89336396504734,-5.684430122375488
Imatinib,Romidepsin,UACC62,ALMANAC,-64.2987925756874,-37.25912857055664
Enzastaurin,Lestaurtinib,SKMEL30,FRIEDMAN,15.9817503490381,-5.0725417137146
Lenalidomide,Imatinib,SR,ALMANAC,-0.0584721758068966,-7.792715549468994
Romidepsin,Lapatinib,CAKI-1,ALMANAC,-37.8453572333546,-39.97849655151367
Enzastaurin,Vorinostat,COLO 800,FRIEDMAN,-68.9718756362875,5.660137176513672
Sunitinib,Sorafenib,TK-10,ALMANAC,-4.50862415923759,2.1059298515319824
Fingolimod,Crizotinib,COLO 829,FRIEDMAN,3.15940200797445,-6.2406415939331055
Vandetanib,Axitinib,NCI-H522,ALMANAC,3.75236740868467,-3.4530725479125977
Vismodegib,Cediranib,UACC-257,FRIEDMAN,-0.603524612703718,-2.6459641456604004
MEGESTROL ACETATE,Vorinostat,SF-539,ALMANAC,-50.8363631911546,-15.934654235839844
Gefitinib,Enzastaurin,T-47D,ASTRAZENECA,-0.758807793678774,-11.682710647583008
Axitinib,Nilotinib,SK-MEL-28,ALMANAC,1.25240382594266,-3.406414031982422
Crizotinib,Abiraterone,SF-268,ALMANAC,7.1831444691674,-1.560757398605347
Sorafenib,Palbociclib,LB2518-MEL,FRIEDMAN,-19.2636792950819,-1.601640701293945
Nilotinib,Tideglusib,COLO 800,FRIEDMAN,11.5697331598029,-4.237663269042969
Erlotinib,Lenalidomide,MeWo,FRIEDMAN,1.47352382616359,-4.596423625946045
VX-702,Vatalanib,WM115,FRIEDMAN,0.684090522697142,-2.7043590545654297
Sunitinib,Midostaurin,A2058,FRIEDMAN,0.349315538926308,-4.336024761199951
Linsitinib,Erlotinib,Mel Ho,FRIEDMAN,-0.316731257312025,-3.2335729598999023
Vemurafenib,Sorafenib,UO-31,ALMANAC,2.42988200069625,-8.156536102294922
Dasatinib,mitotane,NCI-H460,ALMANAC,-0.484210537476801,-6.239686965942383
Lenalidomide,thalidomide,RXF 393,ALMANAC,-1.34398407245947,-4.343802452087402
vinblastine,Vorinostat,NCIH520,ONEIL,-3.15887949932979,-14.55480670928955
Romidepsin,Fulvestrant,SF-295,ALMANAC,-32.5470329370273,-30.816255569458008
Vatalanib,Erlotinib,RVH-421,FRIEDMAN,6.78302352558366,-1.8506510257720947
Lenalidomide,Vorinostat,A549,ALMANAC,7.65214812700771,-9.257122039794922
Axitinib,Lenalidomide,ACHN,ALMANAC,-5.68033021519985,-3.1641182899475098
Vemurafenib,Dasatinib,PC-3,ALMANAC,-14.0110886868556,-7.832599639892578
vinblastine,geldanamycin,UACC62,ONEIL,-14.564555056626377,-3.967720031738281
Ruxolitinib,Erlotinib,SKMEL30,FRIEDMAN,12.5130070585648,-4.133810043334961
