Drug A,Drug B,Cell Line Name,Score,Pred Score
CRIZOTINIB,MITOTANE,NCI-H226,-47.36,-13.582147598266602
VANDETANIB,NILOTINIB,OVCAR-3,-13.44,-5.573380470275879
AXITINIB,MEGESTROL ACETATE,K-562,-53.37,-6.873627662658691
RUXOLITINIB,THALIDOMIDE,MCF-7,3.07,-8.008670806884766
LENALIDOMIDE,VEMURAFENIB,Caki-1,-1.84,-17.874853134155273
LENALIDOMIDE,CELECOXIB,CCRF-CEM,-4.72,-5.457602500915527
VISMODEGIB,TRETINOIN,UACC-62,0.1,-2.387740135192871
VEMURAFENIB,MITOTANE,SN12C,5.54,-3.786353349685669
VISMODEGIB,IMATINIB,SF295,-2.14,-3.34495496749878
VANDETANIB,VEMURAFENIB,SF268,-0.25,-7.1677093505859375
DASATINIB,MITOTANE,RPMI-8226,-11.24,-10.849037170410156
LENALIDOMIDE,CRIZOTINIB,SR,-20.43,-15.074030876159668
VEMURAFENIB,VISMODEGIB,T-47D,-4.64,-13.81403923034668
ROMIDEPSIN,ARSENIC TRIOXIDE,HOP-92,-4.96,-9.74232006072998
PACLITAXEL,ARSENIC TRIOXIDE,SF539,-3.99,-4.719170570373535
CRIZOTINIB,DOCETAXEL,HCT 116,1.98,-9.486719131469728
DASATINIB,LAPATINIB,K-562,-0.16,-7.819621086120605
MEGESTROL ACETATE,NILOTINIB,TK-10,-11.47,-8.732892990112305
TRETINOIN,DOCETAXEL,UACC-62,10.92,-10.4532470703125
VEMURAFENIB,RUXOLITINIB,IGROV-1,-9.76,-6.048523426055908
DASATINIB,SORAFENIB,A-498,-27.04,-10.32588005065918
CELECOXIB,PACLITAXEL,MDA-MB-468,8.81,-16.68683433532715
TRETINOIN,MITOTANE,EKVX,-0.97,8.675107955932617
VISMODEGIB,VEMURAFENIB,ACHN,-36.5,-4.429861068725586
NILOTINIB,ROMIDEPSIN,DU145,-63.14,-41.24750900268555
CRIZOTINIB,SORAFENIB,SK-OV-3,-9.93,-2.8519158363342285
LAPATINIB,ARSENIC TRIOXIDE,CCRF-CEM,-11.85,-10.774954795837402
VEMURAFENIB,MEGESTROL ACETATE,Caki-1,-12.97,-4.312016487121582
GEFITINIB,RUXOLITINIB,L-1236,-8.32,-12.724613189697266
CELECOXIB,DOCETAXEL,SF295,3.56,-12.529611587524414
CRIZOTINIB,AXITINIB,T-47D,1.68,-7.695423126220703
DOCETAXEL,SUNITINIB,T-47D,4.9,-4.73077392578125
RUXOLITINIB,MITOTANE,UO-31,-3.54,-10.171873092651367
VEMURAFENIB,LAPATINIB,M14,-7.2,-8.109302520751953
CRIZOTINIB,GEFITINIB,NCI-H226,7.89,-6.297508239746094
CELECOXIB,THALIDOMIDE,SF295,-1.4,-6.001636505126953
PACLITAXEL,THALIDOMIDE,NCI-H460,-53.21,-9.10637378692627
LAPATINIB,SUNITINIB,SK-MEL-28,-25.57,-2.2746469974517822
GEFITINIB,TRETINOIN,NCI-H23,1.52,-4.172774314880371
PACLITAXEL,ARSENIC TRIOXIDE,SK-OV-3,-1.47,-1.965357780456543
VISMODEGIB,ARSENIC TRIOXIDE,NCI-H460,10.26,-3.4615700244903564
RALOXIFENE,THALIDOMIDE,MCF-7,-0.54,75.00062561035156
LENALIDOMIDE,ARSENIC TRIOXIDE,SK-MEL-2,-18.4,-16.856998443603516
IMATINIB,MITOTANE,UACC-257,-37.12,-3.08261775970459
VANDETANIB,MEGESTROL ACETATE,SR,2.06,-3.979095458984375
