Actual,Predicted
-6.27,-1.652
0.82,2.28
-57.05,-59.46999999999999
-11.7,-10.651
-1.21,-2.942
-47.93,-8.187999999999999
-3.21,-5.316000000000001
-2.84,-6.088
7.02,0.8739999999999999
10.1,-0.808
-6.79,-9.358
-1.82,-2.9179999999999997
-9.92,-9.224
-2.22,-8.536
-7.19,-8.190000000000001
-29.44,-1.2840000000000003
-0.66,-0.946
-9.62,0.6199999999999999
0.82,5.0705
4.92,-6.460000000000001
-33.024,-33.03
3.605,1.9969999999999999
-1.35,-2.048
5.5325,1.864
5.08,1.5300000000000002
-46.51,-46.509
0.25,-5.654
-10.51,-2.7920000000000003
10.03,-0.8619999999999998
-10.24,-5.462
0.13,-17.217999999999996
-7.48,-2.8280000000000003
-12.14,-6.691999999999998
3.97,-3.7445
-5.22,-8.398
5.18,-2.738
17.47,1.4975
4.22,-9.144
-13.59,-10.188
-1.54,-1.61
-13.03,-1.8739999999999999
2.04,-6.25
-4.94,-25.78
-6.16,-12.052
-3.29,0.9880000000000002
-9.68,-48.81
-5.05,-1.972
-3.42,-9.908
1.42,-0.1919999999999998
3.53,-2.9539999999999997
-5.82,-6.132
-3.24,-6.138
-32.79,-4.7
-6.0,-7.246
-3.9,-3.4500000000000006
2.09,2.884
7.79,-2.8379999999999996
-0.12,1.486
-7.85,-5.85
-10.25,-4.345999999999999
-21.54,-15.106
9.17,-0.5580000000000003
-0.36,-9.937999999999999
6.4025,5.562999999999999
-8.65,1.732
-7.42,-5.64
-1.08,-0.714
-2.55,-6.95
-4.59,-4.782
11.27,2.866
-6.42,-16.9186
-8.67,-11.354
-13.75,-12.52
11.71,10.512
2.95,-2.6720000000000006
4.39,-2.504
0.83,-1.214
-45.58,-21.636000000000003
1.17,-6.3
0.62,-6.058
-2.39,6.232000000000001
6.48,-0.20000000000000018
0.14,2.6789
-9.37,-6.511
-9.59,-7.010000000000001
-7.05,-6.290000000000001
-0.89,4.064
-8.1975,-32.6445
-3.09,-0.7380000000000001
-5.66,0.7960000000000002
-12.65,-56.65
0.54,-9.268
-11.88,-59.09000000000001
-73.53,-9.459
-16.06,-16.369999999999997
-12.07,-6.731999999999999
-0.12,-4.632
-14.68,-10.458
14.03,9.242
-30.92,-8.02
-5.41,-16.186
4.5225,1.6099999999999999
-10.25,2.2039999999999997
-3.09,-15.010000000000002
-6.2,-10.551499999999999
-5.5,-9.863999999999999
-45.68,-20.172
-1.47,0.11600000000000019
-8.56,-4.796
-5.0,-8.370000000000001
5.15,-19.772
-3.7,-7.159999999999999
-1.06,-5.1899999999999995
-3.59,-2.4579999999999997
5.13,-11.918
-3.2,-3.728
-2.09,-2.59
-24.72,-4.414
-32.123,-32.12
6.49,5.008
-2.34,-1.5260000000000002
-37.47,-53.70399999999999
-8.12,-10.856
-6.57,-17.556
-11.9,-18.316266666666667
-0.85,2.632
-4.34,-2.066
7.54,-7.854000000000001
-2.34,-2.468
-0.66,-1.638
-1.91,-8.934500000000002
-36.38,-30.847999999999995
-2.52,0.13999999999999999
-3.12,1.78
-3.18,-12.255999999999998
-1.13,-0.648
-4.61,-12.29
-1.32,0.866
3.5,-5.504
8.41,-3.9300000000000006
-22.798,-4.5663
-31.28,-24.457999999999995
-1.43,5.8740000000000006
-13.38,-2.5020000000000002
-11.28,-31.704
2.04,3.628
-39.875,-12.48
4.26,1.112
1.13,-7.768000000000001
-29.32,-23.7615
8.7,3.816
9.52,4.898
6.24,-0.08499999999999996
6.06,2.492
-6.43,-16.302
0.17,-0.14400000000000013
-5.47,-2.5820000000000003
-26.235,-20.953400000000002
3.27,-0.7
6.07,-7.346000000000001
-0.52,3.6879999999999997
-3.89,-8.354000000000001
-4.86,-8.088
0.29,-1.9879999999999995
-4.57,2.014
-67.77,-17.692
1.1716666666666669,-0.9872
-18.372,-6.760499999999999
-13.09,-6.854000000000001
-12.53,-38.642
-35.42,-18.706000000000003
-2.09,-3.4579999999999997
-51.42,-39.262
-26.11,-44.306
8.81,10.924
-18.99,-1.6560000000000006
6.87,4.328
-35.13,2.5734999999999992
3.5,3.4159999999999995
-26.79,-3.3259999999999996
-69.43,-67.25
-10.85,-6.056
-28.24,-20.286
8.59,13.148000000000001
24.097,-1.6039999999999999
-3.32,3.8299999999999996
-4.1475,-9.4465
-6.13,-1.238
-6.98,-4.172
1.67,0.04800000000000004
1.11,-1.864
1.91,11.616
-2.36,-41.718
-6.29,-6.62
-1.82,-12.546
-31.23,-20.544
-55.3475,-40.8575
-3.73,-4.614
-4.39,-4.819999999999999
-9.8,-11.456
-2.56,-2.5260000000000007
-7.79,-18.504
3.12,2.16
-35.65,-56.914
6.44,-2.2700000000000005
-10.88,-10.833
2.34,0.626
-1.66,-8.063999999999998
5.34,-0.4700000000000001
2.12,-4.182
-41.42,-51.024
-45.26,-7.048
-5.05,-9.184000000000001
-30.8075,-18.235999999999997
-31.816,-30.624249999999996
16.37,6.706
-10.72,-10.748000000000001
