Drug A,Drug B,Cell Line Name,Score
Lapatinib,Dasatinib,HCT116,-13.812973987503693
metformin,Lapatinib,MDAMB436,-14.6311710829416
dexamethasone,Sunitinib,UACC62,-15.020937907067507
Sunitinib,geldanamycin,NCI-H460,5.61896917638109
vinblastine,Vorinostat,MDAMB436,0.1461877509898399
Erlotinib,Dasatinib,MDAMB436,3.59745169898486
paclitaxel,Sorafenib,A2058,-6.72144892291601
Lapatinib,geldanamycin,PA1,4.304204520484877
vinblastine,Lapatinib,SK-OV-3,3.37898618824583
Sunitinib,geldanamycin,MDAMB436,3.939818822274421
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381
Dasatinib,geldanamycin,CAOV3,-5.39913759737588
Lapatinib,Sorafenib,RPMI7951,-2.204579993178592
Lapatinib,Sorafenib,NCIH1650,8.829561804598438
Dasatinib,Sorafenib,UWB1289,6.01696699102072
Vorinostat,geldanamycin,SKMEL30,-6.376202369524528
Vorinostat,geldanamycin,OCUBM,-6.50906463316165
metformin,geldanamycin,VCAP,-60.92137282626391
paclitaxel,Erlotinib,UWB1289,1.99934019108803
Sunitinib,Erlotinib,HT144,2.188685633501576
Erlotinib,geldanamycin,SKMEL30,4.07090957771029
Dasatinib,geldanamycin,OVCAR3,0.5211206139658471
Erlotinib,Dasatinib,UWB1289,12.5580583918003
Erlotinib,geldanamycin,CAOV3,3.320229681965675
vinblastine,Lapatinib,UACC62,-0.4381862293696001
paclitaxel,Dasatinib,NCIH23,0.1752112379752922
geldanamycin,Sorafenib,A375,4.123908949931413
Sunitinib,Lapatinib,SW-620,-14.2382866820043
Dasatinib,Sorafenib,A2058,12.966325580978296
paclitaxel,Vorinostat,T-47D,7.692941411907634
metformin,Vorinostat,HCT116,-62.9031214125763
paclitaxel,Sorafenib,SW837,-5.800670766453999
dexamethasone,Sorafenib,OCUBM,-11.705366535732304
Lapatinib,Erlotinib,MDAMB436,-4.786538605318405
metformin,Erlotinib,A375,-82.4887013651952
Vorinostat,Sorafenib,NCIH2122,-8.251107402184557
dexamethasone,Sorafenib,SKMES1,1.61677665352485
metformin,Lapatinib,HT29,-11.916211326129387
metformin,Sunitinib,CAOV3,-45.634880019414
Vorinostat,Dasatinib,UACC62,-0.568998602339841
dexamethasone,Sunitinib,NCIH520,-12.147399114840605
metformin,Sorafenib,SK-OV-3,-27.4476544011683
paclitaxel,Lapatinib,RKO,-2.306526469902426
Vorinostat,Dasatinib,UWB1289,-0.4835459876036119
dexamethasone,Sunitinib,LOVO,-8.39479061793487
metformin,Sorafenib,HT144,-46.862925671502296
Lapatinib,Sorafenib,SW-620,0.3837795244341289
Sunitinib,geldanamycin,CAOV3,7.184930267876617
Vorinostat,Erlotinib,A375,2.8348518495029404
Sunitinib,geldanamycin,NCIH2122,-9.859535687586003
vinblastine,Vorinostat,OCUBM,-6.00025755794808
Vorinostat,geldanamycin,NCIH520,-4.764629840066975
Vorinostat,Sorafenib,A2780,-2.377061578670744
vinblastine,Sunitinib,NCIH1650,-2.0585753436264698
geldanamycin,Sorafenib,OV90,1.1848602197973823
Lapatinib,Erlotinib,SK-OV-3,4.97603191479674
vinblastine,Lapatinib,OCUBM,4.27399441028646
metformin,Sorafenib,A375,-46.2372447228831
metformin,geldanamycin,MDAMB436,-31.4759298257721
metformin,Erlotinib,OVCAR3,-50.1674018945849
Vorinostat,Dasatinib,HT29,0.9601515747159592
geldanamycin,Sorafenib,MDAMB436,-11.864177458483407
Sunitinib,Sorafenib,HT29,-0.538262620928304
paclitaxel,Sunitinib,MDAMB436,-0.6920482116816997
paclitaxel,Dasatinib,NCIH520,-1.5184696160120892
vinblastine,Vorinostat,PA1,-3.0836644409391925
Dasatinib,Sorafenib,A375,11.316750179392892
vinblastine,Dasatinib,A2780,-11.183106529127476
Lapatinib,geldanamycin,UACC62,3.59102041590596
paclitaxel,Erlotinib,UACC62,4.55602013063716
Erlotinib,Dasatinib,SW-620,11.579228393987275
paclitaxel,Vorinostat,OV90,2.3067635611900137
Sunitinib,Erlotinib,A2780,10.480393919522983
vinblastine,Vorinostat,HT29,-2.698100773809443
Erlotinib,geldanamycin,MDAMB436,3.776985072333982
dexamethasone,Sorafenib,VCAP,-11.773766374328297
Dasatinib,geldanamycin,SW837,8.681027307740193
vinblastine,Sunitinib,VCAP,-1.1091988250418725
Sunitinib,geldanamycin,SKMES1,4.484288991501213
Sunitinib,geldanamycin,SW837,0.0548896546292299
vinblastine,Sunitinib,HCT116,0.1118559290339978
Lapatinib,Sorafenib,SKMEL30,3.9797293996962297
metformin,Vorinostat,RPMI7951,-22.42608065327665
paclitaxel,Sorafenib,OV90,7.37064384347005
paclitaxel,Sunitinib,SKMEL30,-0.2642143205483515
vinblastine,Dasatinib,OV90,5.344594984386832
vinblastine,Lapatinib,T-47D,-1.2497809936708242
Sunitinib,Sorafenib,T-47D,13.71198107208239
paclitaxel,geldanamycin,PA1,0.5045482395984724
Vorinostat,Sorafenib,A375,2.86709961553106
Erlotinib,geldanamycin,OV90,0.4423212163888063
Lapatinib,Dasatinib,RPMI7951,-3.724573545179619
Vorinostat,geldanamycin,A2780,0.2570808252882703
metformin,Vorinostat,RKO,-70.65073406723695
dexamethasone,Vorinostat,NCI-H460,-33.9587360563784
Erlotinib,Dasatinib,HT29,9.2088386022025
geldanamycin,Sorafenib,CAOV3,1.3318185914773402
dexamethasone,Dasatinib,UWB1289,-9.176001953270983
dexamethasone,Lapatinib,VCAP,-10.497767159210698
paclitaxel,Vorinostat,PA1,-0.4402086584014632
paclitaxel,Vorinostat,LOVO,2.1560784090827942
Vorinostat,Sunitinib,OV90,-27.1636490162131
metformin,Dasatinib,NCI-H460,-0.670930828719279
metformin,Vorinostat,HT29,-22.794043146736
Lapatinib,geldanamycin,HT29,0.8105828534072201
vinblastine,Sorafenib,VCAP,1.2287673509824204
Dasatinib,geldanamycin,NCIH23,-0.6435038581465955
Erlotinib,Sorafenib,UWB1289,8.474782023793379
Vorinostat,geldanamycin,A427,-9.601847091024196
paclitaxel,Sorafenib,VCAP,-1.6610011043127195
vinblastine,Dasatinib,PA1,-0.1091636509260827
vinblastine,Sorafenib,A2058,7.570838092245207
metformin,Dasatinib,SKMEL30,-7.211196994815285
vinblastine,Erlotinib,HCT116,9.090654061652296
paclitaxel,Dasatinib,SKMEL30,-26.6651088566214
paclitaxel,Dasatinib,VCAP,-17.309192174305
Vorinostat,Erlotinib,NCIH1650,4.14054171285972
Lapatinib,Dasatinib,SK-OV-3,4.097668935846943
vinblastine,Sorafenib,NCIH23,-0.29408409265346
metformin,Erlotinib,LOVO,-35.8165916579592
Lapatinib,Erlotinib,PA1,10.898098675545494
Lapatinib,Erlotinib,NCI-H460,-1.6552655274048038
dexamethasone,Dasatinib,HT144,1.6729502580778592
dexamethasone,Vorinostat,NCIH2122,-6.42491227706334
dexamethasone,Vorinostat,MDAMB436,-15.4752611754195
Vorinostat,Sunitinib,NCIH520,-0.6907348474047925
dexamethasone,Dasatinib,RPMI7951,-21.3629045873375
paclitaxel,geldanamycin,OV90,4.219145585451182
Vorinostat,geldanamycin,NCIH1650,-3.019531285218114
Vorinostat,Erlotinib,MDAMB436,4.25311060075082
Dasatinib,geldanamycin,NCI-H460,-15.0412339008878
metformin,Lapatinib,LOVO,-8.237627320974727
Vorinostat,geldanamycin,NCIH2122,-1.0683487237199796
paclitaxel,geldanamycin,SW837,-1.7174251595272625
vinblastine,Sorafenib,NCI-H460,4.069163600073605
metformin,Sorafenib,RPMI7951,-10.162041561092582
vinblastine,Sunitinib,NCIH23,-5.97248436581227
Vorinostat,Sunitinib,UWB1289,6.120538767403939
metformin,Sorafenib,OV90,-0.8028238008287005
metformin,Vorinostat,HT144,-23.6042929930625
Sunitinib,Sorafenib,NCI-H460,-0.1777753404752198
metformin,Lapatinib,HCT116,-5.785469568057495
Vorinostat,Lapatinib,HT144,-0.0556983764780604
