symbol,A2058,A2780,A375,A427,CAOV3,HCT116,HT144,HT29,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,NCIH520,OCUBM,OV90,OVCAR3,PA1,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,UWB1289,VCAP
ABL1,0,0,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,1,-2,-1,0,2,-1,0,-1,-1,-1,0,1,-1,0,1
ABL2,1,1,1,1,-1,0,0,0,0,0,1,0,-1,0,1,1,0,0,0,-2,-1,0,1,1,0,0,1,1,1,0
ACAA1,0,0,0,0,-1,0,1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,0,-1,1,-1,-1,1
ACACA,0,0,0,1,-1,0,0,1,0,-1,1,0,1,0,2,1,1,-1,0,0,-1,0,-1,1,0,0,1,0,-1,1
ACACB,0,0,0,0,-1,0,0,0,1,-1,1,0,1,1,0,1,1,0,0,1,-1,0,0,0,0,0,1,0,1,1
ACADL,0,-1,-1,0,-1,0,0,0,0,-1,1,1,1,0,1,0,0,0,-1,-1,1,0,0,1,1,0,-1,1,-1,0
ACADM,0,0,1,0,2,0,-1,0,0,1,0,1,-1,0,-1,1,0,0,-1,0,1,-1,1,1,0,-1,-1,-1,1,0
ACOX1,0,0,-1,1,0,1,0,-1,0,-1,1,-1,0,0,0,1,0,0,0,1,-1,0,1,1,1,0,1,0,0,1
ACOX2,0,0,0,0,1,0,1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,0,1
ACOX3,0,0,-1,-1,-1,-1,-1,-1,0,1,-2,-1,-1,1,-1,-1,-1,1,0,1,-1,-1,-1,1,-1,1,-1,-1,1,0
ACSBG1,0,0,-1,-1,1,-1,0,1,1,-2,1,0,1,0,-1,1,0,-1,0,1,1,0,1,1,0,0,-1,-1,-1,1
ACSBG2,0,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,-2,-1,1,1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,-1,-1
ACSL1,0,0,0,-1,-2,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,1
ACSL3,0,0,-1,0,-1,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-1,1,-1,0
ACSL5,0,0,0,0,1,2,-1,0,0,1,1,0,0,0,-1,-1,0,1,2,0,-1,0,0,-1,0,0,-1,-1,-1,0
ACSL6,0,0,-1,1,1,-1,0,0,1,-1,1,0,1,1,1,-1,0,1,-1,0,-1,-1,1,0,0,1,0,-1,-1,0
ACTA2,0,0,0,0,1,0,-1,0,0,-1,1,0,1,0,-1,-1,-1,1,0,0,-1,-1,0,-1,1,0,1,-1,-1,0
ACTB,1,0,0,1,-1,0,0,1,1,2,1,1,1,1,-1,1,-1,-1,0,0,1,-1,-1,1,1,0,1,1,-1,0
ACTG1,0,0,-1,1,2,1,0,-1,0,-1,1,-1,0,0,0,1,0,-1,0,1,-1,2,1,1,1,0,1,0,0,1
ACVR1,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-1,1,0,0,-1,1,0,-1,1,2,0
ACVR1B,0,0,0,1,-1,-1,0,0,1,-1,1,0,-1,1,0,1,1,0,0,1,-1,0,0,-1,1,0,1,0,1,1
ACVR1C,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-1,1,0,0,-1,1,0,-1,1,2,0
ACVR2A,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,-2,0,0,-1,1,1,0
ACVR2B,0,0,0,0,-1,0,1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,0,-1,0,-1,-1,1
ADAM17,0,0,0,1,-1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,2,-1,0,-1,0,0,-1,1,1,0
ADCY1,1,0,0,1,1,0,1,1,1,-1,1,1,1,1,0,1,-1,-1,0,0,1,-1,-1,1,2,0,1,2,1,1
ADCY10,1,1,1,1,-1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,-1,0,1,1,0,0,1,1,1,0
ADCY2,1,0,0,2,2,0,1,1,1,1,1,1,1,1,0,1,-1,0,0,0,-1,0,0,1,1,0,1,1,1,1
ADCY3,0,0,-1,1,0,0,0,0,0,1,1,0,1,1,-1,1,1,1,0,0,1,-1,0,-1,1,0,-1,1,1,0
ADCY4,0,0,-1,0,0,0,0,-1,0,1,1,-1,1,1,-1,-1,0,0,0,0,-1,0,-1,0,0,0,-1,0,1,0
ADCY5,0,0,-1,1,2,0,1,1,0,1,-1,0,-1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0
ADCY6,0,0,0,1,1,-1,0,0,1,-1,1,0,-1,1,0,1,1,0,0,0,-1,2,0,-1,1,0,1,0,1,1
ADCY7,0,0,-1,0,-1,0,0,-1,0,-1,1,1,-1,0,1,-1,0,-1,0,0,0,1,-1,0,1,0,-1,-1,-1,-1
ADCY8,1,0,0,0,0,2,0,2,0,1,-1,1,1,2,2,2,1,-1,0,2,1,1,0,-1,-1,0,1,1,2,1
ADCY9,0,0,-1,0,-1,0,1,-1,0,-1,1,0,-1,-1,1,-1,1,-1,0,1,-1,0,-1,0,-1,0,0,-1,-1,-1
ADCYAP1,0,0,-1,1,1,0,-1,1,0,-1,0,0,-1,1,-1,-1,1,1,0,1,-1,0,-1,1,0,-1,-1,-1,2,1
ADCYAP1R1,1,0,0,1,2,0,1,1,1,0,1,1,1,1,-1,1,-1,0,0,0,1,-1,-1,1,1,0,1,1,-1,0
ADGRB1,1,0,-1,1,-1,1,0,1,0,1,-1,1,0,2,1,2,1,-1,0,2,0,0,0,0,-1,0,1,0,2,1
ADIPOQ,1,0,-1,2,2,0,1,0,0,-1,-1,0,0,1,2,1,0,1,0,0,1,0,1,1,1,0,2,1,2,0
ADIPOR1,1,1,1,0,-1,-1,0,-1,0,0,1,0,1,0,0,0,0,-1,0,1,-1,-1,1,1,-1,0,1,0,-1,0
ADIPOR2,0,0,0,2,2,0,0,0,1,1,1,0,-1,1,1,1,1,-1,0,1,-1,-1,0,-1,1,-1,0,0,-1,1
ADORA1,1,1,1,0,-1,-1,0,-1,0,0,1,0,1,0,0,0,0,-1,0,1,-1,-1,1,1,-1,0,1,0,-1,0
ADORA2A,0,0,-1,-1,2,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,1,1,0,0,-1,0,0,-1,-1,1,-1,1,0,0
ADORA2B,0,0,0,0,-1,0,0,-1,0,0,1,0,1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,0,-1,-1,1,-1,0
ADORA3,0,0,0,-1,0,0,-1,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,1,0,1,1,0,-1,-1,1,1,0
ADRA1A,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,0,-1,0,0,-1,0,-1,-1,0,-1,-1
ADRA1B,0,0,-1,1,2,-1,0,0,1,0,1,0,1,1,1,-1,0,1,0,0,-1,0,1,-1,0,1,1,-1,1,-1
ADRA1D,0,0,0,0,1,-2,-1,0,0,-1,1,0,1,0,-1,1,1,-1,0,1,1,0,1,-1,1,-1,0,0,1,1
ADRA2A,0,0,0,0,1,1,-1,0,0,1,1,0,0,0,-1,-1,0,1,0,0,-1,0,0,-1,0,0,-1,-1,-1,0
ADRA2B,0,0,-1,0,1,0,0,0,0,1,1,0,1,1,0,-1,-1,0,0,1,1,0,0,-1,0,0,-1,0,1,0
ADRA2C,0,0,-1,-1,2,-1,-1,-1,0,1,-2,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,0,0,-1,1,0
ADRB1,0,0,0,0,1,2,-1,0,0,1,1,0,0,-1,-1,-1,0,1,0,1,-1,0,0,-1,0,0,-1,-1,-1,0
ADRB2,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,-1,0,1,0,1,-1,0,1,0,0,1,1,-1,-1,0
ADRB3,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,1,-1,2,1,-1,1,0,0,-1,0,0,-1,0,2,1,0,0,1
AFDN,0,-1,-1,0,-1,0,-1,0,0,-1,-1,0,-1,0,1,-2,0,-1,2,0,1,0,-1,1,-1,0,-1,-1,-1,0
AFP,0,0,-1,0,-1,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,0,0,-1,-1,0,-1,1,0,0,-1,-1,-1,2
AGAP2,0,0,0,1,-1,-1,0,0,1,-1,1,0,1,1,-1,1,1,1,0,1,-1,0,0,-1,0,0,1,0,0,1
AGER,1,0,-1,0,0,-2,0,-1,0,-1,-1,-1,-2,0,-1,1,0,-1,0,0,-1,0,1,-1,0,-1,0,-1,-1,0
AGRP,0,0,0,0,-1,0,0,0,0,-1,1,1,-1,0,1,-1,0,1,0,1,0,2,-1,1,2,0,0,-1,-1,-1
AGT,1,1,1,-1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,-1,0,1,1,0,0,1,1,1,0
AGTR1,1,0,1,2,1,0,1,1,0,-1,0,0,0,1,2,-1,0,2,0,0,1,1,1,1,0,0,1,1,1,0
AIFM2,-1,0,-1,0,1,-1,-1,-1,0,1,1,-1,0,0,1,-1,0,0,0,1,-1,0,0,-1,1,0,-1,-1,1,0
AIM2,1,1,1,1,-1,0,0,0,0,1,1,0,1,1,1,1,-1,0,0,-1,-1,0,1,1,0,0,1,0,1,0
AJUBA,0,0,-1,0,0,0,0,-1,0,1,1,-1,1,1,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,1,0
AKT1,2,2,-1,2,2,2,1,-1,2,1,2,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1
AKT1S1,0,0,0,0,-1,-1,0,1,0,-1,-1,1,1,-1,-1,0,1,0,0,0,0,0,-1,1,-1,0,-1,0,0,1
AKT2,0,0,0,0,1,-1,0,1,0,-1,-1,1,1,-1,0,1,1,2,0,0,0,0,-1,-1,-1,0,-1,0,0,1
AKT3,1,1,2,-1,1,0,1,0,0,1,1,0,1,0,1,-1,0,0,0,-1,-1,0,1,1,0,0,0,1,1,0
ALDOA,0,0,-1,0,1,0,0,-1,0,-1,1,0,-1,-1,1,0,0,-1,0,0,-1,0,-1,1,0,0,0,-1,1,-1
ALDOB,0,0,1,-1,-1,0,0,0,0,-1,1,1,-1,0,-1,1,0,-1,0,1,1,1,-1,-1,0,0,-1,-1,0,0
ALDOC,0,0,-1,0,-1,0,0,0,0,-1,1,0,1,0,1,1,1,1,0,0,-1,0,0,-1,0,0,1,0,-1,1
AMH,-2,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-1,1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
AMHR2,0,0,0,1,1,-1,0,0,1,-1,1,0,1,1,0,1,1,0,0,-1,-1,0,0,-1,1,0,1,0,1,1
ANAPC5,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,-1,0,1,-1,0,0,1,0,0,1,0,1,1
ANGPT1,1,0,1,-1,0,2,0,1,0,-1,0,2,-1,1,2,1,0,0,0,1,1,1,0,0,1,0,2,1,1,1
ANGPT2,0,0,-1,0,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-2,-1,0,0,-1,0,0,-1,0,-1,-1,0,-2,-1
ANGPT4,0,0,-1,0,1,0,-1,0,0,0,1,0,1,0,-1,1,1,-1,2,1,1,0,1,-1,1,-1,0,0,0,1
