Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
Vatalanib,Pioglitazone,UACC-257,FRIEDMAN,-1.24763099974921,-1.7246670722961426
Lestaurtinib,Linsitinib,RPMI7951,FRIEDMAN,-18.3596440451736,-0.7279548645019531
Romidepsin,Lapatinib,T-47D,ALMANAC,-33.1239857400473,-37.136016845703125
Vemurafenib,Sunitinib,UO-31,ALMANAC,2.53639809293939,-1.4728240966796875
Vismodegib,Erlotinib,COLO 792,FRIEDMAN,-5.34836570502546,-0.8668112754821777
Ruxolitinib,Imatinib,UACC62,ALMANAC,-7.08818443049842,-8.022375106811523
Abiraterone,raloxifene,IGROV1,ALMANAC,-4.82351552730086,2.2008590698242188
Ruxolitinib,Axitinib,SN12C,ALMANAC,-1.73588239984917,-3.465038537979126
Nilotinib,Pioglitazone,MeWo,FRIEDMAN,-8.99917850711853,-11.627845764160156
Vandetanib,Crizotinib,786-0,ALMANAC,-1.18991114546778,-0.330723762512207
Fulvestrant,Sorafenib,MDA-MB-231,ALMANAC,2.65571229611472,-7.088232517242432
vinblastine,Sorafenib,A2780,ONEIL,4.338369925074482,3.2930076122283936
Dasatinib,geldanamycin,RPMI7951,ONEIL,-0.3887710448227697,2.198494434356689
Imatinib,Fulvestrant,SN12C,ALMANAC,-3.21680728227897,-2.492109775543213
Abiraterone,Sorafenib,NCI-H226,ALMANAC,-10.3442831235297,-5.523350715637207
raloxifene,Lenalidomide,SK-MEL-5,ALMANAC,3.34168889787017,-7.129533767700195
Fingolimod,Crizotinib,SK-MEL-5,FRIEDMAN,-5.91642645602158,-12.28972053527832
Nilotinib,mitotane,MDA-MB-468,ALMANAC,2.75517896114404,-4.0364990234375
Lestaurtinib,Midostaurin,UACC62,FRIEDMAN,-12.0937100039059,-8.325496673583984
Lenalidomide,SNS-032,A375,FRIEDMAN,-3.60219336139636,-15.089798927307127
Crizotinib,raloxifene,MCF7,ALMANAC,10.1321928625797,12.128093719482422
MEGESTROL ACETATE,Fulvestrant,K-562,ALMANAC,-4.99207054071392,-3.868430376052856
MEGESTROL ACETATE,Vemurafenib,HOP-92,ALMANAC,-9.56481118609292,-10.544782638549805
MEGESTROL ACETATE,mitotane,SF-539,ALMANAC,-3.11357336169905,0.8333091735839844
Gefitinib,Sunitinib,RPMI-8226,ALMANAC,6.76318196189672,-2.813821315765381
Abiraterone,Vemurafenib,BT-549,ALMANAC,-0.454246358138563,-2.031192779541016
Fingolimod,Cediranib,WT2-iPS,FRIEDMAN,-13.0745594724457,-6.702125549316406
Ruxolitinib,Palbociclib,UACC-257,FRIEDMAN,13.6931257715842,0.6612844467163086
Abiraterone,MEGESTROL ACETATE,SW-620,ALMANAC,-6.26792690294474,-7.136560440063477
metformin,Dasatinib,NCIH2122,ONEIL,-34.48768519828235,-19.817886352539062
Axitinib,Sorafenib,HOP-92,ALMANAC,-12.7243755974588,-3.5646777153015137
Sunitinib,Cediranib,G-361,FRIEDMAN,-6.5263413538703,-12.000495910644531
Imatinib,mitotane,SF-295,ALMANAC,0.808630882689279,-5.923374176025391
Nilotinib,Palbociclib,A375,FRIEDMAN,-7.49136158701149,-8.547290802001953
Gefitinib,MEGESTROL ACETATE,SK-MEL-5,ALMANAC,-34.2151259362689,-10.543466567993164
Gefitinib,Vemurafenib,SK-OV-3,ALMANAC,-9.69525351589588,-9.899922370910645
Vandetanib,Lapatinib,A498,ALMANAC,-6.62243899123703,-0.8057622909545898
Crizotinib,Vandetanib,NCI-H322M,ALMANAC,-14.2432354632034,-3.358203887939453
Vorinostat,Lapatinib,A375,ONEIL,-10.739322929783883,0.2271184921264648
metformin,Sorafenib,OCUBM,ONEIL,-20.7592210135025,-19.478073120117188
raloxifene,Nilotinib,UO-31,ALMANAC,1.44250342205316,-3.5065488815307617
SNS-032,Pioglitazone,MZ-MEL-2,FRIEDMAN,8.41219310197186,-9.065178871154783
Crizotinib,Tanespimycin,A375,FRIEDMAN,-18.0994475986521,-6.427811145782471
Ruxolitinib,Gefitinib,HS 578T,ALMANAC,1.75418055571227,-2.8562769889831543
celecoxib,Dasatinib,U251,ALMANAC,2.26287384238852,-4.756755828857422
Lapatinib,Tanespimycin,COLO 800,FRIEDMAN,-15.2075913210371,-5.138927459716797
ondansetron,Ruxolitinib,L-1236,NCATS_HL,-15.1780986513519,-16.182373046875
Ruxolitinib,Abiraterone,HCT-15,ALMANAC,-1.87225773277833,-5.413007736206055
Romidepsin,Vorinostat,TK-10,ALMANAC,-19.6897453691466,-12.380325317382812
Axitinib,Vorinostat,MCF7,ALMANAC,-0.215349626945053,-3.7410426139831534
paclitaxel,Dasatinib,U251,ALMANAC,7.23787804433036,-8.220949172973633
Vismodegib,Imatinib,NCI-H226,ALMANAC,-0.790555102856174,-7.7526655197143555
Linsitinib,Lenalidomide,IPC-298,FRIEDMAN,-8.84200611716976,-12.19227695465088
Lenalidomide,MEGESTROL ACETATE,U251,ALMANAC,-2.41961721643837,0.5600085258483887
Pazopanib,Nilotinib,COLO 829,FRIEDMAN,-22.0172861681957,-5.176754951477051
Fulvestrant,Sorafenib,OVCAR-5,ALMANAC,-9.92379550769087,-10.558746337890623
