Drug A,Drug B,Cell Line Name,Study Name,Score
Dasatinib,Lenalidomide,A2058,FRIEDMAN,-10.4421941416379
alfuzosin,Ruxolitinib,L-1236,NCATS_HL,-20.415937842574
Ruxolitinib,Nilotinib,OVCAR-5,ALMANAC,-7.68362417458673
Lestaurtinib,Midostaurin,LOX IMVI,FRIEDMAN,-41.2216846057537
Tideglusib,Lapatinib,UACC-257,FRIEDMAN,4.79864898330136
Tolvaptan,Ruxolitinib,L-1236,NCATS_HL,-32.0370930046522
Linsitinib,Lapatinib,SK-MEL-28,FRIEDMAN,12.9935109358931
Crizotinib,Dasatinib,A101D,FRIEDMAN,-30.6447286216216
celecoxib,Dasatinib,OVCAR-4,ALMANAC,-1.50354104374073
Abiraterone,MEGESTROL ACETATE,SK-OV-3,ALMANAC,-4.26460031196013
mitotane,thalidomide,NCIH23,ALMANAC,-6.38504845900417
Ruxolitinib,Axitinib,MDA-MB-231,ALMANAC,-7.12422334674708
Lapatinib,Sorafenib,RPMI-8226,ALMANAC,-13.5536998315198
raloxifene,Vorinostat,OVCAR3,ALMANAC,-4.55888290533162
paclitaxel,Lapatinib,M14,ALMANAC,-6.75232109042226
paclitaxel,Dasatinib,EKVX,ALMANAC,-2.46814384883699
Dasatinib,mitotane,ACHN,ALMANAC,-15.6634750273414
Lestaurtinib,Sunitinib,SK-MEL-28,FRIEDMAN,-15.1312085451397
Lenalidomide,paclitaxel,SK-MEL-28,ALMANAC,-28.701426665276
Vismodegib,Fulvestrant,DU-145,ALMANAC,3.72082811782698
Vandetanib,Fulvestrant,M14,ALMANAC,1.9063950775947
Vismodegib,Imatinib,786-0,ALMANAC,-4.27685908501249
Linsitinib,Lapatinib,451Lu,FRIEDMAN,-12.0718754405752
Sunitinib,Lapatinib,LOVO,ONEIL,9.06213659212517
Sunitinib,Fulvestrant,UO-31,ALMANAC,0.218929563308117
celecoxib,mitotane,T-47D,ALMANAC,-1.00525088583301
Erlotinib,Dasatinib,MeWo,FRIEDMAN,13.6192061689873
Vemurafenib,MEGESTROL ACETATE,HCC-2998,ALMANAC,-10.2777534768671
Vismodegib,mitotane,A549,ALMANAC,-2.07305947106928
Linsitinib,Lapatinib,A101D,FRIEDMAN,-2.55235448313782
Vemurafenib,thalidomide,COLO 205,ALMANAC,-20.5803141003491
Vandetanib,celecoxib,NCI-H460,ALMANAC,-9.51984892004568
Lapatinib,Erlotinib,CAOV3,ONEIL,4.54734483862441
Vorinostat,Cediranib,Mel Ho,FRIEDMAN,6.30230180508677
Romidepsin,Fulvestrant,K-562,ALMANAC,-57.3143481111111
paclitaxel,Dasatinib,UACC62,ALMANAC,-0.15164661638559
mitotane,thalidomide,K-562,ALMANAC,-7.895926814476
Imatinib,Nilotinib,CAKI-1,ALMANAC,-2.62494670489677
Pazopanib,Tideglusib,WM115,FRIEDMAN,-6.39816157929754
Sorafenib,Lenalidomide,SK-MEL-5,FRIEDMAN,0.727658304513107
Sorafenib,thalidomide,LOX IMVI,ALMANAC,-4.91607682927375
Vandetanib,Sorafenib,SK-OV-3,ALMANAC,-16.4414496439087
Bexarotene,Tanespimycin,RVH-421,FRIEDMAN,-34.2179341569251
mitotane,Fulvestrant,MDA-MB-468,ALMANAC,3.45659936548068
Navitoclax,Sunitinib,WM115,FRIEDMAN,18.4854957312447
Sunitinib,Palbociclib,COLO 792,FRIEDMAN,-1.94499347376707
Vemurafenib,Dasatinib,OVCAR-5,ALMANAC,-6.26028435280159
Axitinib,Nilotinib,CAKI-1,ALMANAC,1.94014952846204
Sorafenib,Cediranib,G-361,FRIEDMAN,-22.3018709788366
Vemurafenib,Vemurafenib,SNB-75,ALMANAC,2.22618747295144
Lestaurtinib,Sunitinib,Mel Ho,FRIEDMAN,1.1915853114573
Lapatinib,thalidomide,OVCAR3,ALMANAC,-5.16590399643504
Pazopanib,Vismodegib,WT2-iPS,FRIEDMAN,-7.93554553982811
vinblastine,Vorinostat,SW-620,ONEIL,-7.940842049461227
Ruxolitinib,Sunitinib,NCIH23,ALMANAC,-3.52818526036687
Vemurafenib,mitotane,UO-31,ALMANAC,4.89052308353212
Vorinostat,Sunitinib,OCUBM,ONEIL,-1.8239337240231763
Vatalanib,Lenalidomide,RVH-421,FRIEDMAN,-8.51854031711709
raloxifene,Abiraterone,SF-539,ALMANAC,0.223224642735056
Crizotinib,Lapatinib,ACHN,ALMANAC,0.502295284510136
Lestaurtinib,Bexarotene,A101D,FRIEDMAN,-11.2374087938664
Sorafenib,SNS-032,COLO 829,FRIEDMAN,-14.7500177200712
vinblastine,Sunitinib,A2058,ONEIL,2.63157412115867
Abiraterone,raloxifene,OVCAR-5,ALMANAC,4.41128824504849
raloxifene,MEGESTROL ACETATE,UACC-257,ALMANAC,-2.64795588531004
Enzastaurin,Fingolimod,SKMEL30,FRIEDMAN,-53.5612387520528
Fingolimod,Dasatinib,RVH-421,FRIEDMAN,-4.91063181234252
Erlotinib,SNS-032,MZ-MEL-2,FRIEDMAN,-6.31829699729001
Vismodegib,Vemurafenib,UO-31,ALMANAC,1.06233622150143
Vandetanib,Vemurafenib,LOX IMVI,ALMANAC,5.36076392609526
Crizotinib,MEGESTROL ACETATE,SF-268,ALMANAC,-9.66588250402445
Ruxolitinib,Sunitinib,RPMI-8226,ALMANAC,-6.84877751217965
Dasatinib,Lenalidomide,UACC-257,FRIEDMAN,-18.0909624325724
Vemurafenib,Lenalidomide,NCIH23,ALMANAC,-2.38964701681669
raloxifene,Lenalidomide,MDA-MB-231,ALMANAC,-1.3829597787012
Vorinostat,Sorafenib,T-47D,ONEIL,-6.22433036882608
Vandetanib,Ruxolitinib,UO-31,ALMANAC,2.21236276924139
Lenalidomide,Crizotinib,HOP-92,ALMANAC,-1.09400203748942
Navitoclax,Lapatinib,SKMEL30,FRIEDMAN,10.7757053696348
Nilotinib,Sunitinib,MOLT-4,ALMANAC,-7.87806885869872
Lenalidomide,Cediranib,SK-MEL-5,FRIEDMAN,-9.53774948646416
Bexarotene,SNS-032,451Lu,FRIEDMAN,-5.77775722830228
Vandetanib,thalidomide,NCI-H226,ALMANAC,2.60059900504982
Vorinostat,Pioglitazone,COLO 829,FRIEDMAN,-5.42620608884564
Axitinib,Vorinostat,MDA-MB-468,ALMANAC,-4.40836422828739
Nilotinib,mitotane,LOX IMVI,ALMANAC,-12.4297940940224
Vandetanib,thalidomide,MCF7,ALMANAC,1.84263435050728
Pazopanib,Palbociclib,MZ-MEL-2,FRIEDMAN,10.3879416059179
Crizotinib,Imatinib,UO-31,ALMANAC,-4.08849516979829
Vorinostat,mitotane,PC-3,ALMANAC,-41.6911815219053
Ruxolitinib,paclitaxel,MDA-MB-468,ALMANAC,-30.802121219926
vinblastine,Vorinostat,NCIH2122,ONEIL,2.35160533891099
Imatinib,Fulvestrant,CAKI-1,ALMANAC,-5.67566681250455
Vismodegib,Abiraterone,HCC-2998,ALMANAC,-6.55565881756565
Ruxolitinib,Lenalidomide,MZ-MEL-2,FRIEDMAN,-2.73583121523433
Vandetanib,Nilotinib,RPMI-8226,ALMANAC,-5.74591087340364
Vismodegib,Romidepsin,SF-295,ALMANAC,-30.2202247503139
Vandetanib,Crizotinib,SK-MEL-2,ALMANAC,-1.06226181676605
Sunitinib,Fulvestrant,SW-620,ALMANAC,-1.83827364180894
Ruxolitinib,Lapatinib,SR,ALMANAC,-6.59217478414673
Vismodegib,Lenalidomide,NCIH23,ALMANAC,-2.39578495140557
raloxifene,Vorinostat,NCI-H460,ALMANAC,-4.60754787132577
Linsitinib,Lapatinib,UACC62,FRIEDMAN,-4.91395550102772
Lapatinib,Lenalidomide,MZ-MEL-2,FRIEDMAN,-1.46318843368382
Nilotinib,Romidepsin,SW-620,ALMANAC,-38.1304741265859
Fingolimod,Dasatinib,LB2518-MEL,FRIEDMAN,-1.55470567933576
Gefitinib,Lapatinib,SNB-75,ALMANAC,3.97210414445297
raloxifene,Fulvestrant,NCIH23,ALMANAC,-6.46329261101688
MEGESTROL ACETATE,celecoxib,HT29,ALMANAC,-10.3227629105655
mitotane,thalidomide,MCF7,ALMANAC,-0.0192381791935392
VX-702,SNS-032,LOX IMVI,FRIEDMAN,-23.1261025793134
Lapatinib,Midostaurin,UACC-257,FRIEDMAN,1.78056087246414
MEGESTROL ACETATE,Nilotinib,OVCAR-8,ALMANAC,3.72039832525587
Abiraterone,Imatinib,SR,ALMANAC,-12.6076433166284
Crizotinib,Nilotinib,PC-3,ALMANAC,4.87365496323805
Vorinostat,thalidomide,NCI-H522,ALMANAC,-14.4021906273971
metformin,Dasatinib,MDAMB436,ONEIL,1.9806048133258949
Dasatinib,Lenalidomide,WM115,FRIEDMAN,3.04649097895538
celecoxib,Sorafenib,SR,ALMANAC,-5.72774283321265
vinblastine,Dasatinib,UWB1289,ONEIL,4.0548594497029695
Gefitinib,Vorinostat,NCIH23,ALMANAC,-0.52931988027588
Tideglusib,Pioglitazone,LOX IMVI,FRIEDMAN,-2.28714496122927
Vismodegib,thalidomide,A498,ALMANAC,6.28790909570373
raloxifene,Fulvestrant,OVCAR-5,ALMANAC,-0.940071014114186
Romidepsin,Dasatinib,MDA-MB-468,ALMANAC,-39.6326137478845
celecoxib,mitotane,SNB-75,ALMANAC,-3.04239445034279
Linsitinib,Cediranib,WT2-iPS,FRIEDMAN,-10.6695789416602
Imatinib,mitotane,T-47D,ALMANAC,-7.48637636168103
Erlotinib,Lenalidomide,RVH-421,FRIEDMAN,-2.65747778569578
Enzastaurin,Sunitinib,LB2518-MEL,FRIEDMAN,-25.54625680581
Gefitinib,Sunitinib,OVCAR-4,ALMANAC,1.391862478101
Vatalanib,Lenalidomide,MeWo,FRIEDMAN,4.50695049356785
