Drug A,Drug B,Cell Line Name,Study Name,Score
Vorinostat,Sorafenib,OVCAR3,ALMANAC,-56.122721799997
Nilotinib,Linsitinib,A2058,FRIEDMAN,6.77918667248322
Vandetanib,raloxifene,K-562,ALMANAC,-0.0150611069314956
Palbociclib,Dasatinib,SKMEL30,FRIEDMAN,8.47029863366818
MEGESTROL ACETATE,Crizotinib,SF-539,ALMANAC,-2.57413125595071
Navitoclax,VX-702,A375,FRIEDMAN,9.7515293317828
raloxifene,celecoxib,SK-MEL-2,ALMANAC,-8.65959398467895
Abiraterone,celecoxib,RPMI-8226,ALMANAC,-10.8476643767466
MEGESTROL ACETATE,Vorinostat,NCI-H522,ALMANAC,0.902561289987206
Crizotinib,celecoxib,UO-31,ALMANAC,3.82105629128178
Dasatinib,Pioglitazone,LB2518-MEL,FRIEDMAN,0.0586948319991487
Lenalidomide,Imatinib,A498,ALMANAC,-4.09852925248433
Ruxolitinib,MEGESTROL ACETATE,COLO 205,ALMANAC,-7.98205549731415
Vismodegib,Romidepsin,SF-539,ALMANAC,-51.4108150902313
celecoxib,Fulvestrant,SF-539,ALMANAC,-1.30780642233404
Ruxolitinib,Lenalidomide,KM12,ALMANAC,-3.88736144460606
Lenalidomide,Crizotinib,NCI-H522,ALMANAC,-4.66323858247907
Pazopanib,Vismodegib,451Lu,FRIEDMAN,-9.91891980635819
Vandetanib,Dasatinib,HS 578T,ALMANAC,-26.2156741756532
Gefitinib,Dasatinib,HCT116,ALMANAC,-17.6779700107261
Sunitinib,Erlotinib,NCIH520,ONEIL,10.2532613363299
Vatalanib,Lenalidomide,IPC-298,FRIEDMAN,1.22901690851424
dexamethasone,Erlotinib,NCI-H460,ONEIL,-13.950148061363093
Lapatinib,Vatalanib,MZ-MEL-2,FRIEDMAN,17.5546664685344
Navitoclax,Linsitinib,SK-MEL-28,FRIEDMAN,0.36881938784191
paclitaxel,Sorafenib,RXF 393,ALMANAC,14.5649103326125
Dasatinib,Lapatinib,IGROV1,ALMANAC,1.07667365828829
Abiraterone,celecoxib,T-47D,ALMANAC,4.36308333507122
Vemurafenib,Gefitinib,KM12,ALMANAC,-14.7116489596591
Ruxolitinib,VX-702,A2058,FRIEDMAN,-6.03742693212586
vinblastine,Sorafenib,PA1,ONEIL,-1.338045882914232
Nilotinib,thalidomide,SF-268,ALMANAC,0.0485758269698482
Fingolimod,Bexarotene,LOX IMVI,FRIEDMAN,-16.9905361671798
Pazopanib,Fingolimod,G-361,FRIEDMAN,-37.4157397685342
Vismodegib,Crizotinib,KM12,ALMANAC,-0.123131049996076
Vemurafenib,Nilotinib,ACHN,ALMANAC,6.33581023010737
Axitinib,Dasatinib,HOP-92,ALMANAC,-1.76533153786198
Lestaurtinib,Vismodegib,SK-MEL-2,FRIEDMAN,-45.9781368400099
paclitaxel,Fulvestrant,OVCAR-4,ALMANAC,-2.66474794212439
Vismodegib,Romidepsin,SF-268,ALMANAC,-37.4687186796538
Sorafenib,Cediranib,A101D,FRIEDMAN,-7.67884397015857
Abiraterone,Vemurafenib,COLO 205,ALMANAC,-7.13694910458265
Linsitinib,Palbociclib,RVH-421,FRIEDMAN,-1.75470357214464
Crizotinib,Palbociclib,MZ-MEL-2,FRIEDMAN,-14.7565599199826
Ruxolitinib,Lapatinib,CAKI-1,ALMANAC,-4.37537979065064
Abiraterone,celecoxib,K-562,ALMANAC,0.540263408730049
Abiraterone,MEGESTROL ACETATE,SF-539,ALMANAC,-8.704966492604
Vatalanib,Lenalidomide,G-361,FRIEDMAN,0.605828289609783
Tideglusib,Cediranib,A2058,FRIEDMAN,-3.53859106775973
Crizotinib,Romidepsin,MDA-MB-468,ALMANAC,-65.4943721649017
