Drug,Target
2-Methoxyestradiol,HIF1A
ABEXINOSTAT,HDAC1
ADAPALENE,PTGS2
ADAPALENE,RARA
ADAPALENE,RXRA
ADAPALENE,RXRB
ADAPALENE,RXRG
ADL5859,OPRD1
AMILORIDE,PLAU
AMILORIDE,SLC9A1
AT7519,CDK1
AT7519,CDK2
ATROPINE,CHRM1
ATROPINE,CHRM2
ATROPINE,CHRM3
ATROPINE,CHRM5
AZD8330,MAP3K1
Abiraterone,CYP17A1
Acitretin,RARA
Acitretin,RXRA
Acitretin,RXRB
Acitretin,RXRG
Afatinib,EGFR
Afatinib,ERBB2
Afatinib,ERBB4
Ambrisentan,EDNRA
Ambrisentan,EDNRB
Amuvatinib,FLT3
Amuvatinib,KIT
Amuvatinib,MET
Amuvatinib,PDGFRA
Amuvatinib,RET
Apremilast,IFNG
Apremilast,IL2
Apremilast,NOS3
Apremilast,PDE4A
Apremilast,PDE4B
Apremilast,PDE4D
Apremilast,TNF
Aprepitant,TACR1
Aripiprazole,ADRA1A
Aripiprazole,ADRA1B
Aripiprazole,ADRA2A
Aripiprazole,ADRA2B
Aripiprazole,ADRA2C
Aripiprazole,CHRM1
Aripiprazole,CHRM2
Aripiprazole,CHRM3
Aripiprazole,CHRM5
Aripiprazole,DRD1
Aripiprazole,DRD2
Aripiprazole,DRD5
Aripiprazole,HRH1
Aripiprazole,HTR1A
Aripiprazole,HTR1B
Aripiprazole,HTR1D
Aripiprazole,HTR1E
Aripiprazole,HTR2A
Aripiprazole,HTR6
Aripiprazole,HTR7
Axitinib,FLT1
Axitinib,FLT4
Axitinib,KDR
BENDROFLUMETHIAZIDE,KCNMA1
Bardoxolone methyl,NFKBIA
Baricitinib,JAK1
Baricitinib,JAK2
Baricitinib,JAK3
Baricitinib,PTK2B
Belinostat,HDAC1
Belinostat,HDAC2
Belinostat,HDAC3
Belinostat,HDAC4
Belinostat,HDAC5
Bexarotene,RXRA
Bexarotene,RXRB
Bexarotene,RXRG
Bimatoprost,PTGER1
